Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
307200.000000, 3.398370, 5.493880, 6.460002, 58.260155
276480.000000, 3.856860, 4.551480, 5.965847, 49.722527
230400.000000, 4.257550, 3.797360, 5.704969, 41.730160
172800.000000, 4.632520, 2.806030, 5.416091, 31.204308
153600.000000, 4.725870, 2.455540, 5.325742, 27.456177
115200.000000, 4.888950, 1.779250, 5.202650, 19.998116
98742.898438, 4.972050, 1.475220, 5.186285, 16.525757
81317.601563, 5.030840, 1.157470, 5.162275, 12.956841
65828.601563, 5.074330, 0.856693, 5.146139, 9.582812
53169.199219, 5.101020, 0.560109, 5.131679, 6.266165
46080.000000, 5.123060, 0.401204, 5.138746, 4.477884
36378.898438, 5.150730, 0.169255, 5.153510, 1.882085
30052.199219, 5.177110, -0.001100, 5.177110, -0.012174
24685.699219, 5.207780, -0.178872, 5.210851, -1.967169
20329.400391, 5.239840, -0.352002, 5.251650, -3.843242
16457.099609, 5.286830, -0.545414, 5.314889, -5.890063
13552.900391, 5.341090, -0.728303, 5.390517, -7.764877
11148.400391, 5.398290, -0.924936, 5.476956, -9.722575
9600.000000, 5.453060, -1.086340, 5.560216, -11.266766
7854.549805, 5.541300, -1.321920, 5.696795, -13.417573
6400.000000, 5.640720, -1.588370, 5.860089, -15.726685
5236.359863, 5.758090, -1.888010, 6.059718, -18.153709
4320.000000, 5.887260, -2.202520, 6.285772, -20.511641
3526.530029, 6.031800, -2.581890, 6.561156, -23.173170
2880.000000, 6.211640, -3.026310, 6.909633, -25.975336
2367.120117, 6.393790, -3.523570, 7.300417, -28.858833
1963.640015, 6.591230, -4.058810, 7.740688, -31.624327
1614.949951, 6.821760, -4.717250, 8.293904, -34.663876
1329.229980, 7.076840, -5.471480, 8.945320, -37.709511
1093.670044, 7.372000, -6.366010, 9.740251, -40.811890
900.000000, 7.716630, -7.444880, 10.722528, -43.973160
744.828003, 8.071300, -8.643060, 11.825749, -46.959194
617.143005, 8.466120, -10.047400, 13.138700, -49.881912
514.286011, 8.895190, -11.644600, 14.653365, -52.624165
415.385010, 9.478370, -13.864000, 16.794344, -55.640846
342.856995, 10.076400, -16.235001, 19.107828, -58.173820
284.210999, 10.781600, -19.018200, 21.861721, -60.450687
232.257996, 11.634500, -22.529400, 25.356171, -62.687538
191.149994, 12.605000, -26.548901, 29.389286, -64.602371
157.664001, 13.730100, -31.252899, 34.135895, -66.283043
130.119995, 15.073800, -36.817699, 39.783947, -67.734962
106.931000, 16.697500, -43.550301, 46.641563, -69.022804
88.524597, 18.565300, -51.256901, 54.515503, -70.089569
72.973000, 20.888800, -60.697201, 64.191063, -71.009209
60.000000, 23.959299, -70.888802, 74.828270, -71.325554
49.541302, 27.441401, -83.399200, 87.797821, -71.786896
40.601501, 31.872101, -98.672096, 103.691917, -72.099014
33.540401, 36.387299, -115.690002, 121.277420, -72.540382
27.551001, 43.146099, -136.725998, 143.372192, -72.486069
22.689100, 51.207001, -160.634995, 168.599396, -72.318840
18.750000, 60.846001, -187.854996, 197.463242, -72.052933
15.517200, 72.267998, -218.904999, 230.525620, -71.730186
12.857100, 85.963203, -254.188004, 268.330414, -71.315109
10.465100, 103.726997, -298.571014, 316.075836, -70.842194
8.653850, 123.467003, -346.209991, 367.566925, -70.372528
7.142860, 146.337997, -400.251007, 426.163910, -69.916801
5.844160, 173.526993, -464.800995, 496.136658, -69.527580
4.838710, 202.401993, -534.359985, 571.408020, -69.254593
3.982300, 235.343002, -616.864014, 660.232910, -69.117393
3.284670, 271.246002, -711.176025, 761.147644, -69.122910
2.694610, 311.766998, -824.103027, 881.104126, -69.277832
2.227720, 354.175995, -951.622986, 1015.394958, -69.585686
1.829270, 402.173004, -1106.869995, 1177.668945, -70.031769
1.510070, 453.729004, -1285.109985, 1362.856445, -70.553589
1.243090, 512.564026, -1499.469971, 1584.655151, -71.128029
1.022730, 579.729004, -1756.540039, 1849.734741, -71.735031
0.845865, 652.583008, -2049.189941, 2150.591553, -72.335464
0.694444, 741.284973, -2412.820068, 2524.124512, -72.921593
0.573980, 816.731995, -2836.709961, 2951.944336, -73.938080
0.472689, 934.039978, -3343.360107, 3471.381104, -74.391151
0.390625, 1065.719971, -3973.469971, 4113.905762, -74.986137
0.321429, 1231.689941, -4689.419922, 4848.476074, -75.283493
0.264085, 1426.839966, -5548.850098, 5729.363770, -75.579292
0.218023, 1651.280029, -6551.080078, 6755.988281, -75.852592
0.179426, 1933.670044, -7742.220215, 7980.041016, -75.976883
0.147638, 2273.489990, -9160.259766, 9438.172852, -76.061386
0.121753, 2686.439941, -10823.400391, 11151.813477, -76.060524
0.100446, 3198.830078, -12780.700195, 13174.931641, -75.948334
