Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
307200.000000, 38.639702, 22.002701, 44.465103, 29.658590
276480.000000, 38.162800, 19.478201, 42.846233, 27.039656
197486.000000, 37.498299, 13.868100, 39.980579, 20.296045
153600.000000, 37.203899, 10.762100, 38.729225, 16.133755
125673.000000, 37.048100, 8.697580, 38.055347, 13.211766
98742.898438, 36.933201, 6.721310, 37.539810, 10.314131
76800.000000, 36.924198, 5.100690, 37.274837, 7.865034
60104.300781, 36.990501, 3.812880, 37.186493, 5.885108
49371.398438, 37.044800, 2.975300, 37.164089, 4.591927
38400.000000, 37.141201, 2.142620, 37.202953, 3.301648
30052.199219, 37.133301, 1.466260, 37.162239, 2.261229
23834.500000, 37.154202, 0.815182, 37.163143, 1.256897
18681.099609, 37.287399, 0.241669, 37.288181, 0.371343
14706.400391, 37.328899, -0.250952, 37.329742, -0.385178
11520.000000, 37.410198, -0.784667, 37.418427, -1.201584
9600.000000, 37.550201, -1.209210, 37.569668, -1.844429
7513.040039, 37.601200, -1.852960, 37.646828, -2.821213
5760.000000, 37.775200, -2.531290, 37.859917, -3.833619
4547.370117, 38.021301, -3.191300, 38.154995, -4.797849
3600.000000, 38.249802, -3.984200, 38.456745, -5.946634
2880.000000, 38.564999, -4.933830, 38.879322, -7.290557
2273.679932, 38.867802, -6.157590, 39.352535, -9.002207
1781.439941, 39.365398, -7.513660, 40.076050, -10.806050
1416.390015, 39.817799, -9.161370, 40.858143, -12.957242
1122.079956, 40.569401, -11.042800, 42.045448, -15.226746
900.000000, 41.533199, -13.224100, 43.587650, -17.661386
720.000000, 42.472698, -15.800100, 45.316368, -20.405506
568.421021, 43.674801, -19.022900, 47.637787, -23.535910
440.816010, 45.212002, -23.179001, 50.807392, -27.143019
354.097992, 46.764400, -27.469000, 54.235184, -30.429604
276.923004, 48.811699, -33.220901, 59.044136, -34.238934
220.408005, 50.998100, -39.676998, 64.614784, -37.883251
174.194000, 53.571201, -47.712601, 71.738174, -41.689507
137.580002, 56.513599, -57.529701, 80.643990, -45.510483
109.091003, 59.844299, -69.341797, 91.594894, -49.204708
87.096802, 63.805599, -83.671898, 105.224243, -52.671974
68.354401, 68.708099, -102.903999, 123.733734, -56.269306
54.545502, 73.846298, -122.169998, 142.754288, -58.848911
42.857101, 80.604897, -149.585007, 169.920059, -61.681690
33.962299, 87.341599, -182.136993, 201.996140, -64.380516
26.865700, 97.849701, -223.130997, 243.643188, -66.321098
21.343901, 110.512001, -271.929993, 293.528229, -67.883240
17.307699, 124.713997, -325.557007, 348.627228, -69.039223
13.636400, 145.177994, -399.122009, 424.705811, -70.011475
10.714300, 171.682007, -489.854004, 519.068054, -70.685669
8.490570, 204.636993, -596.388977, 630.520508, -71.061539
6.716420, 247.309006, -725.280029, 766.285095, -71.171440
5.294120, 303.477997, -882.166016, 932.907166, -71.016029
4.166670, 375.890991, -1071.349976, 1135.378662, -70.666214
3.308820, 463.604004, -1285.550049, 1366.589722, -70.169334
2.616280, 576.431030, -1542.709961, 1646.883911, -69.511887
2.073730, 713.689026, -1839.640015, 1973.227661, -68.796211
1.642340, 880.088013, -2186.540039, 2357.013428, -68.075089
1.300580, 1078.930054, -2586.959961, 2802.936279, -67.360703
1.032110, 1312.410034, -3053.810059, 3323.879639, -66.743828
0.815217, 1575.719971, -3599.179932, 3928.993408, -66.356216
0.646552, 1877.739990, -4236.370117, 4633.868652, -66.095039
0.511364, 2154.040039, -5046.529785, 5487.016602, -66.885468
0.407609, 2528.280029, -5948.060059, 6463.096680, -66.971611
0.321429, 3006.489990, -7203.529785, 7805.755859, -67.346123
0.254525, 3531.629883, -8542.709961, 9243.933594, -67.539375
0.201613, 4130.569824, -10184.099609, 10989.880859, -67.923019
0.159574, 4831.529785, -12163.099609, 13087.577148, -68.335617
0.126689, 5640.759766, -14284.500000, 15357.900391, -68.451599
0.100446, 6538.899902, -17708.699219, 18877.373047, -69.733444
