June 12, 2026   13:18:56
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 6.343e+0, 1.387e+1, 1.526e+1, 65.4
6.816e+5, 5.778e+0, 1.125e+1, 1.264e+1, 62.8
5.625e+5, 5.131e+0, 9.318e+0, 1.064e+1, 61.2
4.639e+5, 4.908e+0, 7.616e+0, 9.060e+0, 57.2
3.828e+5, 4.731e+0, 6.329e+0, 7.902e+0, 53.2
3.164e+5, 4.656e+0, 5.217e+0, 6.992e+0, 48.3
2.607e+5, 4.560e+0, 4.316e+0, 6.278e+0, 43.4
2.158e+5, 4.490e+0, 3.533e+0, 5.714e+0, 38.2
1.777e+5, 4.446e+0, 2.860e+0, 5.286e+0, 32.8
1.465e+5, 4.429e+0, 2.289e+0, 4.986e+0, 27.3
1.211e+5, 4.417e+0, 1.822e+0, 4.778e+0, 22.4
9.961e+4, 4.417e+0, 1.430e+0, 4.643e+0, 17.9
8.252e+4, 4.425e+0, 1.103e+0, 4.560e+0, 14.0
6.812e+4, 4.441e+0, 8.144e-1, 4.516e+0, 10.4
5.625e+4, 4.462e+0, 5.605e-1, 4.497e+0, 7.2
4.644e+4, 4.494e+0, 3.293e-1, 4.506e+0, 4.2
3.833e+4, 4.533e+0, 1.203e-1, 4.535e+0, 1.5
3.164e+4, 4.577e+0, -7.220e-2, 4.578e+0, -0.9
2.612e+4, 4.624e+0, -2.561e-1, 4.631e+0, -3.2
2.153e+4, 4.673e+0, -4.349e-1, 4.693e+0, -5.3
1.777e+4, 4.724e+0, -6.177e-1, 4.764e+0, -7.4
1.470e+4, 4.785e+0, -8.084e-1, 4.852e+0, -9.6
1.211e+4, 4.853e+0, -1.007e+0, 4.957e+0, -11.7
1.001e+4, 4.927e+0, -1.221e+0, 5.076e+0, -13.9
8.252e+3, 5.010e+0, -1.461e+0, 5.219e+0, -16.3
