June 12, 2026   09:47:50
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 3.306e+0, 1.421e+1, 1.459e+1, 76.9
6.816e+5, 2.717e+0, 1.164e+1, 1.195e+1, 76.9
5.625e+5, 2.179e+0, 9.670e+0, 9.912e+0, 77.3
4.639e+5, 1.896e+0, 7.928e+0, 8.151e+0, 76.6
3.828e+5, 1.704e+0, 6.601e+0, 6.817e+0, 75.5
3.164e+5, 1.585e+0, 5.468e+0, 5.693e+0, 73.8
2.607e+5, 1.472e+0, 4.550e+0, 4.782e+0, 72.1
2.158e+5, 1.390e+0, 3.759e+0, 4.008e+0, 69.7
1.777e+5, 1.335e+0, 3.090e+0, 3.366e+0, 66.6
1.465e+5, 1.297e+0, 2.527e+0, 2.840e+0, 62.8
1.211e+5, 1.259e+0, 1.929e+0, 2.304e+0, 56.9
9.961e+4, 1.229e+0, 1.349e+0, 1.825e+0, 47.7
8.252e+4, 1.208e+0, 9.485e-1, 1.536e+0, 38.1
6.812e+4, 1.197e+0, 6.877e-1, 1.380e+0, 29.9
5.625e+4, 1.193e+0, 5.227e-1, 1.302e+0, 23.7
4.644e+4, 1.196e+0, 3.895e-1, 1.258e+0, 18.0
3.833e+4, 1.204e+0, 2.708e-1, 1.234e+0, 12.7
3.164e+4, 1.212e+0, 1.529e-1, 1.222e+0, 7.2
2.612e+4, 1.221e+0, 3.788e-2, 1.222e+0, 1.8
2.153e+4, 1.231e+0, -7.484e-2, 1.234e+0, -3.5
1.777e+4, 1.243e+0, -1.849e-1, 1.257e+0, -8.5
1.470e+4, 1.258e+0, -2.979e-1, 1.293e+0, -13.3
1.211e+4, 1.276e+0, -4.187e-1, 1.343e+0, -18.2
1.001e+4, 1.299e+0, -5.504e-1, 1.411e+0, -23.0
8.252e+3, 1.325e+0, -6.963e-1, 1.497e+0, -27.7
6.812e+3, 1.356e+0, -8.589e-1, 1.605e+0, -32.4
5.625e+3, 1.390e+0, -1.044e+0, 1.738e+0, -36.9
4.643e+3, 1.430e+0, -1.256e+0, 1.903e+0, -41.3
3.833e+3, 1.478e+0, -1.503e+0, 2.108e+0, -45.5
3.164e+3, 1.535e+0, -1.793e+0, 2.360e+0, -49.4
2.612e+3, 1.611e+0, -2.138e+0, 2.677e+0, -53.0
2.153e+3, 1.706e+0, -2.549e+0, 3.067e+0, -56.2
1.777e+3, 1.814e+0, -3.029e+0, 3.531e+0, -59.1
1.470e+3, 1.939e+0, -3.594e+0, 4.084e+0, -61.7
1.211e+3, 2.085e+0, -4.257e+0, 4.741e+0, -63.9
1.001e+3, 2.262e+0, -5.035e+0, 5.519e+0, -65.8
