June 13, 2026   02:04:47
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 8.907e+0, 1.372e+1, 1.636e+1, 57.0
6.816e+5, 8.418e+0, 1.104e+1, 1.388e+1, 52.7
5.625e+5, 7.787e+0, 9.133e+0, 1.200e+1, 49.5
4.639e+5, 7.543e+0, 7.463e+0, 1.061e+1, 44.7
3.828e+5, 7.359e+0, 6.238e+0, 9.647e+0, 40.3
3.164e+5, 7.285e+0, 5.168e+0, 8.932e+0, 35.4
2.607e+5, 7.192e+0, 4.311e+0, 8.385e+0, 30.9
2.158e+5, 7.121e+0, 3.560e+0, 7.961e+0, 26.6
1.777e+5, 7.072e+0, 2.899e+0, 7.643e+0, 22.3
1.465e+5, 7.040e+0, 2.343e+0, 7.420e+0, 18.4
1.211e+5, 7.003e+0, 1.909e+0, 7.259e+0, 15.2
9.961e+4, 6.984e+0, 1.553e+0, 7.155e+0, 12.5
8.252e+4, 6.970e+0, 1.260e+0, 7.083e+0, 10.2
6.812e+4, 6.964e+0, 9.994e-1, 7.035e+0, 8.2
5.625e+4, 6.955e+0, 7.650e-1, 6.997e+0, 6.3
4.644e+4, 6.952e+0, 5.501e-1, 6.973e+0, 4.5
3.833e+4, 6.957e+0, 3.554e-1, 6.966e+0, 2.9
3.164e+4, 6.973e+0, 1.793e-1, 6.976e+0, 1.5
2.612e+4, 7.000e+0, 1.939e-2, 7.000e+0, 0.2
2.153e+4, 7.023e+0, -1.313e-1, 7.025e+0, -1.1
1.777e+4, 7.047e+0, -2.834e-1, 7.053e+0, -2.3
1.470e+4, 7.073e+0, -4.454e-1, 7.087e+0, -3.6
1.211e+4, 7.098e+0, -6.169e-1, 7.125e+0, -5.0
1.001e+4, 7.131e+0, -7.980e-1, 7.176e+0, -6.4
8.252e+3, 7.174e+0, -9.980e-1, 7.243e+0, -7.9
6.812e+3, 7.223e+0, -1.226e+0, 7.327e+0, -9.6
5.625e+3, 7.281e+0, -1.487e+0, 7.431e+0, -11.5
4.643e+3, 7.348e+0, -1.786e+0, 7.562e+0, -13.7
3.833e+3, 7.428e+0, -2.134e+0, 7.728e+0, -16.0
3.164e+3, 7.520e+0, -2.538e+0, 7.937e+0, -18.7
2.612e+3, 7.627e+0, -3.012e+0, 8.200e+0, -21.5
2.153e+3, 7.753e+0, -3.567e+0, 8.534e+0, -24.7
1.777e+3, 7.898e+0, -4.215e+0, 8.953e+0, -28.1
1.470e+3, 8.067e+0, -4.981e+0, 9.481e+0, -31.7
1.211e+3, 8.263e+0, -5.886e+0, 1.015e+1, -35.5
1.001e+3, 8.492e+0, -6.949e+0, 1.097e+1, -39.3
8.252e+2, 8.760e+0, -8.194e+0, 1.200e+1, -43.1
6.836e+2, 9.079e+0, -9.676e+0, 1.327e+1, -46.8
5.615e+2, 9.456e+0, -1.144e+1, 1.484e+1, -50.4
4.639e+2, 9.904e+0, -1.353e+1, 1.677e+1, -53.8
3.809e+2, 1.044e+1, -1.597e+1, 1.908e+1, -56.8
3.174e+2, 1.110e+1, -1.890e+1, 2.191e+1, -59.6
2.588e+2, 1.191e+1, -2.237e+1, 2.535e+1, -62.0
2.148e+2, 1.289e+1, -2.649e+1, 2.945e+1, -64.1
1.758e+2, 1.403e+1, -3.127e+1, 3.428e+1, -65.8
1.465e+2, 1.535e+1, -3.670e+1, 3.978e+1, -67.3
1.221e+2, 1.699e+1, -4.336e+1, 4.657e+1, -68.6
9.766e+1, 1.903e+1, -5.106e+1, 5.449e+1, -69.6
8.254e+1, 2.140e+1, -5.978e+1, 6.349e+1, -70.3
6.813e+1, 2.406e+1, -7.018e+1, 7.419e+1, -71.1
5.623e+1, 2.701e+1, -8.246e+1, 8.677e+1, -71.9
4.642e+1, 3.039e+1, -9.700e+1, 1.016e+2, -72.6
3.831e+1, 3.433e+1, -1.142e+2, 1.192e+2, -73.3
3.162e+1, 3.892e+1, -1.345e+2, 1.401e+2, -73.9
2.610e+1, 4.424e+1, -1.586e+2, 1.647e+2, -74.4
2.154e+1, 5.033e+1, -1.870e+2, 1.936e+2, -74.9
1.778e+1, 5.742e+1, -2.205e+2, 2.279e+2, -75.4
1.468e+1, 6.569e+1, -2.601e+2, 2.682e+2, -75.8
1.212e+1, 7.515e+1, -3.068e+2, 3.159e+2, -76.2
1.000e+1, 8.631e+1, -3.621e+2, 3.722e+2, -76.6
8.254e+0, 9.919e+1, -4.275e+2, 4.389e+2, -76.9
6.813e+0, 1.136e+2, -5.054e+2, 5.180e+2, -77.3
5.623e+0, 1.296e+2, -5.980e+2, 6.118e+2, -77.8
4.642e+0, 1.475e+2, -7.084e+2, 7.236e+2, -78.2
3.831e+0, 1.678e+2, -8.394e+2, 8.560e+2, -78.7
3.162e+0, 1.902e+2, -9.968e+2, 1.015e+3, -79.2
2.610e+0, 2.157e+2, -1.185e+3, 1.205e+3, -79.7
2.154e+0, 2.410e+2, -1.414e+3, 1.434e+3, -80.3
1.778e+0, 2.667e+2, -1.691e+3, 1.712e+3, -81.0
1.468e+0, 3.007e+2, -2.013e+3, 2.036e+3, -81.5
1.212e+0, 3.462e+2, -2.391e+3, 2.416e+3, -81.8
1.000e+0, 4.050e+2, -2.838e+3, 2.867e+3, -81.9
8.254e-1, 4.753e+2, -3.367e+3, 3.400e+3, -82.0
6.813e-1, 5.533e+2, -3.997e+3, 4.035e+3, -82.1
5.623e-1, 6.418e+2, -4.751e+3, 4.794e+3, -82.3
4.642e-1, 7.478e+2, -5.649e+3, 5.699e+3, -82.5
3.831e-1, 8.733e+2, -6.721e+3, 6.778e+3, -82.6
3.162e-1, 1.024e+3, -8.000e+3, 8.066e+3, -82.7
2.610e-1, 1.207e+3, -9.526e+3, 9.602e+3, -82.8
2.154e-1, 1.422e+3, -1.135e+4, 1.144e+4, -82.9
1.778e-1, 1.681e+3, -1.350e+4, 1.360e+4, -82.9
1.468e-1, 1.995e+3, -1.601e+4, 1.613e+4, -82.9
1.212e-1, 2.386e+3, -1.906e+4, 1.921e+4, -82.9
1.000e-1, 2.863e+3, -2.273e+4, 2.291e+4, -82.8
