June 13, 2026   00:08:48
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 6.087e+0, 1.399e+1, 1.526e+1, 66.5
6.816e+5, 5.427e+0, 1.135e+1, 1.258e+1, 64.4
5.625e+5, 4.835e+0, 9.410e+0, 1.058e+1, 62.8
4.639e+5, 4.567e+0, 7.712e+0, 8.963e+0, 59.4
3.828e+5, 4.391e+0, 6.439e+0, 7.794e+0, 55.7
3.164e+5, 4.293e+0, 5.342e+0, 6.853e+0, 51.2
2.607e+5, 4.191e+0, 4.449e+0, 6.113e+0, 46.7
2.158e+5, 4.109e+0, 3.672e+0, 5.511e+0, 41.8
1.777e+5, 4.059e+0, 3.007e+0, 5.052e+0, 36.5
1.465e+5, 4.027e+0, 2.449e+0, 4.713e+0, 31.3
1.211e+5, 3.990e+0, 2.002e+0, 4.464e+0, 26.6
9.961e+4, 3.962e+0, 1.627e+0, 4.283e+0, 22.3
8.252e+4, 3.945e+0, 1.315e+0, 4.158e+0, 18.4
6.812e+4, 3.941e+0, 1.051e+0, 4.079e+0, 14.9
5.625e+4, 3.941e+0, 8.212e-1, 4.025e+0, 11.8
4.644e+4, 3.942e+0, 6.142e-1, 3.989e+0, 8.9
3.833e+4, 3.944e+0, 4.302e-1, 3.968e+0, 6.2
3.164e+4, 3.953e+0, 2.671e-1, 3.962e+0, 3.9
2.612e+4, 3.967e+0, 1.182e-1, 3.968e+0, 1.7
2.153e+4, 3.983e+0, -2.285e-2, 3.983e+0, -0.3
1.777e+4, 3.998e+0, -1.577e-1, 4.001e+0, -2.3
1.470e+4, 4.015e+0, -2.971e-1, 4.026e+0, -4.2
1.211e+4, 4.039e+0, -4.427e-1, 4.063e+0, -6.3
1.001e+4, 4.066e+0, -5.958e-1, 4.109e+0, -8.3
8.252e+3, 4.095e+0, -7.629e-1, 4.165e+0, -10.6
6.812e+3, 4.129e+0, -9.505e-1, 4.237e+0, -13.0
5.625e+3, 4.170e+0, -1.163e+0, 4.329e+0, -15.6
4.643e+3, 4.218e+0, -1.407e+0, 4.447e+0, -18.4
3.833e+3, 4.276e+0, -1.690e+0, 4.598e+0, -21.6
3.164e+3, 4.344e+0, -2.018e+0, 4.789e+0, -24.9
2.612e+3, 4.423e+0, -2.400e+0, 5.032e+0, -28.5
2.153e+3, 4.514e+0, -2.851e+0, 5.339e+0, -32.3
1.777e+3, 4.620e+0, -3.379e+0, 5.724e+0, -36.2
1.470e+3, 4.748e+0, -4.002e+0, 6.209e+0, -40.1
1.211e+3, 4.902e+0, -4.738e+0, 6.817e+0, -44.0
1.001e+3, 5.089e+0, -5.605e+0, 7.571e+0, -47.8
8.252e+2, 5.315e+0, -6.623e+0, 8.492e+0, -51.3
6.836e+2, 5.588e+0, -7.832e+0, 9.621e+0, -54.5
5.615e+2, 5.917e+0, -9.261e+0, 1.099e+1, -57.4
4.639e+2, 6.310e+0, -1.095e+1, 1.264e+1, -60.0
3.809e+2, 6.776e+0, -1.291e+1, 1.458e+1, -62.3
3.174e+2, 7.328e+0, -1.521e+1, 1.688e+1, -64.3
2.588e+2, 7.981e+0, -1.791e+1, 1.961e+1, -66.0
2.148e+2, 8.772e+0, -2.114e+1, 2.288e+1, -67.5
1.758e+2, 9.701e+0, -2.492e+1, 2.674e+1, -68.7
1.465e+2, 1.073e+1, -2.920e+1, 3.111e+1, -69.8
1.221e+2, 1.197e+1, -3.446e+1, 3.648e+1, -70.8
9.766e+1, 1.350e+1, -4.058e+1, 4.276e+1, -71.6
8.254e+1, 1.527e+1, -4.753e+1, 4.992e+1, -72.2
6.813e+1, 1.724e+1, -5.583e+1, 5.844e+1, -72.8
5.623e+1, 1.943e+1, -6.567e+1, 6.848e+1, -73.5
4.642e+1, 2.196e+1, -7.738e+1, 8.043e+1, -74.2
3.831e+1, 2.491e+1, -9.126e+1, 9.460e+1, -74.7
3.162e+1, 2.827e+1, -1.076e+2, 1.113e+2, -75.3
2.610e+1, 3.217e+1, -1.271e+2, 1.311e+2, -75.8
2.154e+1, 3.666e+1, -1.501e+2, 1.545e+2, -76.3
1.778e+1, 4.176e+1, -1.774e+2, 1.822e+2, -76.8
1.468e+1, 4.763e+1, -2.097e+2, 2.150e+2, -77.2
1.212e+1, 5.434e+1, -2.480e+2, 2.539e+2, -77.6
1.000e+1, 6.224e+1, -2.935e+2, 3.001e+2, -78.0
8.254e+0, 7.131e+1, -3.476e+2, 3.549e+2, -78.4
6.813e+0, 8.132e+1, -4.122e+2, 4.201e+2, -78.8
5.623e+0, 9.249e+1, -4.892e+2, 4.979e+2, -79.3
4.642e+0, 1.048e+2, -5.815e+2, 5.909e+2, -79.8
3.831e+0, 1.190e+2, -6.915e+2, 7.016e+2, -80.2
3.162e+0, 1.349e+2, -8.237e+2, 8.347e+2, -80.7
2.610e+0, 1.535e+2, -9.823e+2, 9.942e+2, -81.1
2.154e+0, 1.719e+2, -1.175e+3, 1.187e+3, -81.7
1.778e+0, 1.920e+2, -1.408e+3, 1.421e+3, -82.2
1.468e+0, 2.174e+2, -1.687e+3, 1.701e+3, -82.7
1.212e+0, 2.527e+2, -2.011e+3, 2.027e+3, -82.8
1.000e+0, 3.025e+2, -2.391e+3, 2.410e+3, -82.8
8.254e-1, 3.633e+2, -2.842e+3, 2.865e+3, -82.7
6.813e-1, 4.341e+2, -3.380e+3, 3.408e+3, -82.7
5.623e-1, 5.174e+2, -4.024e+3, 4.057e+3, -82.7
