June 14, 2026   02:15:26
A.C. Impedance
File: e:\chi_data\6.13Data Source:  Experiment
Instrument Model:  CHI660E
Ref. Electrode: 
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz	Z'/ohm	Z"/ohm	Z/ohm	Phase/deg

8.252e+5	3.181e+0	1.428e+1	1.463e+1	77.4
6.816e+5	2.565e+0	1.154e+1	1.182e+1	77.5
5.625e+5	1.998e+0	9.573e+0	9.779e+0	78.2
4.639e+5	1.717e+0	7.847e+0	8.032e+0	77.7
3.828e+5	1.524e+0	6.550e+0	6.725e+0	76.9
3.164e+5	1.414e+0	5.427e+0	5.608e+0	75.4
2.607e+5	1.312e+0	4.509e+0	4.696e+0	73.8
2.158e+5	1.236e+0	3.714e+0	3.914e+0	71.6
1.777e+5	1.184e+0	3.048e+0	3.270e+0	68.8
1.465e+5	1.150e+0	2.485e+0	2.738e+0	65.2
1.211e+5	1.116e+0	1.888e+0	2.193e+0	59.4
9.961e+4	1.092e+0	1.306e+0	1.702e+0	50.1
8.252e+4	1.077e+0	9.045e-1	1.406e+0	40.0
6.812e+4	1.073e+0	6.403e-1	1.250e+0	30.8
5.625e+4	1.075e+0	4.741e-1	1.175e+0	23.8
4.644e+4	1.081e+0	3.405e-1	1.134e+0	17.5
3.833e+4	1.091e+0	2.180e-1	1.113e+0	11.3
3.164e+4	1.104e+0	9.554e-2	1.108e+0	4.9
2.612e+4	1.118e+0	-2.327e-2	1.119e+0	-1.2
2.153e+4	1.135e+0	-1.396e-1	1.144e+0	-7.0
1.777e+4	1.154e+0	-2.558e-1	1.182e+0	-12.5
1.470e+4	1.176e+0	-3.757e-1	1.235e+0	-17.7
1.211e+4	1.200e+0	-5.034e-1	1.302e+0	-22.8
1.001e+4	1.227e+0	-6.432e-1	1.386e+0	-27.7
8.252e+3	1.259e+0	-7.976e-1	1.491e+0	-32.3
6.812e+3	1.297e+0	-9.718e-1	1.620e+0	-36.9
5.625e+3	1.339e+0	-1.170e+0	1.778e+0	-41.2
4.643e+3	1.388e+0	-1.399e+0	1.971e+0	-45.2
3.833e+3	1.445e+0	-1.666e+0	2.206e+0	-49.1
3.164e+3	1.511e+0	-1.977e+0	2.489e+0	-52.6
2.612e+3	1.598e+0	-2.349e+0	2.841e+0	-55.8
2.153e+3	1.706e+0	-2.795e+0	3.274e+0	-58.6
1.777e+3	1.829e+0	-3.317e+0	3.788e+0	-61.1
1.470e+3	1.971e+0	-3.929e+0	4.396e+0	-63.4
1.211e+3	2.137e+0	-4.647e+0	5.115e+0	-65.3
1.001e+3	2.339e+0	-5.490e+0	5.967e+0	-66.9
8.252e+2	2.584e+0	-6.475e+0	6.972e+0	-68.2
6.836e+2	2.883e+0	-7.641e+0	8.167e+0	-69.3
5.615e+2	3.247e+0	-9.014e+0	9.581e+0	-70.2
4.639e+2	3.688e+0	-1.063e+1	1.125e+1	-70.9
3.809e+2	4.210e+0	-1.248e+1	1.317e+1	-71.4
3.174e+2	4.836e+0	-1.465e+1	1.543e+1	-71.7
2.588e+2	5.575e+0	-1.716e+1	1.805e+1	-72.0
2.148e+2	6.447e+0	-2.013e+1	2.113e+1	-72.2
1.758e+2	7.449e+0	-2.356e+1	2.471e+1	-72.5
1.465e+2	8.543e+0	-2.744e+1	2.874e+1	-72.7
1.221e+2	9.809e+0	-3.217e+1	3.364e+1	-73.0
9.766e+1	1.131e+1	-3.764e+1	3.930e+1	-73.3
8.254e+1	1.297e+1	-4.385e+1	4.573e+1	-73.5
6.813e+1	1.475e+1	-5.130e+1	5.338e+1	-74.0
5.623e+1	1.665e+1	-6.015e+1	6.241e+1	-74.5
4.642e+1	1.875e+1	-7.076e+1	7.321e+1	-75.2
3.831e+1	2.116e+1	-8.347e+1	8.611e+1	-75.8
3.162e+1	2.389e+1	-9.859e+1	1.014e+2	-76.4
2.610e+1	2.702e+1	-1.165e+2	1.196e+2	-76.9
2.154e+1	3.068e+1	-1.380e+2	1.413e+2	-77.5
1.778e+1	3.489e+1	-1.636e+2	1.673e+2	-78.0
1.468e+1	3.981e+1	-1.941e+2	1.981e+2	-78.4
1.212e+1	4.549e+1	-2.303e+2	2.347e+2	-78.8
1.000e+1	5.234e+1	-2.734e+2	2.783e+2	-79.2
8.254e+0	6.057e+1	-3.249e+2	3.305e+2	-79.4
6.813e+0	6.995e+1	-3.863e+2	3.926e+2	-79.7
5.623e+0	8.083e+1	-4.597e+2	4.668e+2	-80.0
4.642e+0	9.338e+1	-5.474e+2	5.553e+2	-80.3
3.831e+0	1.084e+2	-6.517e+2	6.607e+2	-80.6
3.162e+0	1.261e+2	-7.767e+2	7.869e+2	-80.8
2.610e+0	1.474e+2	-9.263e+2	9.380e+2	-81.0
2.154e+0	1.698e+2	-1.107e+3	1.120e+3	-81.3
1.778e+0	1.948e+2	-1.324e+3	1.338e+3	-81.6
1.468e+0	2.283e+2	-1.583e+3	1.599e+3	-81.8
1.212e+0	2.716e+2	-1.893e+3	1.913e+3	-81.8
1.000e+0	3.280e+2	-2.248e+3	2.272e+3	-81.7
8.254e-1	3.982e+2	-2.651e+3	2.681e+3	-81.5
6.813e-1	4.809e+2	-3.129e+3	3.166e+3	-81.3
5.623e-1	5.757e+2	-3.700e+3	3.744e+3	-81.2
4.642e-1	6.846e+2	-4.385e+3	4.438e+3	-81.1
3.831e-1	8.136e+2	-5.198e+3	5.262e+3	-81.1
3.162e-1	9.662e+2	-6.162e+3	6.237e+3	-81.1
2.610e-1	1.148e+3	-7.301e+3	7.391e+3	-81.1
2.154e-1	1.366e+3	-8.649e+3	8.757e+3	-81.0
1.778e-1	1.623e+3	-1.024e+4	1.037e+4	-81.0
1.468e-1	1.912e+3	-1.210e+4	1.225e+4	-81.0
1.212e-1	2.277e+3	-1.435e+4	1.453e+4	-81.0
1.000e-1	2.742e+3	-1.704e+4	1.726e+4	-80.9
