June 14, 2026   21:09:24
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Ref. Electrode: 
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz	Z'/ohm	Z"/ohm	Z/ohm	Phase/deg

8.252e+5	1.146e+1	1.300e+1	1.733e+1	48.6
6.816e+5	1.089e+1	1.035e+1	1.502e+1	43.5
5.625e+5	1.033e+1	8.604e+0	1.345e+1	39.8
4.639e+5	1.011e+1	6.960e+0	1.227e+1	34.5
3.828e+5	9.980e+0	5.753e+0	1.152e+1	30.0
3.164e+5	9.937e+0	4.667e+0	1.098e+1	25.2
2.607e+5	9.879e+0	3.784e+0	1.058e+1	21.0
2.158e+5	9.833e+0	2.997e+0	1.028e+1	17.0
1.777e+5	9.840e+0	2.297e+0	1.010e+1	13.1
1.465e+5	9.860e+0	1.707e+0	1.001e+1	9.8
1.211e+5	9.864e+0	1.250e+0	9.943e+0	7.2
9.961e+4	9.893e+0	8.460e-1	9.929e+0	4.9
8.252e+4	9.940e+0	4.882e-1	9.952e+0	2.8
6.812e+4	1.001e+1	1.426e-1	1.001e+1	0.8
5.625e+4	1.010e+1	-1.772e-1	1.010e+1	-1.0
4.644e+4	1.020e+1	-4.847e-1	1.021e+1	-2.7
3.833e+4	1.032e+1	-7.810e-1	1.034e+1	-4.3
3.164e+4	1.045e+1	-1.069e+0	1.051e+1	-5.8
2.612e+4	1.061e+1	-1.359e+0	1.070e+1	-7.3
2.153e+4	1.080e+1	-1.651e+0	1.093e+1	-8.7
1.777e+4	1.100e+1	-1.943e+0	1.117e+1	-10.0
1.470e+4	1.121e+1	-2.243e+0	1.143e+1	-11.3
1.211e+4	1.144e+1	-2.572e+0	1.172e+1	-12.7
1.001e+4	1.169e+1	-2.934e+0	1.205e+1	-14.1
8.252e+3	1.197e+1	-3.326e+0	1.243e+1	-15.5
6.812e+3	1.228e+1	-3.753e+0	1.284e+1	-17.0
5.625e+3	1.263e+1	-4.227e+0	1.331e+1	-18.5
4.643e+3	1.299e+1	-4.759e+0	1.384e+1	-20.1
3.833e+3	1.339e+1	-5.355e+0	1.442e+1	-21.8
3.164e+3	1.383e+1	-6.026e+0	1.509e+1	-23.5
2.612e+3	1.432e+1	-6.791e+0	1.585e+1	-25.4
2.153e+3	1.486e+1	-7.661e+0	1.672e+1	-27.3
1.777e+3	1.544e+1	-8.641e+0	1.770e+1	-29.2
1.470e+3	1.607e+1	-9.762e+0	1.881e+1	-31.3
1.211e+3	1.676e+1	-1.105e+1	2.007e+1	-33.4
1.001e+3	1.754e+1	-1.252e+1	2.155e+1	-35.5
8.252e+2	1.840e+1	-1.420e+1	2.325e+1	-37.7
6.836e+2	1.934e+1	-1.620e+1	2.523e+1	-39.9
5.615e+2	2.036e+1	-1.854e+1	2.754e+1	-42.3
4.639e+2	2.147e+1	-2.131e+1	3.025e+1	-44.8
3.809e+2	2.267e+1	-2.451e+1	3.338e+1	-47.2
3.174e+2	2.398e+1	-2.828e+1	3.708e+1	-49.7
2.588e+2	2.543e+1	-3.273e+1	4.145e+1	-52.2
2.148e+2	2.704e+1	-3.801e+1	4.665e+1	-54.6
1.758e+2	2.881e+1	-4.420e+1	5.276e+1	-56.9
1.465e+2	3.072e+1	-5.127e+1	5.977e+1	-59.1
1.221e+2	3.300e+1	-6.003e+1	6.850e+1	-61.2
9.766e+1	3.577e+1	-7.023e+1	7.882e+1	-63.0
8.254e+1	3.891e+1	-8.194e+1	9.071e+1	-64.6
6.813e+1	4.237e+1	-9.604e+1	1.050e+2	-66.2
5.623e+1	4.620e+1	-1.128e+2	1.219e+2	-67.7
4.642e+1	5.067e+1	-1.328e+2	1.422e+2	-69.1
3.831e+1	5.594e+1	-1.567e+2	1.664e+2	-70.4
3.162e+1	6.207e+1	-1.850e+2	1.952e+2	-71.5
2.610e+1	6.929e+1	-2.184e+2	2.291e+2	-72.4
2.154e+1	7.782e+1	-2.579e+2	2.694e+2	-73.2
1.778e+1	8.795e+1	-3.046e+2	3.170e+2	-73.9
1.468e+1	1.001e+2	-3.598e+2	3.734e+2	-74.5
1.212e+1	1.143e+2	-4.250e+2	4.401e+2	-74.9
1.000e+1	1.318e+2	-5.022e+2	5.192e+2	-75.3
8.254e+0	1.529e+2	-5.936e+2	6.130e+2	-75.6
6.813e+0	1.780e+2	-7.017e+2	7.239e+2	-75.8
5.623e+0	2.080e+2	-8.292e+2	8.549e+2	-75.9
4.642e+0	2.444e+2	-9.804e+2	1.010e+3	-76.0
3.831e+0	2.886e+2	-1.158e+3	1.194e+3	-76.0
3.162e+0	3.420e+2	-1.368e+3	1.411e+3	-76.0
2.610e+0	4.070e+2	-1.616e+3	1.666e+3	-75.9
2.154e+0	4.794e+2	-1.912e+3	1.971e+3	-75.9
1.778e+0	5.623e+2	-2.261e+3	2.330e+3	-76.0
1.468e+0	6.657e+2	-2.658e+3	2.740e+3	-75.9
1.212e+0	7.938e+2	-3.111e+3	3.210e+3	-75.7
1.000e+0	9.490e+2	-3.630e+3	3.752e+3	-75.3
8.254e-1	1.129e+3	-4.224e+3	4.372e+3	-75.0
6.813e-1	1.332e+3	-4.909e+3	5.087e+3	-74.8
5.623e-1	1.555e+3	-5.712e+3	5.920e+3	-74.8
4.642e-1	1.799e+3	-6.650e+3	6.889e+3	-74.9
3.831e-1	2.074e+3	-7.747e+3	8.020e+3	-75.0
3.162e-1	2.385e+3	-9.036e+3	9.345e+3	-75.2
2.610e-1	2.730e+3	-1.056e+4	1.091e+4	-75.5
2.154e-1	3.123e+3	-1.235e+4	1.274e+4	-75.8
1.778e-1	3.572e+3	-1.446e+4	1.489e+4	-76.1
1.468e-1	4.075e+3	-1.692e+4	1.740e+4	-76.5
1.212e-1	4.668e+3	-1.990e+4	2.044e+4	-76.8
1.000e-1	5.364e+3	-2.344e+4	2.404e+4	-77.1
