June 13, 2026   23:05:29
A.C. Impedance
File: e:\chi_data\6.13Data Source:  Experiment
Instrument Model:  CHI660E
Ref. Electrode: 
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz	Z'/ohm	Z"/ohm	Z/ohm	Phase/deg

8.252e+5	3.185e+0	1.418e+1	1.453e+1	77.3
6.816e+5	2.506e+0	1.158e+1	1.185e+1	77.8
5.625e+5	1.967e+0	9.647e+0	9.846e+0	78.5
4.639e+5	1.649e+0	7.911e+0	8.081e+0	78.2
3.828e+5	1.454e+0	6.587e+0	6.745e+0	77.6
3.164e+5	1.334e+0	5.447e+0	5.608e+0	76.2
2.607e+5	1.236e+0	4.528e+0	4.693e+0	74.7
2.158e+5	1.153e+0	3.741e+0	3.915e+0	72.9
1.777e+5	1.098e+0	3.078e+0	3.268e+0	70.4
1.465e+5	1.060e+0	2.518e+0	2.733e+0	67.2
1.211e+5	1.026e+0	1.925e+0	2.181e+0	62.0
9.961e+4	9.977e-1	1.348e+0	1.677e+0	53.5
8.252e+4	9.795e-1	9.534e-1	1.367e+0	44.2
6.812e+4	9.724e-1	6.977e-1	1.197e+0	35.7
5.625e+4	9.706e-1	5.388e-1	1.110e+0	29.0
4.644e+4	9.732e-1	4.125e-1	1.057e+0	23.0
3.833e+4	9.792e-1	2.987e-1	1.024e+0	17.0
3.164e+4	9.885e-1	1.861e-1	1.006e+0	10.7
2.612e+4	9.989e-1	7.856e-2	1.002e+0	4.5
2.153e+4	1.009e+0	-2.508e-2	1.009e+0	-1.4
1.777e+4	1.020e+0	-1.250e-1	1.027e+0	-7.0
1.470e+4	1.034e+0	-2.249e-1	1.058e+0	-12.3
1.211e+4	1.051e+0	-3.271e-1	1.101e+0	-17.3
1.001e+4	1.071e+0	-4.372e-1	1.157e+0	-22.2
8.252e+3	1.093e+0	-5.603e-1	1.228e+0	-27.1
6.812e+3	1.118e+0	-6.971e-1	1.318e+0	-31.9
5.625e+3	1.147e+0	-8.517e-1	1.429e+0	-36.6
4.643e+3	1.183e+0	-1.029e+0	1.568e+0	-41.0
3.833e+3	1.224e+0	-1.234e+0	1.738e+0	-45.2
3.164e+3	1.274e+0	-1.471e+0	1.946e+0	-49.1
2.612e+3	1.333e+0	-1.750e+0	2.200e+0	-52.7
2.153e+3	1.405e+0	-2.078e+0	2.509e+0	-55.9
1.777e+3	1.500e+0	-2.470e+0	2.890e+0	-58.7
1.470e+3	1.617e+0	-2.936e+0	3.352e+0	-61.2
1.211e+3	1.755e+0	-3.480e+0	3.898e+0	-63.2
1.001e+3	1.918e+0	-4.114e+0	4.539e+0	-65.0
8.252e+2	2.113e+0	-4.846e+0	5.286e+0	-66.4
6.836e+2	2.346e+0	-5.702e+0	6.166e+0	-67.6
5.615e+2	2.625e+0	-6.707e+0	7.202e+0	-68.6
