temperature_C,rb_code_ohm,rb_manual_ohm,delta_rb_ohm
-81.0,479.31601,14327.0,-13847.68399
-78.0,477.355988,7420.0,-6942.644012
-75.0,2548.75,3273.0,-724.25
-72.0,1500.290039,1815.0,-314.709961
-69.0,759.515015,886.8,-127.284985
-66.0,483.802002,555.4,-71.59799799999996
-63.0,275.389008,346.5,-71.11099200000001
-60.0,139.7753777187969,158.9,-19.124622281203102
-57.0,81.68333580566124,91.9,-10.216664194338762
-54.0,55.63003298955811,62.07,-6.43996701044189
-51.0,20.64612866284718,22.79,-2.14387133715282
-48.0,12.370901532705844,13.48,-1.1090984672941566
-45.0,7.0815666340029395,7.596,-0.5144333659970606
-42.0,4.022530443835875,4.201,-0.1784695561641243
-39.0,2.7104998045658864,2.763,-0.05250019543411355
-36.0,1.914813326034847,1.879,0.03581332603484699
-33.0,1.3108615058851476,1.226,0.08486150588514763
-30.0,0.7791578190815864,0.69657,0.08258781908158641
-27.0,0.7542138620656136,0.67442,0.07979386206561356
-24.0,0.7395477078171376,0.66132,0.07822770781713762
-21.0,0.7198271512236828,0.64396,0.07586715122368282
-18.0,0.7045828274740127,0.6304,0.07418282747401272
-15.0,0.6792895638275463,0.60884,0.0704495638275463
-12.0,0.6577415807855763,0.59046,0.06728158078557633
-9.0,0.627119177880715,0.56538,0.061739177880715035
-6.0,0.6199914758632177,0.55971,0.06028147586321764
-3.0,0.6148535298929697,0.55607,0.058783529892969755
0.0,0.6053739012378615,0.54928,0.05609390123786151
3.0,0.5960426549013317,0.54206,0.053982654901331695
6.0,0.5943309517694929,0.54062,0.05371095176949292
9.0,0.5838386113437276,0.53295,0.050888611343727574
12.0,0.5801590450956421,0.53107,0.04908904509564205
15.0,0.5687449124481213,0.52217,0.046574912448121286
18.0,0.5662964617263844,0.5189,0.04739646172638434
