May 10, 2026   19:13:16
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 5.576e+0, 1.146e+1, 1.275e+1, 64.1
6.816e+5, 5.148e+0, 9.271e+0, 1.060e+1, 61.0
5.625e+5, 4.566e+0, 7.606e+0, 8.872e+0, 59.0
4.639e+5, 4.395e+0, 6.118e+0, 7.534e+0, 54.3
3.828e+5, 4.236e+0, 4.962e+0, 6.524e+0, 49.5
3.164e+5, 4.190e+0, 3.957e+0, 5.763e+0, 43.4
2.607e+5, 4.128e+0, 3.115e+0, 5.171e+0, 37.0
2.158e+5, 4.101e+0, 2.359e+0, 4.731e+0, 29.9
1.777e+5, 4.090e+0, 1.685e+0, 4.424e+0, 22.4
1.465e+5, 4.111e+0, 1.083e+0, 4.252e+0, 14.8
1.211e+5, 4.145e+0, 5.477e-1, 4.181e+0, 7.5
9.961e+4, 4.204e+0, 5.909e-2, 4.204e+0, 0.8
8.252e+4, 4.274e+0, -4.023e-1, 4.293e+0, -5.4
6.812e+4, 4.359e+0, -8.604e-1, 4.443e+0, -11.2
5.625e+4, 4.455e+0, -1.326e+0, 4.649e+0, -16.6
4.644e+4, 4.563e+0, -1.814e+0, 4.910e+0, -21.7
3.833e+4, 4.694e+0, -2.339e+0, 5.245e+0, -26.5
3.164e+4, 4.852e+0, -2.911e+0, 5.658e+0, -31.0
2.612e+4, 5.028e+0, -3.542e+0, 6.150e+0, -35.2
2.153e+4, 5.227e+0, -4.255e+0, 6.739e+0, -39.1
1.777e+4, 5.449e+0, -5.068e+0, 7.441e+0, -42.9
1.470e+4, 5.705e+0, -6.005e+0, 8.283e+0, -46.5
1.211e+4, 5.996e+0, -7.088e+0, 9.284e+0, -49.8
1.001e+4, 6.327e+0, -8.357e+0, 1.048e+1, -52.9
8.252e+3, 6.714e+0, -9.845e+0, 1.192e+1, -55.7
6.812e+3, 7.161e+0, -1.159e+1, 1.362e+1, -58.3
5.625e+3, 7.678e+0, -1.363e+1, 1.564e+1, -60.6
4.643e+3, 8.271e+0, -1.601e+1, 1.802e+1, -62.7
3.833e+3, 8.959e+0, -1.881e+1, 2.084e+1, -64.5
3.164e+3, 9.775e+0, -2.210e+1, 2.417e+1, -66.1
2.612e+3, 1.076e+1, -2.599e+1, 2.814e+1, -67.5
2.153e+3, 1.195e+1, -3.061e+1, 3.286e+1, -68.7
1.777e+3, 1.334e+1, -3.604e+1, 3.843e+1, -69.7
1.470e+3, 1.499e+1, -4.245e+1, 4.502e+1, -70.6
1.211e+3, 1.696e+1, -4.998e+1, 5.278e+1, -71.3
1.001e+3, 1.938e+1, -5.881e+1, 6.192e+1, -71.8
8.252e+2, 2.230e+1, -6.912e+1, 7.263e+1, -72.1
6.836e+2, 2.581e+1, -8.129e+1, 8.529e+1, -72.4
5.615e+2, 3.005e+1, -9.564e+1, 1.002e+2, -72.6
4.639e+2, 3.517e+1, -1.125e+2, 1.178e+2, -72.6
3.809e+2, 4.125e+1, -1.318e+2, 1.381e+2, -72.6
3.174e+2, 4.861e+1, -1.544e+2, 1.619e+2, -72.5
2.588e+2, 5.746e+1, -1.806e+2, 1.895e+2, -72.3
2.148e+2, 6.824e+1, -2.113e+2, 2.221e+2, -72.1
1.758e+2, 8.113e+1, -2.469e+2, 2.599e+2, -71.8
1.465e+2, 9.584e+1, -2.867e+2, 3.023e+2, -71.5
1.221e+2, 1.144e+2, -3.343e+2, 3.533e+2, -71.1
9.766e+1, 1.371e+2, -3.884e+2, 4.119e+2, -70.6
8.254e+1, 1.630e+2, -4.486e+2, 4.773e+2, -70.0
6.813e+1, 1.923e+2, -5.190e+2, 5.535e+2, -69.7
5.623e+1, 2.254e+2, -6.003e+2, 6.413e+2, -69.4
4.642e+1, 2.636e+2, -6.948e+2, 7.431e+2, -69.2
3.831e+1, 3.081e+2, -8.044e+2, 8.614e+2, -69.0
3.162e+1, 3.600e+2, -9.313e+2, 9.985e+2, -68.9
2.610e+1, 4.202e+2, -1.077e+3, 1.156e+3, -68.7
2.154e+1, 4.896e+2, -1.247e+3, 1.339e+3, -68.6
1.778e+1, 5.705e+2, -1.443e+3, 1.552e+3, -68.4
1.468e+1, 6.649e+2, -1.669e+3, 1.797e+3, -68.3
1.212e+1, 7.754e+2, -1.929e+3, 2.079e+3, -68.1
1.000e+1, 9.045e+2, -2.227e+3, 2.404e+3, -67.9
8.254e+0, 1.052e+3, -2.574e+3, 2.780e+3, -67.8
6.813e+0, 1.219e+3, -2.974e+3, 3.214e+3, -67.7
5.623e+0, 1.408e+3, -3.439e+3, 3.716e+3, -67.7
4.642e+0, 1.622e+3, -3.982e+3, 4.299e+3, -67.8
3.831e+0, 1.866e+3, -4.607e+3, 4.971e+3, -68.0
3.162e+0, 2.143e+3, -5.344e+3, 5.757e+3, -68.1
2.610e+0, 2.461e+3, -6.204e+3, 6.675e+3, -68.4
2.154e+0, 2.807e+3, -7.263e+3, 7.787e+3, -68.9
1.778e+0, 3.195e+3, -8.525e+3, 9.105e+3, -69.5
1.468e+0, 3.666e+3, -9.940e+3, 1.059e+4, -69.8
1.212e+0, 4.227e+3, -1.152e+4, 1.227e+4, -69.8
1.000e+0, 4.891e+3, -1.328e+4, 1.415e+4, -69.8
8.254e-1, 5.665e+3, -1.525e+4, 1.627e+4, -69.6
6.813e-1, 6.548e+3, -1.750e+4, 1.868e+4, -69.5
5.623e-1, 7.551e+3, -2.008e+4, 2.145e+4, -69.4
4.642e-1, 8.678e+3, -2.305e+4, 2.463e+4, -69.4
3.831e-1, 9.926e+3, -2.649e+4, 2.829e+4, -69.5
3.162e-1, 1.129e+4, -3.048e+4, 3.250e+4, -69.7
2.610e-1, 1.276e+4, -3.511e+4, 3.736e+4, -70.0
2.154e-1, 1.434e+4, -4.051e+4, 4.298e+4, -70.5
1.778e-1, 1.602e+4, -4.685e+4, 4.952e+4, -71.1
1.468e-1, 1.781e+4, -5.430e+4, 5.714e+4, -71.8
1.212e-1, 1.985e+4, -6.324e+4, 6.628e+4, -72.6
1.000e-1, 2.222e+4, -7.381e+4, 7.708e+4, -73.2
