May 10, 2026   15:09:12
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 3.476e+0, 1.187e+1, 1.237e+1, 73.7
6.816e+5, 2.946e+0, 9.621e+0, 1.006e+1, 73.0
5.625e+5, 2.448e+0, 7.904e+0, 8.274e+0, 72.8
4.639e+5, 2.233e+0, 6.440e+0, 6.816e+0, 70.9
3.828e+5, 2.075e+0, 5.307e+0, 5.698e+0, 68.6
3.164e+5, 1.997e+0, 4.331e+0, 4.769e+0, 65.2
2.607e+5, 1.922e+0, 3.511e+0, 4.003e+0, 61.3
2.158e+5, 1.865e+0, 2.794e+0, 3.359e+0, 56.3
1.777e+5, 1.824e+0, 2.173e+0, 2.837e+0, 50.0
1.465e+5, 1.796e+0, 1.473e+0, 2.323e+0, 39.4
1.211e+5, 1.773e+0, 7.718e-1, 1.934e+0, 23.5
9.961e+4, 1.772e+0, 2.565e-1, 1.790e+0, 8.2
8.252e+4, 1.786e+0, -1.135e-1, 1.790e+0, -3.6
6.812e+4, 1.817e+0, -3.925e-1, 1.859e+0, -12.2
5.625e+4, 1.855e+0, -6.588e-1, 1.969e+0, -19.6
4.644e+4, 1.902e+0, -9.459e-1, 2.124e+0, -26.4
3.833e+4, 1.961e+0, -1.266e+0, 2.334e+0, -32.8
3.164e+4, 2.043e+0, -1.591e+0, 2.590e+0, -37.9
2.612e+4, 2.147e+0, -1.950e+0, 2.901e+0, -42.2
2.153e+4, 2.258e+0, -2.388e+0, 3.286e+0, -46.6
1.777e+4, 2.376e+0, -2.908e+0, 3.756e+0, -50.8
1.470e+4, 2.509e+0, -3.522e+0, 4.324e+0, -54.5
1.211e+4, 2.669e+0, -4.232e+0, 5.003e+0, -57.8
1.001e+4, 2.860e+0, -5.059e+0, 5.811e+0, -60.5
8.252e+3, 3.085e+0, -6.021e+0, 6.765e+0, -62.9
6.812e+3, 3.355e+0, -7.143e+0, 7.892e+0, -64.8
5.625e+3, 3.679e+0, -8.460e+0, 9.225e+0, -66.5
4.643e+3, 4.072e+0, -1.000e+1, 1.080e+1, -67.9
3.833e+3, 4.548e+0, -1.182e+1, 1.266e+1, -68.9
3.164e+3, 5.128e+0, -1.393e+1, 1.485e+1, -69.8
2.612e+3, 5.831e+0, -1.641e+1, 1.741e+1, -70.4
2.153e+3, 6.682e+0, -1.930e+1, 2.043e+1, -70.9
1.777e+3, 7.710e+0, -2.265e+1, 2.393e+1, -71.2
1.470e+3, 8.980e+0, -2.657e+1, 2.804e+1, -71.3
1.211e+3, 1.053e+1, -3.114e+1, 3.287e+1, -71.3
1.001e+3, 1.241e+1, -3.643e+1, 3.849e+1, -71.2
8.252e+2, 1.466e+1, -4.251e+1, 4.497e+1, -71.0
6.836e+2, 1.732e+1, -4.957e+1, 5.250e+1, -70.7
5.615e+2, 2.046e+1, -5.773e+1, 6.125e+1, -70.5
4.639e+2, 2.416e+1, -6.720e+1, 7.141e+1, -70.2
3.809e+2, 2.845e+1, -7.800e+1, 8.303e+1, -70.0
3.174e+2, 3.348e+1, -9.053e+1, 9.652e+1, -69.7
2.588e+2, 3.937e+1, -1.050e+2, 1.121e+2, -69.5
2.148e+2, 4.623e+1, -1.218e+2, 1.302e+2, -69.2
1.758e+2, 5.410e+1, -1.408e+2, 1.509e+2, -69.0
1.465e+2, 6.286e+1, -1.621e+2, 1.739e+2, -68.8
1.221e+2, 7.349e+1, -1.877e+2, 2.016e+2, -68.6
9.766e+1, 8.653e+1, -2.171e+2, 2.337e+2, -68.3
8.254e+1, 1.015e+2, -2.500e+2, 2.698e+2, -67.9
6.813e+1, 1.183e+2, -2.886e+2, 3.119e+2, -67.7
5.623e+1, 1.372e+2, -3.332e+2, 3.603e+2, -67.6
4.642e+1, 1.588e+2, -3.849e+2, 4.164e+2, -67.6
3.831e+1, 1.836e+2, -4.446e+2, 4.810e+2, -67.6
3.162e+1, 2.122e+2, -5.134e+2, 5.555e+2, -67.5
2.610e+1, 2.450e+2, -5.929e+2, 6.415e+2, -67.6
2.154e+1, 2.823e+2, -6.847e+2, 7.407e+2, -67.6
1.778e+1, 3.250e+2, -7.909e+2, 8.551e+2, -67.7
1.468e+1, 3.739e+2, -9.144e+2, 9.879e+2, -67.8
1.212e+1, 4.301e+2, -1.058e+3, 1.142e+3, -67.9
1.000e+1, 4.944e+2, -1.225e+3, 1.321e+3, -68.0
8.254e+0, 5.679e+2, -1.421e+3, 1.531e+3, -68.2
6.813e+0, 6.520e+2, -1.650e+3, 1.774e+3, -68.4
5.623e+0, 7.498e+2, -1.917e+3, 2.059e+3, -68.6
4.642e+0, 8.625e+2, -2.231e+3, 2.392e+3, -68.9
3.831e+0, 9.931e+2, -2.593e+3, 2.777e+3, -69.0
3.162e+0, 1.143e+3, -3.018e+3, 3.227e+3, -69.3
2.610e+0, 1.314e+3, -3.513e+3, 3.751e+3, -69.5
2.154e+0, 1.496e+3, -4.120e+3, 4.384e+3, -70.0
1.778e+0, 1.693e+3, -4.844e+3, 5.131e+3, -70.7
