May 10, 2026   22:18:38
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 7.232e+1, 1.338e+0, 7.233e+1, 1.1
6.816e+5, 7.263e+1, -7.567e-1, 7.263e+1, -0.6
5.625e+5, 7.194e+1, -7.445e-1, 7.194e+1, -0.6
4.639e+5, 7.274e+1, -1.646e+0, 7.276e+1, -1.3
3.828e+5, 7.340e+1, -1.674e+0, 7.342e+1, -1.3
3.164e+5, 7.424e+1, -2.082e+0, 7.427e+1, -1.6
2.607e+5, 7.475e+1, -2.251e+0, 7.478e+1, -1.7
2.158e+5, 7.524e+1, -2.491e+0, 7.529e+1, -1.9
1.777e+5, 7.569e+1, -2.932e+0, 7.575e+1, -2.2
1.465e+5, 7.602e+1, -3.358e+0, 7.609e+1, -2.5
1.211e+5, 7.619e+1, -2.302e+0, 7.622e+1, -1.7
9.961e+4, 7.644e+1, -7.861e-1, 7.645e+1, -0.6
8.252e+4, 7.670e+1, -3.455e-1, 7.670e+1, -0.3
6.812e+4, 7.696e+1, -9.328e-1, 7.696e+1, -0.7
5.625e+4, 7.721e+1, -2.291e+0, 7.725e+1, -1.7
4.644e+4, 7.755e+1, -3.981e+0, 7.765e+1, -2.9
3.833e+4, 7.802e+1, -5.635e+0, 7.822e+1, -4.1
3.164e+4, 7.857e+1, -7.182e+0, 7.890e+1, -5.2
2.612e+4, 7.921e+1, -8.851e+0, 7.970e+1, -6.4
2.153e+4, 7.989e+1, -1.068e+1, 8.060e+1, -7.6
1.777e+4, 8.059e+1, -1.276e+1, 8.160e+1, -9.0
1.470e+4, 8.143e+1, -1.516e+1, 8.283e+1, -10.5
1.211e+4, 8.253e+1, -1.794e+1, 8.446e+1, -12.3
1.001e+4, 8.384e+1, -2.111e+1, 8.646e+1, -14.1
8.252e+3, 8.532e+1, -2.468e+1, 8.882e+1, -16.1
6.812e+3, 8.702e+1, -2.872e+1, 9.164e+1, -18.3
5.625e+3, 8.897e+1, -3.331e+1, 9.500e+1, -20.5
4.643e+3, 9.121e+1, -3.856e+1, 9.903e+1, -22.9
3.833e+3, 9.374e+1, -4.460e+1, 1.038e+2, -25.4
3.164e+3, 9.658e+1, -5.154e+1, 1.095e+2, -28.1
2.612e+3, 9.977e+1, -5.957e+1, 1.162e+2, -30.8
2.153e+3, 1.033e+2, -6.890e+1, 1.242e+2, -33.7
1.777e+3, 1.073e+2, -7.974e+1, 1.337e+2, -36.6
1.470e+3, 1.118e+2, -9.238e+1, 1.450e+2, -39.6
1.211e+3, 1.168e+2, -1.071e+2, 1.584e+2, -42.5
1.001e+3, 1.225e+2, -1.241e+2, 1.744e+2, -45.4
8.252e+2, 1.289e+2, -1.440e+2, 1.932e+2, -48.2
6.836e+2, 1.363e+2, -1.676e+2, 2.160e+2, -50.9
5.615e+2, 1.449e+2, -1.959e+2, 2.437e+2, -53.5
