May 13, 2026   01:47:18
A.C. Impedance
File: e:\chi_data\r0.35-n0.95-1_t-66.9_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 1.508e+2, -2.048e+1, 1.522e+2, -7.7
6.816e+5, 1.535e+2, -2.255e+1, 1.551e+2, -8.4
5.625e+5, 1.548e+2, -1.980e+1, 1.560e+2, -7.3
4.639e+5, 1.571e+2, -1.873e+1, 1.582e+2, -6.8
3.828e+5, 1.596e+2, -1.619e+1, 1.604e+2, -5.8
3.164e+5, 1.622e+2, -1.452e+1, 1.628e+2, -5.1
2.607e+5, 1.641e+2, -1.258e+1, 1.645e+2, -4.4
2.158e+5, 1.654e+2, -1.110e+1, 1.658e+2, -3.8
1.777e+5, 1.669e+2, -1.075e+1, 1.672e+2, -3.7
1.465e+5, 1.682e+2, -1.015e+1, 1.685e+2, -3.5
1.211e+5, 1.686e+2, -7.249e+0, 1.687e+2, -2.5
9.961e+4, 1.688e+2, -4.015e+0, 1.688e+2, -1.4
8.252e+4, 1.691e+2, -2.112e+0, 1.691e+2, -0.7
6.812e+4, 1.695e+2, -1.502e+0, 1.695e+2, -0.5
5.625e+4, 1.699e+2, -1.607e+0, 1.699e+2, -0.5
4.644e+4, 1.703e+2, -2.029e+0, 1.703e+2, -0.7
3.833e+4, 1.709e+2, -2.376e+0, 1.709e+2, -0.8
3.164e+4, 1.715e+2, -2.527e+0, 1.715e+2, -0.8
2.612e+4, 1.719e+2, -2.486e+0, 1.719e+2, -0.8
2.153e+4, 1.722e+2, -2.564e+0, 1.723e+2, -0.9
1.777e+4, 1.727e+2, -2.707e+0, 1.727e+2, -0.9
1.470e+4, 1.731e+2, -2.979e+0, 1.731e+2, -1.0
1.211e+4, 1.736e+2, -3.441e+0, 1.736e+2, -1.1
1.001e+4, 1.741e+2, -3.863e+0, 1.741e+2, -1.3
8.252e+3, 1.746e+2, -4.328e+0, 1.746e+2, -1.4
6.812e+3, 1.751e+2, -4.820e+0, 1.751e+2, -1.6
5.625e+3, 1.756e+2, -5.463e+0, 1.757e+2, -1.8
4.643e+3, 1.762e+2, -6.252e+0, 1.763e+2, -2.0
3.833e+3, 1.768e+2, -7.212e+0, 1.769e+2, -2.3
3.164e+3, 1.774e+2, -8.329e+0, 1.776e+2, -2.7
2.612e+3, 1.780e+2, -9.477e+0, 1.783e+2, -3.0
2.153e+3, 1.788e+2, -1.081e+1, 1.791e+2, -3.5
1.777e+3, 1.796e+2, -1.245e+1, 1.800e+2, -4.0
1.470e+3, 1.805e+2, -1.442e+1, 1.811e+2, -4.6
1.211e+3, 1.815e+2, -1.672e+1, 1.822e+2, -5.3
1.001e+3, 1.824e+2, -1.923e+1, 1.834e+2, -6.0
8.252e+2, 1.835e+2, -2.207e+1, 1.848e+2, -6.9
6.836e+2, 1.847e+2, -2.552e+1, 1.865e+2, -7.9
5.615e+2, 1.862e+2, -2.980e+1, 1.885e+2, -9.1
4.639e+2, 1.878e+2, -3.497e+1, 1.910e+2, -10.5
3.809e+2, 1.896e+2, -4.092e+1, 1.940e+2, -12.2
3.174e+2, 1.916e+2, -4.794e+1, 1.975e+2, -14.0
2.588e+2, 1.940e+2, -5.624e+1, 2.020e+2, -16.2
2.148e+2, 1.969e+2, -6.609e+1, 2.077e+2, -18.6
1.758e+2, 2.001e+2, -7.763e+1, 2.146e+2, -21.2
1.465e+2, 2.035e+2, -9.082e+1, 2.228e+2, -24.1
1.221e+2, 2.074e+2, -1.070e+2, 2.333e+2, -27.3
9.766e+1, 2.123e+2, -1.254e+2, 2.465e+2, -30.6
8.254e+1, 2.180e+2, -1.465e+2, 2.627e+2, -33.9
6.813e+1, 2.243e+2, -1.725e+2, 2.830e+2, -37.6
5.623e+1, 2.311e+2, -2.039e+2, 3.082e+2, -41.4
4.642e+1, 2.388e+2, -2.411e+2, 3.393e+2, -45.3
3.831e+1, 2.476e+2, -2.854e+2, 3.779e+2, -49.1
3.162e+1, 2.577e+2, -3.384e+2, 4.254e+2, -52.7
2.610e+1, 2.695e+2, -4.012e+2, 4.833e+2, -56.1
2.154e+1, 2.834e+2, -4.752e+2, 5.533e+2, -59.2
1.778e+1, 2.997e+2, -5.630e+2, 6.378e+2, -62.0
1.468e+1, 3.187e+2, -6.672e+2, 7.394e+2, -64.5
1.212e+1, 3.407e+2, -7.904e+2, 8.607e+2, -66.7
1.000e+1, 3.670e+2, -9.368e+2, 1.006e+3, -68.6
8.254e+0, 3.978e+2, -1.111e+3, 1.180e+3, -70.3
6.813e+0, 4.329e+2, -1.319e+3, 1.388e+3, -71.8
5.623e+0, 4.728e+2, -1.566e+3, 1.636e+3, -73.2
4.642e+0, 5.177e+2, -1.860e+3, 1.931e+3, -74.4
3.831e+0, 5.715e+2, -2.208e+3, 2.281e+3, -75.5
3.162e+0, 6.334e+2, -2.625e+3, 2.700e+3, -76.4
2.610e+0, 7.046e+2, -3.122e+3, 3.201e+3, -77.3
2.154e+0, 7.767e+2, -3.732e+3, 3.812e+3, -78.2
1.778e+0, 8.548e+2, -4.466e+3, 4.547e+3, -79.2
1.468e+0, 9.604e+2, -5.317e+3, 5.403e+3, -79.8
1.212e+0, 1.102e+3, -6.310e+3, 6.406e+3, -80.1
1.000e+0, 1.289e+3, -7.479e+3, 7.589e+3, -80.2
8.254e-1, 1.522e+3, -8.859e+3, 8.989e+3, -80.3
6.813e-1, 1.796e+3, -1.049e+4, 1.064e+4, -80.3
5.623e-1, 2.121e+3, -1.242e+4, 1.260e+4, -80.3
4.642e-1, 2.510e+3, -1.470e+4, 1.491e+4, -80.3
3.831e-1, 2.982e+3, -1.741e+4, 1.767e+4, -80.3
3.162e-1, 3.567e+3, -2.061e+4, 2.092e+4, -80.2
2.610e-1, 4.281e+3, -2.438e+4, 2.476e+4, -80.0
2.154e-1, 5.142e+3, -2.885e+4, 2.931e+4, -79.9
