May 12, 2026   13:46:27
A.C. Impedance
File: e:\chi_data\r0.35-n0.95-1_t14.2_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 5.023e+0, 1.175e+1, 1.278e+1, 66.8
6.816e+5, 4.470e+0, 9.525e+0, 1.052e+1, 64.9
5.625e+5, 3.955e+0, 7.949e+0, 8.879e+0, 63.5
4.639e+5, 3.733e+0, 6.506e+0, 7.501e+0, 60.2
3.828e+5, 3.587e+0, 5.427e+0, 6.505e+0, 56.5
3.164e+5, 3.511e+0, 4.481e+0, 5.692e+0, 51.9
2.607e+5, 3.428e+0, 3.716e+0, 5.056e+0, 47.3
2.158e+5, 3.360e+0, 3.052e+0, 4.539e+0, 42.2
1.777e+5, 3.310e+0, 2.491e+0, 4.143e+0, 37.0
1.465e+5, 3.280e+0, 2.015e+0, 3.850e+0, 31.6
1.211e+5, 3.253e+0, 1.633e+0, 3.640e+0, 26.7
9.961e+4, 3.238e+0, 1.312e+0, 3.494e+0, 22.1
8.252e+4, 3.228e+0, 1.044e+0, 3.393e+0, 17.9
6.812e+4, 3.224e+0, 8.083e-1, 3.324e+0, 14.1
5.625e+4, 3.224e+0, 6.001e-1, 3.279e+0, 10.5
4.644e+4, 3.232e+0, 4.122e-1, 3.258e+0, 7.3
3.833e+4, 3.245e+0, 2.444e-1, 3.254e+0, 4.3
3.164e+4, 3.257e+0, 9.088e-2, 3.259e+0, 1.6
2.612e+4, 3.270e+0, -5.634e-2, 3.270e+0, -1.0
2.153e+4, 3.284e+0, -1.998e-1, 3.290e+0, -3.5
1.777e+4, 3.300e+0, -3.409e-1, 3.318e+0, -5.9
1.470e+4, 3.320e+0, -4.915e-1, 3.356e+0, -8.4
1.211e+4, 3.344e+0, -6.593e-1, 3.409e+0, -11.2
1.001e+4, 3.373e+0, -8.460e-1, 3.478e+0, -14.1
8.252e+3, 3.405e+0, -1.055e+0, 3.565e+0, -17.2
6.812e+3, 3.441e+0, -1.294e+0, 3.676e+0, -20.6
5.625e+3, 3.484e+0, -1.568e+0, 3.821e+0, -24.2
4.643e+3, 3.535e+0, -1.887e+0, 4.007e+0, -28.1
3.833e+3, 3.595e+0, -2.262e+0, 4.247e+0, -32.2
3.164e+3, 3.664e+0, -2.703e+0, 4.554e+0, -36.4
2.612e+3, 3.746e+0, -3.225e+0, 4.943e+0, -40.7
2.153e+3, 3.841e+0, -3.843e+0, 5.434e+0, -45.0
1.777e+3, 3.951e+0, -4.575e+0, 6.045e+0, -49.2
1.470e+3, 4.083e+0, -5.443e+0, 6.804e+0, -53.1
1.211e+3, 4.239e+0, -6.475e+0, 7.739e+0, -56.8
