May 11, 2026   23:27:21
A.C. Impedance
File: e:\chi_data\r0.35-n0.95-1_t21_f0.15_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.15
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 4.557e+0, 1.180e+1, 1.265e+1, 68.9
6.816e+5, 4.046e+0, 9.600e+0, 1.042e+1, 67.1
5.625e+5, 3.584e+0, 7.997e+0, 8.763e+0, 65.9
4.639e+5, 3.315e+0, 6.547e+0, 7.339e+0, 63.1
3.828e+5, 3.144e+0, 5.454e+0, 6.296e+0, 60.0
3.164e+5, 3.042e+0, 4.503e+0, 5.435e+0, 56.0
2.607e+5, 2.958e+0, 3.738e+0, 4.767e+0, 51.6
2.158e+5, 2.890e+0, 3.076e+0, 4.220e+0, 46.8
1.777e+5, 2.842e+0, 2.519e+0, 3.798e+0, 41.5
1.465e+5, 2.809e+0, 2.045e+0, 3.475e+0, 36.1
1.211e+5, 2.781e+0, 1.655e+0, 3.236e+0, 30.7
9.961e+4, 2.766e+0, 1.326e+0, 3.067e+0, 25.6
8.252e+4, 2.758e+0, 1.052e+0, 2.952e+0, 20.9
6.812e+4, 2.758e+0, 8.148e-1, 2.876e+0, 16.5
5.625e+4, 2.761e+0, 6.087e-1, 2.827e+0, 12.4
4.644e+4, 2.775e+0, 4.268e-1, 2.807e+0, 8.7
3.833e+4, 2.789e+0, 2.633e-1, 2.802e+0, 5.4
3.164e+4, 2.797e+0, 1.121e-1, 2.799e+0, 2.3
2.612e+4, 2.806e+0, -3.346e-2, 2.806e+0, -0.7
2.153e+4, 2.817e+0, -1.746e-1, 2.822e+0, -3.5
1.777e+4, 2.835e+0, -3.167e-1, 2.852e+0, -6.4
1.470e+4, 2.856e+0, -4.681e-1, 2.894e+0, -9.3
1.211e+4, 2.879e+0, -6.302e-1, 2.947e+0, -12.3
1.001e+4, 2.907e+0, -8.078e-1, 3.017e+0, -15.5
8.252e+3, 2.941e+0, -1.008e+0, 3.109e+0, -18.9
6.812e+3, 2.979e+0, -1.235e+0, 3.225e+0, -22.5
5.625e+3, 3.024e+0, -1.498e+0, 3.374e+0, -26.3
4.643e+3, 3.078e+0, -1.802e+0, 3.566e+0, -30.4
3.833e+3, 3.140e+0, -2.159e+0, 3.811e+0, -34.5
3.164e+3, 3.215e+0, -2.579e+0, 4.121e+0, -38.7
2.612e+3, 3.305e+0, -3.072e+0, 4.513e+0, -42.9
2.153e+3, 3.412e+0, -3.655e+0, 5.000e+0, -47.0
1.777e+3, 3.538e+0, -4.339e+0, 5.599e+0, -50.8
1.470e+3, 3.686e+0, -5.150e+0, 6.333e+0, -54.4
1.211e+3, 3.863e+0, -6.110e+0, 7.228e+0, -57.7
1.001e+3, 4.075e+0, -7.247e+0, 8.314e+0, -60.7
8.252e+2, 4.325e+0, -8.586e+0, 9.614e+0, -63.3
6.836e+2, 4.623e+0, -1.018e+1, 1.118e+1, -65.6
5.615e+2, 4.978e+0, -1.209e+1, 1.307e+1, -67.6
4.639e+2, 5.403e+0, -1.435e+1, 1.533e+1, -69.4
3.809e+2, 5.902e+0, -1.699e+1, 1.798e+1, -70.8
3.174e+2, 6.516e+0, -2.015e+1, 2.117e+1, -72.1
2.588e+2, 7.268e+0, -2.394e+1, 2.502e+1, -73.1
2.148e+2, 8.175e+0, -2.845e+1, 2.960e+1, -74.0
1.758e+2, 9.256e+0, -3.375e+1, 3.499e+1, -74.7
1.465e+2, 1.052e+1, -3.980e+1, 4.116e+1, -75.2
1.221e+2, 1.212e+1, -4.727e+1, 4.880e+1, -75.6
9.766e+1, 1.420e+1, -5.597e+1, 5.774e+1, -75.8
8.254e+1, 1.673e+1, -6.588e+1, 6.797e+1, -75.7
6.813e+1, 1.970e+1, -7.772e+1, 8.018e+1, -75.8
5.623e+1, 2.315e+1, -9.169e+1, 9.457e+1, -75.8
4.642e+1, 2.731e+1, -1.082e+2, 1.116e+2, -75.8
3.831e+1, 3.237e+1, -1.276e+2, 1.317e+2, -75.8
3.162e+1, 3.854e+1, -1.505e+2, 1.553e+2, -75.6
2.610e+1, 4.599e+1, -1.772e+2, 1.830e+2, -75.4
2.154e+1, 5.483e+1, -2.083e+2, 2.154e+2, -75.2
1.778e+1, 6.544e+1, -2.445e+2, 2.531e+2, -75.0
1.468e+1, 7.813e+1, -2.866e+2, 2.970e+2, -74.7
1.212e+1, 9.299e+1, -3.352e+2, 3.479e+2, -74.5
1.000e+1, 1.106e+2, -3.918e+2, 4.071e+2, -74.2
8.254e+0, 1.308e+2, -4.575e+2, 4.759e+2, -74.1
6.813e+0, 1.529e+2, -5.342e+2, 5.556e+2, -74.0
5.623e+0, 1.769e+2, -6.240e+2, 6.486e+2, -74.2
4.642e+0, 2.023e+2, -7.304e+2, 7.579e+2, -74.5
3.831e+0, 2.298e+2, -8.560e+2, 8.863e+2, -75.0
3.162e+0, 2.591e+2, -1.007e+3, 1.040e+3, -75.6
2.610e+0, 2.919e+2, -1.189e+3, 1.224e+3, -76.2
2.154e+0, 3.240e+2, -1.412e+3, 1.449e+3, -77.1
1.778e+0, 3.588e+2, -1.683e+3, 1.721e+3, -78.0
1.468e+0, 4.050e+2, -1.995e+3, 2.036e+3, -78.5
1.212e+0, 4.667e+2, -2.358e+3, 2.404e+3, -78.8
1.000e+0, 5.485e+2, -2.786e+3, 2.839e+3, -78.9
8.254e-1, 6.513e+2, -3.287e+3, 3.351e+3, -78.8
6.813e-1, 7.761e+2, -3.879e+3, 3.956e+3, -78.7
5.623e-1, 9.277e+2, -4.581e+3, 4.674e+3, -78.6
4.642e-1, 1.117e+3, -5.412e+3, 5.526e+3, -78.3
3.831e-1, 1.353e+3, -6.391e+3, 6.533e+3, -78.0
3.162e-1, 1.650e+3, -7.539e+3, 7.718e+3, -77.7
2.610e-1, 2.021e+3, -8.889e+3, 9.116e+3, -77.2
2.154e-1, 2.480e+3, -1.047e+4, 1.076e+4, -76.7
1.778e-1, 3.052e+3, -1.230e+4, 1.267e+4, -76.1
1.468e-1, 3.744e+3, -1.438e+4, 1.486e+4, -75.4
