May 14, 2026   03:11:00
A.C. Impedance
File: e:\chi_data\r0.62-n0.72-2_t-18.0_f0.1_1000000_v0_#1.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 1.057e+1, 1.137e+1, 1.552e+1, 47.1
6.816e+5, 1.009e+1, 9.070e+0, 1.357e+1, 42.0
5.625e+5, 9.529e+0, 7.506e+0, 1.213e+1, 38.2
4.639e+5, 9.356e+0, 6.103e+0, 1.117e+1, 33.1
3.828e+5, 9.221e+0, 5.095e+0, 1.054e+1, 28.9
3.164e+5, 9.169e+0, 4.211e+0, 1.009e+1, 24.7
2.607e+5, 9.094e+0, 3.495e+0, 9.743e+0, 21.0
2.158e+5, 9.040e+0, 2.864e+0, 9.483e+0, 17.6
1.777e+5, 9.010e+0, 2.304e+0, 9.300e+0, 14.3
1.465e+5, 8.988e+0, 1.835e+0, 9.174e+0, 11.5
1.211e+5, 8.947e+0, 1.473e+0, 9.067e+0, 9.3
9.961e+4, 8.919e+0, 1.168e+0, 8.995e+0, 7.5
8.252e+4, 8.907e+0, 9.117e-1, 8.954e+0, 5.8
6.812e+4, 8.909e+0, 6.761e-1, 8.935e+0, 4.3
5.625e+4, 8.915e+0, 4.554e-1, 8.927e+0, 2.9
4.644e+4, 8.930e+0, 2.440e-1, 8.934e+0, 1.6
3.833e+4, 8.957e+0, 4.649e-2, 8.958e+0, 0.3
3.164e+4, 8.983e+0, -1.340e-1, 8.984e+0, -0.9
2.612e+4, 9.010e+0, -3.120e-1, 9.015e+0, -2.0
2.153e+4, 9.040e+0, -4.932e-1, 9.054e+0, -3.1
1.777e+4, 9.071e+0, -6.755e-1, 9.096e+0, -4.3
1.470e+4, 9.104e+0, -8.729e-1, 9.146e+0, -5.5
1.211e+4, 9.145e+0, -1.090e+0, 9.210e+0, -6.8
1.001e+4, 9.200e+0, -1.342e+0, 9.297e+0, -8.3
8.252e+3, 9.259e+0, -1.637e+0, 9.402e+0, -10.0
6.812e+3, 9.322e+0, -1.974e+0, 9.528e+0, -12.0
5.625e+3, 9.394e+0, -2.366e+0, 9.687e+0, -14.1
4.643e+3, 9.474e+0, -2.823e+0, 9.886e+0, -16.6
3.833e+3, 9.565e+0, -3.362e+0, 1.014e+1, -19.4
3.164e+3, 9.669e+0, -3.997e+0, 1.046e+1, -22.5
2.612e+3, 9.788e+0, -4.753e+0, 1.088e+1, -25.9
2.153e+3, 9.923e+0, -5.653e+0, 1.142e+1, -29.7
1.777e+3, 1.008e+1, -6.717e+0, 1.211e+1, -33.7
1.470e+3, 1.026e+1, -7.984e+0, 1.300e+1, -37.9
1.211e+3, 1.046e+1, -9.494e+0, 1.413e+1, -42.2
