May 14, 2026   05:00:43
A.C. Impedance
File: e:\chi_data\r0.62-n0.72-2_t-42.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 3.431e+1, 1.002e+1, 3.574e+1, 16.3
6.816e+5, 3.400e+1, 7.585e+0, 3.484e+1, 12.6
5.625e+5, 3.353e+1, 6.262e+0, 3.410e+1, 10.6
4.639e+5, 3.364e+1, 4.935e+0, 3.400e+1, 8.3
3.828e+5, 3.375e+1, 4.114e+0, 3.400e+1, 6.9
3.164e+5, 3.392e+1, 3.340e+0, 3.409e+1, 5.6
2.607e+5, 3.396e+1, 2.762e+0, 3.407e+1, 4.7
2.158e+5, 3.397e+1, 2.213e+0, 3.404e+1, 3.7
1.777e+5, 3.401e+1, 1.648e+0, 3.405e+1, 2.8
1.465e+5, 3.406e+1, 1.202e+0, 3.408e+1, 2.0
1.211e+5, 3.403e+1, 2.229e+0, 3.411e+1, 3.7
9.961e+4, 3.403e+1, 3.828e+0, 3.424e+1, 6.4
8.252e+4, 3.405e+1, 4.372e+0, 3.433e+1, 7.3
6.812e+4, 3.410e+1, 4.053e+0, 3.434e+1, 6.8
5.625e+4, 3.414e+1, 3.189e+0, 3.429e+1, 5.3
4.644e+4, 3.419e+1, 2.276e+0, 3.427e+1, 3.8
3.833e+4, 3.427e+1, 1.491e+0, 3.430e+1, 2.5
3.164e+4, 3.436e+1, 9.159e-1, 3.437e+1, 1.5
2.612e+4, 3.444e+1, 4.698e-1, 3.445e+1, 0.8
2.153e+4, 3.453e+1, 7.309e-2, 3.453e+1, 0.1
1.777e+4, 3.462e+1, -3.156e-1, 3.462e+1, -0.5
1.470e+4, 3.470e+1, -7.091e-1, 3.471e+1, -1.2
1.211e+4, 3.481e+1, -1.101e+0, 3.483e+1, -1.8
1.001e+4, 3.494e+1, -1.517e+0, 3.497e+1, -2.5
8.252e+3, 3.508e+1, -1.990e+0, 3.514e+1, -3.2
6.812e+3, 3.523e+1, -2.500e+0, 3.532e+1, -4.1
5.625e+3, 3.539e+1, -3.065e+0, 3.553e+1, -4.9
4.643e+3, 3.557e+1, -3.698e+0, 3.576e+1, -5.9
3.833e+3, 3.576e+1, -4.421e+0, 3.603e+1, -7.0
3.164e+3, 3.598e+1, -5.256e+0, 3.636e+1, -8.3
2.612e+3, 3.622e+1, -6.231e+0, 3.675e+1, -9.8
2.153e+3, 3.649e+1, -7.371e+0, 3.723e+1, -11.4
1.777e+3, 3.680e+1, -8.703e+0, 3.781e+1, -13.3
1.470e+3, 3.715e+1, -1.028e+1, 3.855e+1, -15.5
1.211e+3, 3.754e+1, -1.215e+1, 3.946e+1, -17.9
1.001e+3, 3.798e+1, -1.432e+1, 4.059e+1, -20.7
8.252e+2, 3.848e+1, -1.687e+1, 4.202e+1, -23.7
6.836e+2, 3.906e+1, -1.995e+1, 4.386e+1, -27.0
5.615e+2, 3.972e+1, -2.366e+1, 4.623e+1, -30.8
4.639e+2, 4.047e+1, -2.812e+1, 4.928e+1, -34.8
3.809e+2, 4.132e+1, -3.336e+1, 5.311e+1, -38.9
3.174e+2, 4.230e+1, -3.962e+1, 5.796e+1, -43.1
2.588e+2, 4.343e+1, -4.711e+1, 6.408e+1, -47.3
2.148e+2, 4.477e+1, -5.611e+1, 7.178e+1, -51.4
1.758e+2, 4.632e+1, -6.676e+1, 8.126e+1, -55.2
1.465e+2, 4.809e+1, -7.905e+1, 9.253e+1, -58.7
1.221e+2, 5.025e+1, -9.441e+1, 1.070e+2, -62.0
9.766e+1, 5.307e+1, -1.124e+2, 1.243e+2, -64.7
8.254e+1, 5.650e+1, -1.331e+2, 1.446e+2, -67.0
6.813e+1, 6.031e+1, -1.583e+2, 1.694e+2, -69.1
5.623e+1, 6.444e+1, -1.885e+2, 1.992e+2, -71.1
4.642e+1, 6.910e+1, -2.247e+2, 2.351e+2, -72.9
3.831e+1, 7.456e+1, -2.681e+2, 2.782e+2, -74.5
3.162e+1, 8.105e+1, -3.198e+2, 3.300e+2, -75.8
2.610e+1, 8.864e+1, -3.817e+2, 3.918e+2, -76.9
2.154e+1, 9.756e+1, -4.552e+2, 4.655e+2, -77.9
1.778e+1, 1.083e+2, -5.429e+2, 5.536e+2, -78.7
1.468e+1, 1.213e+2, -6.478e+2, 6.591e+2, -79.4
1.212e+1, 1.368e+2, -7.729e+2, 7.849e+2, -80.0
1.000e+1, 1.551e+2, -9.227e+2, 9.357e+2, -80.5
8.254e+0, 1.766e+2, -1.102e+3, 1.116e+3, -80.9
6.813e+0, 2.016e+2, -1.317e+3, 1.332e+3, -81.3
5.623e+0, 2.305e+2, -1.574e+3, 1.591e+3, -81.7
4.642e+0, 2.638e+2, -1.881e+3, 1.900e+3, -82.0
3.831e+0, 3.048e+2, -2.248e+3, 2.268e+3, -82.3
3.162e+0, 3.534e+2, -2.687e+3, 2.710e+3, -82.5
2.610e+0, 4.102e+2, -3.214e+3, 3.240e+3, -82.7
2.154e+0, 4.683e+2, -3.852e+3, 3.880e+3, -83.1
1.778e+0, 5.338e+2, -4.620e+3, 4.651e+3, -83.4
1.468e+0, 6.210e+2, -5.532e+3, 5.567e+3, -83.6
1.212e+0, 7.379e+2, -6.613e+3, 6.654e+3, -83.6
1.000e+0, 8.931e+2, -7.892e+3, 7.942e+3, -83.5
8.254e-1, 1.084e+3, -9.408e+3, 9.470e+3, -83.4
6.813e-1, 1.311e+3, -1.121e+4, 1.128e+4, -83.3
5.623e-1, 1.582e+3, -1.335e+4, 1.345e+4, -83.2
4.642e-1, 1.907e+3, -1.591e+4, 1.603e+4, -83.2
3.831e-1, 2.305e+3, -1.896e+4, 1.910e+4, -83.1
3.162e-1, 2.802e+3, -2.258e+4, 2.275e+4, -82.9
2.610e-1, 3.409e+3, -2.687e+4, 2.708e+4, -82.8
2.154e-1, 4.146e+3, -3.198e+4, 3.224e+4, -82.6
1.778e-1, 5.041e+3, -3.804e+4, 3.837e+4, -82.5
1.468e-1, 6.118e+3, -4.520e+4, 4.561e+4, -82.3
1.212e-1, 7.416e+3, -5.364e+4, 5.415e+4, -82.1
1.000e-1, 8.950e+3, -6.342e+4, 6.405e+4, -82.0
