May 14, 2026   14:52:17
A.C. Impedance
File: e:\chi_data\r0.5-n0.5-2_t9.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 2.072e+1, 1.007e+1, 2.303e+1, 25.9
6.816e+5, 2.017e+1, 7.946e+0, 2.168e+1, 21.5
5.625e+5, 1.951e+1, 6.692e+0, 2.063e+1, 18.9
4.639e+5, 1.942e+1, 5.310e+0, 2.014e+1, 15.3
3.828e+5, 1.937e+1, 4.410e+0, 1.987e+1, 12.8
3.164e+5, 1.940e+1, 3.567e+0, 1.973e+1, 10.4
2.607e+5, 1.936e+1, 2.945e+0, 1.958e+1, 8.7
2.158e+5, 1.932e+1, 2.376e+0, 1.947e+1, 7.0
1.777e+5, 1.933e+1, 1.815e+0, 1.941e+1, 5.4
1.465e+5, 1.934e+1, 1.338e+0, 1.939e+1, 4.0
1.211e+5, 1.932e+1, 1.035e+0, 1.934e+1, 3.1
9.961e+4, 1.930e+1, 7.893e-1, 1.932e+1, 2.3
8.252e+4, 1.929e+1, 5.820e-1, 1.930e+1, 1.7
6.812e+4, 1.929e+1, 3.635e-1, 1.930e+1, 1.1
5.625e+4, 1.930e+1, 1.200e-1, 1.930e+1, 0.4
4.644e+4, 1.932e+1, -1.439e-1, 1.932e+1, -0.4
3.833e+4, 1.938e+1, -3.924e-1, 1.938e+1, -1.2
3.164e+4, 1.945e+1, -6.092e-1, 1.946e+1, -1.8
2.612e+4, 1.953e+1, -8.172e-1, 1.955e+1, -2.4
2.153e+4, 1.961e+1, -1.041e+0, 1.964e+1, -3.0
1.777e+4, 1.969e+1, -1.281e+0, 1.973e+1, -3.7
1.470e+4, 1.977e+1, -1.562e+0, 1.983e+1, -4.5
1.211e+4, 1.986e+1, -1.875e+0, 1.995e+1, -5.4
1.001e+4, 1.996e+1, -2.231e+0, 2.009e+1, -6.4
8.252e+3, 2.007e+1, -2.637e+0, 2.024e+1, -7.5
6.812e+3, 2.020e+1, -3.105e+0, 2.043e+1, -8.7
5.625e+3, 2.034e+1, -3.660e+0, 2.066e+1, -10.2
4.643e+3, 2.049e+1, -4.304e+0, 2.094e+1, -11.9
3.833e+3, 2.067e+1, -5.063e+0, 2.128e+1, -13.8
3.164e+3, 2.086e+1, -5.956e+0, 2.169e+1, -15.9
2.612e+3, 2.108e+1, -7.012e+0, 2.221e+1, -18.4
2.153e+3, 2.133e+1, -8.268e+0, 2.288e+1, -21.2
1.777e+3, 2.163e+1, -9.756e+0, 2.373e+1, -24.3
1.470e+3, 2.197e+1, -1.152e+1, 2.481e+1, -27.7
