May 16, 2026   03:40:17
A.C. Impedance
File: e:\chi_data\bo-r0.64-n0.58-7ffv-2_t-30.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 2.882e+1, 1.060e+1, 3.071e+1, 20.2
6.816e+5, 2.864e+1, 8.291e+0, 2.981e+1, 16.1
5.625e+5, 2.816e+1, 6.908e+0, 2.899e+1, 13.8
4.639e+5, 2.818e+1, 5.519e+0, 2.872e+1, 11.1
3.828e+5, 2.818e+1, 4.576e+0, 2.855e+1, 9.2
3.164e+5, 2.829e+1, 3.723e+0, 2.853e+1, 7.5
2.607e+5, 2.830e+1, 3.076e+0, 2.847e+1, 6.2
2.158e+5, 2.829e+1, 2.514e+0, 2.840e+1, 5.1
1.777e+5, 2.830e+1, 1.942e+0, 2.836e+1, 3.9
1.465e+5, 2.832e+1, 1.474e+0, 2.835e+1, 3.0
1.211e+5, 2.830e+1, 2.424e+0, 2.841e+1, 4.9
9.961e+4, 2.832e+1, 3.965e+0, 2.859e+1, 8.0
8.252e+4, 2.831e+1, 4.488e+0, 2.867e+1, 9.0
6.812e+4, 2.829e+1, 4.185e+0, 2.860e+1, 8.4
5.625e+4, 2.829e+1, 3.335e+0, 2.848e+1, 6.7
4.644e+4, 2.833e+1, 2.428e+0, 2.844e+1, 4.9
3.833e+4, 2.839e+1, 1.660e+0, 2.844e+1, 3.3
3.164e+4, 2.846e+1, 1.089e+0, 2.849e+1, 2.2
2.612e+4, 2.853e+1, 6.218e-1, 2.853e+1, 1.2
2.153e+4, 2.859e+1, 2.130e-1, 2.859e+1, 0.4
1.777e+4, 2.866e+1, -1.762e-1, 2.866e+1, -0.4
1.470e+4, 2.874e+1, -5.730e-1, 2.875e+1, -1.1
1.211e+4, 2.882e+1, -9.745e-1, 2.883e+1, -1.9
1.001e+4, 2.889e+1, -1.404e+0, 2.893e+1, -2.8
8.252e+3, 2.899e+1, -1.862e+0, 2.905e+1, -3.7
6.812e+3, 2.911e+1, -2.360e+0, 2.921e+1, -4.6
5.625e+3, 2.924e+1, -2.914e+0, 2.938e+1, -5.7
4.643e+3, 2.937e+1, -3.544e+0, 2.959e+1, -6.9
3.833e+3, 2.952e+1, -4.273e+0, 2.983e+1, -8.2
3.164e+3, 2.969e+1, -5.118e+0, 3.013e+1, -9.8
2.612e+3, 2.989e+1, -6.103e+0, 3.050e+1, -11.5
2.153e+3, 3.011e+1, -7.262e+0, 3.097e+1, -13.6
1.777e+3, 3.036e+1, -8.627e+0, 3.157e+1, -15.9
1.470e+3, 3.065e+1, -1.024e+1, 3.232e+1, -18.5
1.211e+3, 3.098e+1, -1.216e+1, 3.328e+1, -21.4
1.001e+3, 3.135e+1, -1.441e+1, 3.450e+1, -24.7
8.252e+2, 3.178e+1, -1.706e+1, 3.607e+1, -28.2
6.836e+2, 3.229e+1, -2.026e+1, 3.812e+1, -32.1
5.615e+2, 3.287e+1, -2.413e+1, 4.077e+1, -36.3
4.639e+2, 3.355e+1, -2.878e+1, 4.420e+1, -40.6
3.809e+2, 3.433e+1, -3.425e+1, 4.849e+1, -44.9
3.174e+2, 3.524e+1, -4.080e+1, 5.391e+1, -49.2
2.588e+2, 3.631e+1, -4.864e+1, 6.069e+1, -53.3
2.148e+2, 3.759e+1, -5.804e+1, 6.915e+1, -57.1
1.758e+2, 3.907e+1, -6.919e+1, 7.946e+1, -60.5
1.465e+2, 4.075e+1, -8.207e+1, 9.163e+1, -63.6
1.221e+2, 4.284e+1, -9.816e+1, 1.071e+2, -66.4
9.766e+1, 4.568e+1, -1.171e+2, 1.257e+2, -68.7
8.254e+1, 4.906e+1, -1.389e+2, 1.473e+2, -70.5
6.813e+1, 5.273e+1, -1.654e+2, 1.736e+2, -72.3
5.623e+1, 5.668e+1, -1.971e+2, 2.051e+2, -74.0
4.642e+1, 6.121e+1, -2.353e+2, 2.431e+2, -75.4
3.831e+1, 6.658e+1, -2.811e+2, 2.888e+2, -76.7
3.162e+1, 7.306e+1, -3.358e+2, 3.437e+2, -77.7
2.610e+1, 8.080e+1, -4.012e+2, 4.092e+2, -78.6
2.154e+1, 9.005e+1, -4.790e+2, 4.874e+2, -79.4
1.778e+1, 1.014e+2, -5.717e+2, 5.806e+2, -79.9
1.468e+1, 1.150e+2, -6.827e+2, 6.923e+2, -80.4
1.212e+1, 1.313e+2, -8.154e+2, 8.259e+2, -80.8
1.000e+1, 1.514e+2, -9.740e+2, 9.857e+2, -81.2
8.254e+0, 1.749e+2, -1.164e+3, 1.177e+3, -81.5
6.813e+0, 2.022e+2, -1.390e+3, 1.405e+3, -81.7
5.623e+0, 2.343e+2, -1.661e+3, 1.677e+3, -82.0
4.642e+0, 2.728e+2, -1.985e+3, 2.003e+3, -82.2
3.831e+0, 3.197e+2, -2.370e+3, 2.392e+3, -82.3
3.162e+0, 3.738e+2, -2.832e+3, 2.857e+3, -82.5
2.610e+0, 4.374e+2, -3.386e+3, 3.414e+3, -82.6
2.154e+0, 5.047e+2, -4.056e+3, 4.088e+3, -82.9
1.778e+0, 5.816e+2, -4.862e+3, 4.896e+3, -83.2
1.468e+0, 6.850e+2, -5.817e+3, 5.857e+3, -83.3
1.212e+0, 8.231e+2, -6.949e+3, 6.998e+3, -83.2
1.000e+0, 1.003e+3, -8.283e+3, 8.344e+3, -83.1
8.254e-1, 1.225e+3, -9.857e+3, 9.933e+3, -82.9
6.813e-1, 1.491e+3, -1.172e+4, 1.182e+4, -82.8
5.623e-1, 1.807e+3, -1.394e+4, 1.406e+4, -82.6
4.642e-1, 2.186e+3, -1.658e+4, 1.673e+4, -82.5
3.831e-1, 2.644e+3, -1.972e+4, 1.990e+4, -82.4
3.162e-1, 3.214e+3, -2.343e+4, 2.365e+4, -82.2
2.610e-1, 3.906e+3, -2.782e+4, 2.809e+4, -82.0
2.154e-1, 4.736e+3, -3.304e+4, 3.338e+4, -81.8
1.778e-1, 5.733e+3, -3.922e+4, 3.963e+4, -81.7
1.468e-1, 6.922e+3, -4.650e+4, 4.701e+4, -81.5
1.212e-1, 8.354e+3, -5.507e+4, 5.570e+4, -81.4
1.000e-1, 1.004e+4, -6.500e+4, 6.577e+4, -81.2
