May 16, 2026   00:13:54
A.C. Impedance
File: e:\chi_data\bo-r0.64-n0.58-7ffv-2_t12.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 7.577e+0, 1.168e+1, 1.392e+1, 57.0
6.816e+5, 7.037e+0, 9.442e+0, 1.178e+1, 53.3
5.625e+5, 6.462e+0, 7.795e+0, 1.013e+1, 50.3
4.639e+5, 6.265e+0, 6.381e+0, 8.942e+0, 45.5
3.828e+5, 6.112e+0, 5.320e+0, 8.103e+0, 41.0
3.164e+5, 6.050e+0, 4.413e+0, 7.489e+0, 36.1
2.607e+5, 5.961e+0, 3.667e+0, 6.998e+0, 31.6
2.158e+5, 5.893e+0, 3.014e+0, 6.620e+0, 27.1
1.777e+5, 5.848e+0, 2.443e+0, 6.338e+0, 22.7
1.465e+5, 5.819e+0, 1.958e+0, 6.140e+0, 18.6
1.211e+5, 5.781e+0, 1.573e+0, 5.991e+0, 15.2
9.961e+4, 5.756e+0, 1.253e+0, 5.891e+0, 12.3
8.252e+4, 5.746e+0, 9.884e-1, 5.830e+0, 9.8
6.812e+4, 5.744e+0, 7.454e-1, 5.792e+0, 7.4
5.625e+4, 5.743e+0, 5.210e-1, 5.767e+0, 5.2
4.644e+4, 5.749e+0, 3.115e-1, 5.757e+0, 3.1
3.833e+4, 5.764e+0, 1.217e-1, 5.765e+0, 1.2
3.164e+4, 5.784e+0, -5.044e-2, 5.785e+0, -0.5
2.612e+4, 5.805e+0, -2.173e-1, 5.810e+0, -2.1
2.153e+4, 5.826e+0, -3.940e-1, 5.839e+0, -3.9
1.777e+4, 5.850e+0, -5.785e-1, 5.878e+0, -5.6
1.470e+4, 5.879e+0, -7.763e-1, 5.930e+0, -7.5
1.211e+4, 5.912e+0, -9.977e-1, 5.996e+0, -9.6
1.001e+4, 5.948e+0, -1.248e+0, 6.077e+0, -11.8
8.252e+3, 5.988e+0, -1.533e+0, 6.181e+0, -14.4
6.812e+3, 6.033e+0, -1.861e+0, 6.314e+0, -17.1
5.625e+3, 6.086e+0, -2.246e+0, 6.487e+0, -20.3
4.643e+3, 6.147e+0, -2.699e+0, 6.713e+0, -23.7
3.833e+3, 6.216e+0, -3.234e+0, 7.007e+0, -27.5
3.164e+3, 6.301e+0, -3.870e+0, 7.394e+0, -31.6
2.612e+3, 6.400e+0, -4.628e+0, 7.898e+0, -35.9
2.153e+3, 6.515e+0, -5.532e+0, 8.547e+0, -40.3
1.777e+3, 6.650e+0, -6.604e+0, 9.372e+0, -44.8
1.470e+3, 6.807e+0, -7.883e+0, 1.042e+1, -49.2
1.211e+3, 6.988e+0, -9.409e+0, 1.172e+1, -53.4
1.001e+3, 7.202e+0, -1.123e+1, 1.334e+1, -57.3
8.252e+2, 7.452e+0, -1.338e+1, 1.531e+1, -60.9
6.836e+2, 7.749e+0, -1.596e+1, 1.774e+1, -64.1
5.615e+2, 8.116e+0, -1.907e+1, 2.072e+1, -66.9
4.639e+2, 8.562e+0, -2.284e+1, 2.439e+1, -69.5
3.809e+2, 9.073e+0, -2.730e+1, 2.877e+1, -71.6
3.174e+2, 9.671e+0, -3.267e+1, 3.407e+1, -73.5
2.588e+2, 1.038e+1, -3.911e+1, 4.046e+1, -75.1
2.148e+2, 1.123e+1, -4.685e+1, 4.818e+1, -76.5
1.758e+2, 1.224e+1, -5.603e+1, 5.736e+1, -77.7
1.465e+2, 1.343e+1, -6.665e+1, 6.799e+1, -78.6
1.221e+2, 1.494e+1, -7.998e+1, 8.137e+1, -79.4
9.766e+1, 1.700e+1, -9.571e+1, 9.721e+1, -79.9
8.254e+1, 1.955e+1, -1.138e+2, 1.155e+2, -80.3
6.813e+1, 2.242e+1, -1.358e+2, 1.377e+2, -80.6
5.623e+1, 2.565e+1, -1.623e+2, 1.643e+2, -81.0
4.642e+1, 2.944e+1, -1.940e+2, 1.962e+2, -81.4
3.831e+1, 3.398e+1, -2.319e+2, 2.344e+2, -81.7
3.162e+1, 3.951e+1, -2.772e+2, 2.800e+2, -81.9
2.610e+1, 4.617e+1, -3.311e+2, 3.343e+2, -82.1
2.154e+1, 5.400e+1, -3.954e+2, 3.991e+2, -82.2
1.778e+1, 6.337e+1, -4.720e+2, 4.763e+2, -82.4
1.468e+1, 7.467e+1, -5.636e+2, 5.685e+2, -82.5
1.212e+1, 8.849e+1, -6.728e+2, 6.786e+2, -82.5
1.000e+1, 1.058e+2, -8.036e+2, 8.105e+2, -82.5
8.254e+0, 1.264e+2, -9.601e+2, 9.683e+2, -82.5
6.813e+0, 1.504e+2, -1.147e+3, 1.157e+3, -82.5
5.623e+0, 1.791e+2, -1.370e+3, 1.382e+3, -82.6
4.642e+0, 2.133e+2, -1.637e+3, 1.651e+3, -82.6
3.831e+0, 2.553e+2, -1.956e+3, 1.972e+3, -82.6
3.162e+0, 3.061e+2, -2.336e+3, 2.356e+3, -82.5
2.610e+0, 3.681e+2, -2.790e+3, 2.814e+3, -82.5
2.154e+0, 4.366e+2, -3.338e+3, 3.367e+3, -82.5
1.778e+0, 5.162e+2, -3.996e+3, 4.029e+3, -82.6
1.468e+0, 6.218e+2, -4.775e+3, 4.816e+3, -82.6
1.212e+0, 7.648e+2, -5.700e+3, 5.751e+3, -82.4
1.000e+0, 9.528e+2, -6.786e+3, 6.853e+3, -82.0
8.254e-1, 1.187e+3, -8.058e+3, 8.145e+3, -81.6
6.813e-1, 1.473e+3, -9.557e+3, 9.670e+3, -81.2
5.623e-1, 1.822e+3, -1.133e+4, 1.148e+4, -80.9
4.642e-1, 2.257e+3, -1.344e+4, 1.363e+4, -80.5
3.831e-1, 2.798e+3, -1.592e+4, 1.616e+4, -80.0
3.162e-1, 3.472e+3, -1.884e+4, 1.915e+4, -79.6
2.610e-1, 4.316e+3, -2.226e+4, 2.267e+4, -79.0
2.154e-1, 5.372e+3, -2.626e+4, 2.681e+4, -78.4
1.778e-1, 6.675e+3, -3.096e+4, 3.167e+4, -77.8
1.468e-1, 8.277e+3, -3.644e+4, 3.737e+4, -77.2
1.212e-1, 1.028e+4, -4.282e+4, 4.403e+4, -76.5
1.000e-1, 1.270e+4, -5.010e+4, 5.169e+4, -75.8
