May 16, 2026   20:34:44
A.C. Impedance
File: e:\chi_data\bo-r0.20-n1.10-746i-2_t-54.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 8.402e+0, 1.140e+1, 1.416e+1, 53.6
6.816e+5, 7.892e+0, 9.101e+0, 1.205e+1, 49.1
5.625e+5, 7.401e+0, 7.494e+0, 1.053e+1, 45.4
4.639e+5, 7.208e+0, 6.061e+0, 9.418e+0, 40.1
3.828e+5, 7.077e+0, 4.988e+0, 8.658e+0, 35.2
3.164e+5, 7.010e+0, 4.038e+0, 8.090e+0, 29.9
2.607e+5, 6.945e+0, 3.244e+0, 7.665e+0, 25.0
2.158e+5, 6.901e+0, 2.536e+0, 7.352e+0, 20.2
1.777e+5, 6.883e+0, 1.895e+0, 7.139e+0, 15.4
1.465e+5, 6.878e+0, 1.325e+0, 7.005e+0, 10.9
1.211e+5, 6.869e+0, 8.390e-1, 6.920e+0, 7.0
9.961e+4, 6.884e+0, 3.944e-1, 6.895e+0, 3.3
8.252e+4, 6.919e+0, -1.627e-2, 6.919e+0, -0.1
6.812e+4, 6.968e+0, -4.237e-1, 6.981e+0, -3.5
5.625e+4, 7.023e+0, -8.434e-1, 7.074e+0, -6.8
4.644e+4, 7.100e+0, -1.287e+0, 7.216e+0, -10.3
3.833e+4, 7.203e+0, -1.753e+0, 7.413e+0, -13.7
3.164e+4, 7.326e+0, -2.249e+0, 7.663e+0, -17.1
2.612e+4, 7.468e+0, -2.788e+0, 7.971e+0, -20.5
2.153e+4, 7.625e+0, -3.394e+0, 8.346e+0, -24.0
1.777e+4, 7.811e+0, -4.083e+0, 8.814e+0, -27.6
1.470e+4, 8.032e+0, -4.872e+0, 9.394e+0, -31.2
1.211e+4, 8.279e+0, -5.784e+0, 1.010e+1, -34.9
1.001e+4, 8.554e+0, -6.845e+0, 1.096e+1, -38.7
8.252e+3, 8.871e+0, -8.074e+0, 1.199e+1, -42.3
6.812e+3, 9.238e+0, -9.501e+0, 1.325e+1, -45.8
5.625e+3, 9.656e+0, -1.117e+1, 1.477e+1, -49.2
4.643e+3, 1.013e+1, -1.313e+1, 1.658e+1, -52.3
3.833e+3, 1.067e+1, -1.543e+1, 1.876e+1, -55.3
3.164e+3, 1.128e+1, -1.815e+1, 2.137e+1, -58.1
2.612e+3, 1.199e+1, -2.135e+1, 2.449e+1, -60.7
2.153e+3, 1.283e+1, -2.516e+1, 2.824e+1, -63.0
1.777e+3, 1.383e+1, -2.966e+1, 3.273e+1, -65.0
1.470e+3, 1.499e+1, -3.503e+1, 3.810e+1, -66.8
1.211e+3, 1.634e+1, -4.139e+1, 4.450e+1, -68.5
1.001e+3, 1.797e+1, -4.892e+1, 5.212e+1, -69.8
8.252e+2, 1.993e+1, -5.778e+1, 6.112e+1, -71.0
6.836e+2, 2.226e+1, -6.833e+1, 7.187e+1, -72.0
5.615e+2, 2.506e+1, -8.094e+1, 8.473e+1, -72.8
4.639e+2, 2.845e+1, -9.594e+1, 1.001e+2, -73.5
3.809e+2, 3.255e+1, -1.134e+2, 1.180e+2, -74.0
3.174e+2, 3.760e+1, -1.342e+2, 1.394e+2, -74.3
2.588e+2, 4.383e+1, -1.587e+2, 1.646e+2, -74.6
2.148e+2, 5.158e+1, -1.875e+2, 1.944e+2, -74.6
1.758e+2, 6.118e+1, -2.212e+2, 2.295e+2, -74.5
1.465e+2, 7.269e+1, -2.597e+2, 2.697e+2, -74.4
1.221e+2, 8.787e+1, -3.065e+2, 3.189e+2, -74.0
9.766e+1, 1.075e+2, -3.602e+2, 3.759e+2, -73.4
8.254e+1, 1.310e+2, -4.202e+2, 4.401e+2, -72.7
6.813e+1, 1.590e+2, -4.904e+2, 5.155e+2, -72.0
5.623e+1, 1.925e+2, -5.713e+2, 6.029e+2, -71.4
