May 16, 2026   16:17:28
A.C. Impedance
File: e:\chi_data\bo-r0.20-n1.10-746i-2_t0.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 3.987e+0, 1.191e+1, 1.256e+1, 71.5
6.816e+5, 3.430e+0, 9.678e+0, 1.027e+1, 70.5
5.625e+5, 3.000e+0, 8.001e+0, 8.544e+0, 69.4
4.639e+5, 2.711e+0, 6.539e+0, 7.079e+0, 67.5
3.828e+5, 2.544e+0, 5.411e+0, 5.979e+0, 64.8
3.164e+5, 2.425e+0, 4.437e+0, 5.056e+0, 61.3
2.607e+5, 2.340e+0, 3.629e+0, 4.318e+0, 57.2
2.158e+5, 2.275e+0, 2.924e+0, 3.704e+0, 52.1
1.777e+5, 2.237e+0, 2.314e+0, 3.219e+0, 46.0
1.465e+5, 2.213e+0, 1.785e+0, 2.843e+0, 38.9
1.211e+5, 2.196e+0, 1.337e+0, 2.571e+0, 31.3
9.961e+4, 2.179e+0, 8.364e-1, 2.334e+0, 21.0
8.252e+4, 2.168e+0, 3.287e-1, 2.193e+0, 8.6
6.812e+4, 2.177e+0, -6.049e-2, 2.178e+0, -1.6
5.625e+4, 2.196e+0, -3.609e-1, 2.225e+0, -9.3
4.644e+4, 2.223e+0, -6.126e-1, 2.306e+0, -15.4
3.833e+4, 2.262e+0, -8.641e-1, 2.422e+0, -20.9
3.164e+4, 2.321e+0, -1.105e+0, 2.570e+0, -25.5
2.612e+4, 2.391e+0, -1.370e+0, 2.756e+0, -29.8
2.153e+4, 2.463e+0, -1.710e+0, 2.998e+0, -34.8
1.777e+4, 2.540e+0, -2.123e+0, 3.310e+0, -39.9
1.470e+4, 2.623e+0, -2.612e+0, 3.701e+0, -44.9
1.211e+4, 2.719e+0, -3.178e+0, 4.183e+0, -49.5
1.001e+4, 2.836e+0, -3.834e+0, 4.769e+0, -53.5
8.252e+3, 2.978e+0, -4.598e+0, 5.478e+0, -57.1
6.812e+3, 3.149e+0, -5.493e+0, 6.332e+0, -60.2
5.625e+3, 3.357e+0, -6.546e+0, 7.357e+0, -62.9
4.643e+3, 3.610e+0, -7.791e+0, 8.587e+0, -65.1
3.833e+3, 3.919e+0, -9.261e+0, 1.006e+1, -67.1
3.164e+3, 4.298e+0, -1.099e+1, 1.180e+1, -68.6
2.612e+3, 4.765e+0, -1.303e+1, 1.387e+1, -69.9
2.153e+3, 5.338e+0, -1.543e+1, 1.632e+1, -70.9
1.777e+3, 6.042e+0, -1.822e+1, 1.920e+1, -71.7
1.470e+3, 6.905e+0, -2.148e+1, 2.257e+1, -72.2
1.211e+3, 7.982e+0, -2.533e+1, 2.656e+1, -72.5
1.001e+3, 9.351e+0, -2.984e+1, 3.127e+1, -72.6
8.252e+2, 1.102e+1, -3.505e+1, 3.675e+1, -72.5
6.836e+2, 1.304e+1, -4.115e+1, 4.317e+1, -72.4
5.615e+2, 1.548e+1, -4.825e+1, 5.067e+1, -72.2
4.639e+2, 1.842e+1, -5.648e+1, 5.941e+1, -71.9
3.809e+2, 2.190e+1, -6.587e+1, 6.942e+1, -71.6
3.174e+2, 2.606e+1, -7.673e+1, 8.104e+1, -71.2
2.588e+2, 3.099e+1, -8.925e+1, 9.448e+1, -70.9
2.148e+2, 3.677e+1, -1.037e+2, 1.100e+2, -70.5
1.758e+2, 4.339e+1, -1.201e+2, 1.277e+2, -70.1
1.465e+2, 5.074e+1, -1.382e+2, 1.473e+2, -69.8
1.221e+2, 5.956e+1, -1.601e+2, 1.708e+2, -69.6
9.766e+1, 7.022e+1, -1.851e+2, 1.979e+2, -69.2
8.254e+1, 8.231e+1, -2.133e+2, 2.286e+2, -68.9
6.813e+1, 9.568e+1, -2.465e+2, 2.644e+2, -68.8
5.623e+1, 1.105e+2, -2.852e+2, 3.059e+2, -68.8
4.642e+1, 1.276e+2, -3.305e+2, 3.543e+2, -68.9
3.831e+1, 1.474e+2, -3.835e+2, 4.108e+2, -69.0
3.162e+1, 1.704e+2, -4.450e+2, 4.765e+2, -69.0
2.610e+1, 1.973e+2, -5.163e+2, 5.527e+2, -69.1
2.154e+1, 2.288e+2, -5.991e+2, 6.413e+2, -69.1
1.778e+1, 2.656e+2, -6.949e+2, 7.440e+2, -69.1
1.468e+1, 3.089e+2, -8.063e+2, 8.634e+2, -69.0
1.212e+1, 3.592e+2, -9.353e+2, 1.002e+3, -69.0
1.000e+1, 4.184e+2, -1.085e+3, 1.163e+3, -68.9
8.254e+0, 4.877e+2, -1.260e+3, 1.351e+3, -68.8
6.813e+0, 5.680e+2, -1.464e+3, 1.570e+3, -68.8
5.623e+0, 6.620e+2, -1.699e+3, 1.824e+3, -68.7
4.642e+0, 7.731e+2, -1.974e+3, 2.120e+3, -68.6
3.831e+0, 9.044e+2, -2.290e+3, 2.462e+3, -68.4
3.162e+0, 1.058e+3, -2.658e+3, 2.861e+3, -68.3
2.610e+0, 1.240e+3, -3.083e+3, 3.323e+3, -68.1
2.154e+0, 1.450e+3, -3.601e+3, 3.882e+3, -68.1
1.778e+0, 1.701e+3, -4.209e+3, 4.539e+3, -68.0
1.468e+0, 2.010e+3, -4.880e+3, 5.278e+3, -67.6
1.212e+0, 2.392e+3, -5.622e+3, 6.110e+3, -66.9
1.000e+0, 2.864e+3, -6.430e+3, 7.039e+3, -66.0
8.254e-1, 3.425e+3, -7.306e+3, 8.069e+3, -64.9
6.813e-1, 4.086e+3, -8.265e+3, 9.220e+3, -63.7
5.623e-1, 4.862e+3, -9.320e+3, 1.051e+4, -62.5
4.642e-1, 5.753e+3, -1.048e+4, 1.196e+4, -61.2
3.831e-1, 6.766e+3, -1.175e+4, 1.356e+4, -60.1
3.162e-1, 7.891e+3, -1.307e+4, 1.527e+4, -58.9
2.610e-1, 9.074e+3, -1.443e+4, 1.705e+4, -57.8
2.154e-1, 1.027e+4, -1.590e+4, 1.893e+4, -57.1
1.778e-1, 1.149e+4, -1.759e+4, 2.101e+4, -56.9
1.468e-1, 1.266e+4, -1.951e+4, 2.326e+4, -57.0
1.212e-1, 1.368e+4, -2.167e+4, 2.563e+4, -57.7
1.000e-1, 1.454e+4, -2.412e+4, 2.817e+4, -58.9
