May 17, 2026   13:18:09
A.C. Impedance
File: e:\chi_data\bo-r0.50-n0.90-23yp-2_t-11.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 4.767e+0, 1.179e+1, 1.272e+1, 68.0
6.816e+5, 4.223e+0, 9.546e+0, 1.044e+1, 66.1
5.625e+5, 3.732e+0, 7.929e+0, 8.763e+0, 64.8
4.639e+5, 3.495e+0, 6.454e+0, 7.340e+0, 61.6
3.828e+5, 3.337e+0, 5.328e+0, 6.286e+0, 57.9
3.164e+5, 3.253e+0, 4.344e+0, 5.428e+0, 53.2
2.607e+5, 3.177e+0, 3.545e+0, 4.760e+0, 48.1
2.158e+5, 3.126e+0, 2.845e+0, 4.227e+0, 42.3
1.777e+5, 3.098e+0, 2.240e+0, 3.823e+0, 35.9
1.465e+5, 3.089e+0, 1.717e+0, 3.534e+0, 29.1
1.211e+5, 3.084e+0, 1.275e+0, 3.337e+0, 22.5
9.961e+4, 3.096e+0, 8.849e-1, 3.220e+0, 15.9
8.252e+4, 3.128e+0, 5.387e-1, 3.174e+0, 9.8
6.812e+4, 3.179e+0, 2.219e-1, 3.187e+0, 4.0
5.625e+4, 3.243e+0, -7.217e-2, 3.243e+0, -1.3
4.644e+4, 3.325e+0, -3.549e-1, 3.344e+0, -6.1
3.833e+4, 3.429e+0, -6.236e-1, 3.485e+0, -10.3
3.164e+4, 3.555e+0, -8.800e-1, 3.663e+0, -13.9
2.612e+4, 3.708e+0, -1.130e+0, 3.876e+0, -16.9
2.153e+4, 3.885e+0, -1.373e+0, 4.121e+0, -19.5
1.777e+4, 4.087e+0, -1.608e+0, 4.392e+0, -21.5
1.470e+4, 4.310e+0, -1.835e+0, 4.685e+0, -23.1
1.211e+4, 4.550e+0, -2.055e+0, 4.992e+0, -24.3
1.001e+4, 4.801e+0, -2.271e+0, 5.311e+0, -25.3
8.252e+3, 5.060e+0, -2.487e+0, 5.638e+0, -26.2
6.812e+3, 5.320e+0, -2.706e+0, 5.969e+0, -27.0
5.625e+3, 5.577e+0, -2.939e+0, 6.304e+0, -27.8
4.643e+3, 5.823e+0, -3.202e+0, 6.645e+0, -28.8
3.833e+3, 6.060e+0, -3.510e+0, 7.003e+0, -30.1
3.164e+3, 6.286e+0, -3.881e+0, 7.388e+0, -31.7
2.612e+3, 6.505e+0, -4.336e+0, 7.818e+0, -33.7
2.153e+3, 6.722e+0, -4.896e+0, 8.316e+0, -36.1
1.777e+3, 6.943e+0, -5.578e+0, 8.906e+0, -38.8
1.470e+3, 7.176e+0, -6.410e+0, 9.622e+0, -41.8
1.211e+3, 7.429e+0, -7.418e+0, 1.050e+1, -45.0
1.001e+3, 7.711e+0, -8.628e+0, 1.157e+1, -48.2
8.252e+2, 8.032e+0, -1.007e+1, 1.288e+1, -51.4
6.836e+2, 8.405e+0, -1.180e+1, 1.449e+1, -54.5
5.615e+2, 8.838e+0, -1.387e+1, 1.645e+1, -57.5
4.639e+2, 9.345e+0, -1.633e+1, 1.882e+1, -60.2
3.809e+2, 9.951e+0, -1.924e+1, 2.166e+1, -62.7
3.174e+2, 1.067e+1, -2.273e+1, 2.511e+1, -64.8
2.588e+2, 1.150e+1, -2.688e+1, 2.923e+1, -66.8
