May 17, 2026   10:44:25
A.C. Impedance
File: e:\chi_data\bo-r0.50-n0.90-23yp-2_t19.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 3.479e+0, 1.206e+1, 1.256e+1, 73.9
6.816e+5, 2.943e+0, 9.764e+0, 1.020e+1, 73.2
5.625e+5, 2.432e+0, 8.119e+0, 8.476e+0, 73.3
4.639e+5, 2.200e+0, 6.637e+0, 6.992e+0, 71.7
3.828e+5, 2.035e+0, 5.520e+0, 5.884e+0, 69.8
3.164e+5, 1.939e+0, 4.544e+0, 4.940e+0, 66.9
2.607e+5, 1.844e+0, 3.754e+0, 4.183e+0, 63.8
2.158e+5, 1.768e+0, 3.069e+0, 3.542e+0, 60.0
1.777e+5, 1.714e+0, 2.485e+0, 3.019e+0, 55.4
1.465e+5, 1.682e+0, 1.981e+0, 2.599e+0, 49.7
1.211e+5, 1.649e+0, 1.425e+0, 2.179e+0, 40.8
9.961e+4, 1.625e+0, 8.663e-1, 1.842e+0, 28.1
8.252e+4, 1.615e+0, 4.713e-1, 1.682e+0, 16.3
6.812e+4, 1.618e+0, 2.008e-1, 1.631e+0, 7.1
5.625e+4, 1.634e+0, 1.236e-2, 1.634e+0, 0.4
4.644e+4, 1.659e+0, -1.604e-1, 1.667e+0, -5.5
3.833e+4, 1.694e+0, -3.346e-1, 1.726e+0, -11.2
3.164e+4, 1.738e+0, -5.233e-1, 1.815e+0, -16.8
2.612e+4, 1.797e+0, -7.244e-1, 1.938e+0, -22.0
2.153e+4, 1.869e+0, -9.396e-1, 2.092e+0, -26.7
1.777e+4, 1.959e+0, -1.172e+0, 2.282e+0, -30.9
1.470e+4, 2.076e+0, -1.420e+0, 2.515e+0, -34.4
1.211e+4, 2.231e+0, -1.676e+0, 2.790e+0, -36.9
1.001e+4, 2.422e+0, -1.945e+0, 3.106e+0, -38.8
8.252e+3, 2.644e+0, -2.241e+0, 3.466e+0, -40.3
6.812e+3, 2.896e+0, -2.557e+0, 3.863e+0, -41.4
5.625e+3, 3.178e+0, -2.888e+0, 4.294e+0, -42.3
4.643e+3, 3.488e+0, -3.227e+0, 4.752e+0, -42.8
3.833e+3, 3.816e+0, -3.576e+0, 5.230e+0, -43.1
3.164e+3, 4.154e+0, -3.944e+0, 5.728e+0, -43.5
2.612e+3, 4.492e+0, -4.346e+0, 6.250e+0, -44.1
2.153e+3, 4.823e+0, -4.803e+0, 6.807e+0, -44.9
1.777e+3, 5.147e+0, -5.338e+0, 7.415e+0, -46.0
1.470e+3, 5.463e+0, -5.982e+0, 8.101e+0, -47.6
1.211e+3, 5.780e+0, -6.761e+0, 8.895e+0, -49.5
1.001e+3, 6.105e+0, -7.702e+0, 9.828e+0, -51.6
8.252e+2, 6.448e+0, -8.836e+0, 1.094e+1, -53.9
6.836e+2, 6.822e+0, -1.021e+1, 1.228e+1, -56.3
5.615e+2, 7.240e+0, -1.187e+1, 1.390e+1, -58.6
4.639e+2, 7.714e+0, -1.387e+1, 1.587e+1, -60.9
3.809e+2, 8.246e+0, -1.620e+1, 1.818e+1, -63.0
3.174e+2, 8.873e+0, -1.902e+1, 2.099e+1, -65.0
2.588e+2, 9.611e+0, -2.241e+1, 2.438e+1, -66.8
2.148e+2, 1.047e+1, -2.645e+1, 2.845e+1, -68.4
1.758e+2, 1.145e+1, -3.120e+1, 3.323e+1, -69.9
1.465e+2, 1.255e+1, -3.664e+1, 3.873e+1, -71.1
1.221e+2, 1.391e+1, -4.340e+1, 4.557e+1, -72.2
9.766e+1, 1.564e+1, -5.129e+1, 5.363e+1, -73.0
8.254e+1, 1.769e+1, -6.033e+1, 6.287e+1, -73.7
6.813e+1, 2.001e+1, -7.119e+1, 7.394e+1, -74.3
5.623e+1, 2.262e+1, -8.409e+1, 8.708e+1, -74.9
4.642e+1, 2.566e+1, -9.945e+1, 1.027e+2, -75.5
3.831e+1, 2.930e+1, -1.177e+2, 1.213e+2, -76.0
3.162e+1, 3.362e+1, -1.393e+2, 1.433e+2, -76.4
2.610e+1, 3.878e+1, -1.651e+2, 1.696e+2, -76.8
2.154e+1, 4.493e+1, -1.955e+2, 2.006e+2, -77.1
1.778e+1, 5.220e+1, -2.313e+2, 2.372e+2, -77.3
1.468e+1, 6.084e+1, -2.737e+2, 2.804e+2, -77.5
1.212e+1, 7.120e+1, -3.239e+2, 3.316e+2, -77.6
1.000e+1, 8.384e+1, -3.832e+2, 3.922e+2, -77.7
