June 10, 2026   07:36:09
A.C. Impedance
File: e:\chi_data\bo-r0.28-n0.96-w96y-1_t-81.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 1.679e+2, -1.973e+1, 1.691e+2, -6.7
6.816e+5, 1.700e+2, -2.145e+1, 1.713e+2, -7.2
5.625e+5, 1.699e+2, -1.867e+1, 1.709e+2, -6.3
4.639e+5, 1.730e+2, -1.747e+1, 1.738e+2, -5.8
3.828e+5, 1.758e+2, -1.492e+1, 1.764e+2, -4.9
3.164e+5, 1.783e+2, -1.330e+1, 1.788e+2, -4.3
2.607e+5, 1.797e+2, -1.163e+1, 1.801e+2, -3.7
2.158e+5, 1.809e+2, -1.029e+1, 1.812e+2, -3.3
1.777e+5, 1.822e+2, -9.964e+0, 1.825e+2, -3.1
1.465e+5, 1.833e+2, -9.464e+0, 1.836e+2, -3.0
1.211e+5, 1.837e+2, -6.646e+0, 1.839e+2, -2.1
9.961e+4, 1.841e+2, -3.442e+0, 1.841e+2, -1.1
8.252e+4, 1.846e+2, -1.540e+0, 1.846e+2, -0.5
6.812e+4, 1.850e+2, -8.200e-1, 1.850e+2, -0.3
5.625e+4, 1.853e+2, -8.110e-1, 1.853e+2, -0.3
4.644e+4, 1.856e+2, -1.409e+0, 1.856e+2, -0.4
3.833e+4, 1.860e+2, -1.799e+0, 1.860e+2, -0.6
3.164e+4, 1.865e+2, -1.879e+0, 1.865e+2, -0.6
2.612e+4, 1.870e+2, -2.144e+0, 1.870e+2, -0.7
2.153e+4, 1.874e+2, -2.333e+0, 1.874e+2, -0.7
1.777e+4, 1.879e+2, -2.483e+0, 1.879e+2, -0.8
1.470e+4, 1.884e+2, -2.598e+0, 1.885e+2, -0.8
1.211e+4, 1.887e+2, -2.815e+0, 1.887e+2, -0.9
1.001e+4, 1.890e+2, -3.146e+0, 1.890e+2, -1.0
8.252e+3, 1.893e+2, -3.552e+0, 1.893e+2, -1.1
6.812e+3, 1.897e+2, -4.052e+0, 1.898e+2, -1.2
5.625e+3, 1.902e+2, -4.645e+0, 1.903e+2, -1.4
4.643e+3, 1.907e+2, -5.396e+0, 1.908e+2, -1.6
3.833e+3, 1.912e+2, -6.268e+0, 1.913e+2, -1.9
3.164e+3, 1.918e+2, -7.297e+0, 1.919e+2, -2.2
2.612e+3, 1.923e+2, -8.498e+0, 1.925e+2, -2.5
2.153e+3, 1.929e+2, -9.908e+0, 1.932e+2, -2.9
1.777e+3, 1.936e+2, -1.158e+1, 1.939e+2, -3.4
1.470e+3, 1.943e+2, -1.352e+1, 1.948e+2, -4.0
1.211e+3, 1.951e+2, -1.584e+1, 1.958e+2, -4.6
1.001e+3, 1.959e+2, -1.846e+1, 1.967e+2, -5.4
8.252e+2, 1.966e+2, -2.141e+1, 1.978e+2, -6.2
6.836e+2, 1.976e+2, -2.505e+1, 1.992e+2, -7.2
5.615e+2, 1.990e+2, -2.950e+1, 2.012e+2, -8.4
4.639e+2, 2.007e+2, -3.492e+1, 2.037e+2, -9.9
3.809e+2, 2.024e+2, -4.134e+1, 2.066e+2, -11.5
3.174e+2, 2.042e+2, -4.898e+1, 2.100e+2, -13.5
2.588e+2, 2.062e+2, -5.804e+1, 2.142e+2, -15.7
2.148e+2, 2.085e+2, -6.881e+1, 2.196e+2, -18.3
1.758e+2, 2.111e+2, -8.144e+1, 2.262e+2, -21.1
1.465e+2, 2.139e+2, -9.596e+1, 2.344e+2, -24.2
1.221e+2, 2.173e+2, -1.138e+2, 2.452e+2, -27.6
9.766e+1, 2.217e+2, -1.342e+2, 2.592e+2, -31.2
8.254e+1, 2.268e+2, -1.580e+2, 2.764e+2, -34.9
6.813e+1, 2.322e+2, -1.872e+2, 2.982e+2, -38.9
5.623e+1, 2.379e+2, -2.226e+2, 3.258e+2, -43.1
4.642e+1, 2.442e+2, -2.653e+2, 3.606e+2, -47.4
3.831e+1, 2.516e+2, -3.163e+2, 4.042e+2, -51.5
3.162e+1, 2.600e+2, -3.771e+2, 4.580e+2, -55.4
2.610e+1, 2.700e+2, -4.493e+2, 5.242e+2, -59.0
2.154e+1, 2.816e+2, -5.353e+2, 6.048e+2, -62.3
1.778e+1, 2.955e+2, -6.379e+2, 7.031e+2, -65.1
1.468e+1, 3.118e+2, -7.606e+2, 8.220e+2, -67.7
1.212e+1, 3.307e+2, -9.068e+2, 9.652e+2, -70.0
1.000e+1, 3.541e+2, -1.082e+3, 1.138e+3, -71.9
8.254e+0, 3.823e+2, -1.291e+3, 1.347e+3, -73.5
6.813e+0, 4.148e+2, -1.542e+3, 1.597e+3, -74.9
5.623e+0, 4.527e+2, -1.841e+3, 1.895e+3, -76.2
4.642e+0, 4.978e+2, -2.197e+3, 2.252e+3, -77.2
3.831e+0, 5.526e+2, -2.620e+3, 2.678e+3, -78.1
3.162e+0, 6.155e+2, -3.129e+3, 3.189e+3, -78.9
2.610e+0, 6.916e+2, -3.735e+3, 3.799e+3, -79.5
2.154e+0, 7.724e+2, -4.475e+3, 4.541e+3, -80.2
1.778e+0, 8.602e+2, -5.365e+3, 5.434e+3, -80.9
