June 10, 2026   00:51:17
A.C. Impedance
File: e:\chi_data\bo-r0.28-n0.96-w96y-1_t9.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 5.879e+0, 1.412e+1, 1.529e+1, 67.4
6.816e+5, 5.317e+0, 1.143e+1, 1.261e+1, 65.1
5.625e+5, 4.721e+0, 9.478e+0, 1.059e+1, 63.5
4.639e+5, 4.467e+0, 7.753e+0, 8.948e+0, 60.0
3.828e+5, 4.283e+0, 6.445e+0, 7.738e+0, 56.4
3.164e+5, 4.193e+0, 5.319e+0, 6.772e+0, 51.8
2.607e+5, 4.102e+0, 4.403e+0, 6.018e+0, 47.0
2.158e+5, 4.038e+0, 3.611e+0, 5.418e+0, 41.8
1.777e+5, 3.995e+0, 2.940e+0, 4.960e+0, 36.3
1.465e+5, 3.972e+0, 2.370e+0, 4.626e+0, 30.8
1.211e+5, 3.951e+0, 1.906e+0, 4.387e+0, 25.8
9.961e+4, 3.946e+0, 1.520e+0, 4.229e+0, 21.1
8.252e+4, 3.948e+0, 1.201e+0, 4.127e+0, 16.9
6.812e+4, 3.956e+0, 9.303e-1, 4.064e+0, 13.2
5.625e+4, 3.968e+0, 6.999e-1, 4.030e+0, 10.0
4.644e+4, 3.986e+0, 4.944e-1, 4.017e+0, 7.1
3.833e+4, 4.006e+0, 3.090e-1, 4.018e+0, 4.4
3.164e+4, 4.025e+0, 1.442e-1, 4.028e+0, 2.1
2.612e+4, 4.042e+0, -7.474e-3, 4.042e+0, -0.1
2.153e+4, 4.059e+0, -1.549e-1, 4.062e+0, -2.2
1.777e+4, 4.076e+0, -3.036e-1, 4.088e+0, -4.3
1.470e+4, 4.094e+0, -4.578e-1, 4.120e+0, -6.4
1.211e+4, 4.113e+0, -6.241e-1, 4.161e+0, -8.6
1.001e+4, 4.136e+0, -8.079e-1, 4.214e+0, -11.1
8.252e+3, 4.162e+0, -1.015e+0, 4.284e+0, -13.7
6.812e+3, 4.191e+0, -1.254e+0, 4.375e+0, -16.7
5.625e+3, 4.224e+0, -1.530e+0, 4.492e+0, -19.9
4.643e+3, 4.260e+0, -1.854e+0, 4.646e+0, -23.5
3.833e+3, 4.300e+0, -2.237e+0, 4.847e+0, -27.5
3.164e+3, 4.349e+0, -2.693e+0, 5.115e+0, -31.8
2.612e+3, 4.409e+0, -3.232e+0, 5.467e+0, -36.2
2.153e+3, 4.481e+0, -3.875e+0, 5.924e+0, -40.9
1.777e+3, 4.565e+0, -4.641e+0, 6.510e+0, -45.5
1.470e+3, 4.666e+0, -5.558e+0, 7.257e+0, -50.0
1.211e+3, 4.790e+0, -6.655e+0, 8.200e+0, -54.3
1.001e+3, 4.939e+0, -7.961e+0, 9.369e+0, -58.2
8.252e+2, 5.118e+0, -9.513e+0, 1.080e+1, -61.7
6.836e+2, 5.335e+0, -1.138e+1, 1.257e+1, -64.9
5.615e+2, 5.596e+0, -1.361e+1, 1.472e+1, -67.7
4.639e+2, 5.913e+0, -1.629e+1, 1.733e+1, -70.1
3.809e+2, 6.307e+0, -1.948e+1, 2.047e+1, -72.1
3.174e+2, 6.803e+0, -2.332e+1, 2.429e+1, -73.7
2.588e+2, 7.406e+0, -2.792e+1, 2.889e+1, -75.1
2.148e+2, 8.134e+0, -3.345e+1, 3.442e+1, -76.3
1.758e+2, 9.012e+0, -3.998e+1, 4.099e+1, -77.3
1.465e+2, 1.006e+1, -4.752e+1, 4.857e+1, -78.1
1.221e+2, 1.141e+1, -5.692e+1, 5.805e+1, -78.7
9.766e+1, 1.327e+1, -6.797e+1, 6.925e+1, -79.0
8.254e+1, 1.559e+1, -8.065e+1, 8.215e+1, -79.1
6.813e+1, 1.832e+1, -9.592e+1, 9.765e+1, -79.2
5.623e+1, 2.152e+1, -1.140e+2, 1.160e+2, -79.3
4.642e+1, 2.541e+1, -1.357e+2, 1.381e+2, -79.4
3.831e+1, 3.022e+1, -1.616e+2, 1.644e+2, -79.4
3.162e+1, 3.603e+1, -1.921e+2, 1.955e+2, -79.4
2.610e+1, 4.312e+1, -2.282e+2, 2.322e+2, -79.3
2.154e+1, 5.172e+1, -2.706e+2, 2.755e+2, -79.2
1.778e+1, 6.218e+1, -3.206e+2, 3.266e+2, -79.0
1.468e+1, 7.479e+1, -3.796e+2, 3.869e+2, -78.9
1.212e+1, 8.998e+1, -4.489e+2, 4.579e+2, -78.7
1.000e+1, 1.086e+2, -5.307e+2, 5.417e+2, -78.4
8.254e+0, 1.307e+2, -6.274e+2, 6.409e+2, -78.2
6.813e+0, 1.565e+2, -7.417e+2, 7.581e+2, -78.1
5.623e+0, 1.866e+2, -8.767e+2, 8.963e+2, -78.0
4.642e+0, 2.224e+2, -1.036e+3, 1.060e+3, -77.9
3.831e+0, 2.652e+2, -1.225e+3, 1.253e+3, -77.8
3.162e+0, 3.153e+2, -1.449e+3, 1.483e+3, -77.7
2.610e+0, 3.765e+2, -1.716e+3, 1.756e+3, -77.6
2.154e+0, 4.452e+2, -2.035e+3, 2.083e+3, -77.7
1.778e+0, 5.241e+2, -2.413e+3, 2.470e+3, -77.7
1.468e+0, 6.251e+2, -2.850e+3, 2.918e+3, -77.6
1.212e+0, 7.548e+2, -3.356e+3, 3.440e+3, -77.3
1.000e+0, 9.186e+2, -3.941e+3, 4.046e+3, -76.9
8.254e-1, 1.117e+3, -4.610e+3, 4.743e+3, -76.4
6.813e-1, 1.348e+3, -5.381e+3, 5.547e+3, -75.9
5.623e-1, 1.615e+3, -6.278e+3, 6.482e+3, -75.6
4.642e-1, 1.925e+3, -7.326e+3, 7.575e+3, -75.3
3.831e-1, 2.281e+3, -8.555e+3, 8.854e+3, -75.1
3.162e-1, 2.693e+3, -9.995e+3, 1.035e+4, -74.9
2.610e-1, 3.177e+3, -1.167e+4, 1.210e+4, -74.8
2.154e-1, 3.751e+3, -1.362e+4, 1.412e+4, -74.6
1.778e-1, 4.420e+3, -1.587e+4, 1.648e+4, -74.4
1.468e-1, 5.194e+3, -1.844e+4, 1.916e+4, -74.3
1.212e-1, 6.179e+3, -2.153e+4, 2.239e+4, -74.0
1.000e-1, 7.423e+3, -2.523e+4, 2.630e+4, -73.6
