June 10, 2026   23:28:42
A.C. Impedance
File: e:\chi_data\bo-r0.42-n1.02-ljjo-2_t-3.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 5.977e+0, 1.410e+1, 1.531e+1, 67.0
6.816e+5, 5.429e+0, 1.140e+1, 1.263e+1, 64.5
5.625e+5, 4.832e+0, 9.437e+0, 1.060e+1, 62.9
4.639e+5, 4.599e+0, 7.716e+0, 8.983e+0, 59.2
3.828e+5, 4.412e+0, 6.415e+0, 7.786e+0, 55.5
3.164e+5, 4.324e+0, 5.292e+0, 6.834e+0, 50.7
2.607e+5, 4.232e+0, 4.375e+0, 6.087e+0, 46.0
2.158e+5, 4.171e+0, 3.582e+0, 5.498e+0, 40.7
1.777e+5, 4.131e+0, 2.903e+0, 5.049e+0, 35.1
1.465e+5, 4.115e+0, 2.325e+0, 4.726e+0, 29.5
1.211e+5, 4.096e+0, 1.857e+0, 4.498e+0, 24.4
9.961e+4, 4.089e+0, 1.470e+0, 4.345e+0, 19.8
8.252e+4, 4.093e+0, 1.149e+0, 4.252e+0, 15.7
6.812e+4, 4.110e+0, 8.657e-1, 4.200e+0, 11.9
5.625e+4, 4.133e+0, 6.152e-1, 4.179e+0, 8.5
4.644e+4, 4.161e+0, 3.895e-1, 4.180e+0, 5.3
3.833e+4, 4.194e+0, 1.889e-1, 4.198e+0, 2.6
3.164e+4, 4.228e+0, 6.951e-3, 4.228e+0, 0.1
2.612e+4, 4.265e+0, -1.666e-1, 4.268e+0, -2.2
2.153e+4, 4.302e+0, -3.315e-1, 4.314e+0, -4.4
1.777e+4, 4.344e+0, -4.933e-1, 4.371e+0, -6.5
1.470e+4, 4.394e+0, -6.595e-1, 4.443e+0, -8.5
1.211e+4, 4.445e+0, -8.364e-1, 4.523e+0, -10.7
1.001e+4, 4.500e+0, -1.032e+0, 4.616e+0, -12.9
8.252e+3, 4.559e+0, -1.250e+0, 4.727e+0, -15.3
6.812e+3, 4.624e+0, -1.496e+0, 4.860e+0, -17.9
5.625e+3, 4.695e+0, -1.776e+0, 5.020e+0, -20.7
4.643e+3, 4.772e+0, -2.100e+0, 5.214e+0, -23.8
3.833e+3, 4.857e+0, -2.479e+0, 5.453e+0, -27.0
3.164e+3, 4.947e+0, -2.924e+0, 5.746e+0, -30.6
2.612e+3, 5.046e+0, -3.450e+0, 6.112e+0, -34.4
2.153e+3, 5.154e+0, -4.075e+0, 6.571e+0, -38.3
1.777e+3, 5.272e+0, -4.817e+0, 7.141e+0, -42.4
1.470e+3, 5.401e+0, -5.704e+0, 7.855e+0, -46.6
1.211e+3, 5.543e+0, -6.768e+0, 8.748e+0, -50.7
1.001e+3, 5.702e+0, -8.041e+0, 9.858e+0, -54.7
8.252e+2, 5.879e+0, -9.557e+0, 1.122e+1, -58.4
6.836e+2, 6.080e+0, -1.139e+1, 1.291e+1, -61.9
5.615e+2, 6.316e+0, -1.359e+1, 1.499e+1, -65.1
4.639e+2, 6.596e+0, -1.625e+1, 1.754e+1, -67.9
3.809e+2, 6.941e+0, -1.942e+1, 2.063e+1, -70.3
3.174e+2, 7.372e+0, -2.327e+1, 2.441e+1, -72.4
2.588e+2, 7.884e+0, -2.790e+1, 2.899e+1, -74.2
2.148e+2, 8.505e+0, -3.346e+1, 3.452e+1, -75.7
1.758e+2, 9.258e+0, -4.005e+1, 4.111e+1, -77.0
1.465e+2, 1.014e+1, -4.768e+1, 4.874e+1, -78.0
1.221e+2, 1.128e+1, -5.722e+1, 5.832e+1, -78.8
9.766e+1, 1.287e+1, -6.848e+1, 6.967e+1, -79.4
8.254e+1, 1.484e+1, -8.145e+1, 8.280e+1, -79.7
