June 10, 2026   22:45:07
A.C. Impedance
File: e:\chi_data\bo-r0.42-n1.02-ljjo-2_t6.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 5.356e+0, 1.412e+1, 1.510e+1, 69.2
6.816e+5, 4.745e+0, 1.155e+1, 1.249e+1, 67.7
5.625e+5, 4.225e+0, 9.503e+0, 1.040e+1, 66.0
4.639e+5, 3.966e+0, 7.805e+0, 8.755e+0, 63.1
3.828e+5, 3.789e+0, 6.474e+0, 7.501e+0, 59.7
3.164e+5, 3.684e+0, 5.358e+0, 6.503e+0, 55.5
2.607e+5, 3.587e+0, 4.430e+0, 5.700e+0, 51.0
2.158e+5, 3.514e+0, 3.638e+0, 5.058e+0, 46.0
1.777e+5, 3.469e+0, 2.961e+0, 4.561e+0, 40.5
1.465e+5, 3.440e+0, 2.394e+0, 4.191e+0, 34.8
1.211e+5, 3.415e+0, 1.931e+0, 3.923e+0, 29.5
9.961e+4, 3.410e+0, 1.543e+0, 3.743e+0, 24.4
8.252e+4, 3.413e+0, 1.219e+0, 3.624e+0, 19.7
6.812e+4, 3.421e+0, 9.425e-1, 3.548e+0, 15.4
5.625e+4, 3.432e+0, 7.021e-1, 3.503e+0, 11.6
4.644e+4, 3.447e+0, 4.836e-1, 3.481e+0, 8.0
3.833e+4, 3.466e+0, 2.874e-1, 3.478e+0, 4.7
3.164e+4, 3.488e+0, 1.139e-1, 3.490e+0, 1.9
2.612e+4, 3.514e+0, -4.574e-2, 3.514e+0, -0.7
2.153e+4, 3.541e+0, -1.994e-1, 3.547e+0, -3.2
1.777e+4, 3.571e+0, -3.535e-1, 3.589e+0, -5.7
1.470e+4, 3.606e+0, -5.113e-1, 3.642e+0, -8.1
1.211e+4, 3.643e+0, -6.783e-1, 3.705e+0, -10.5
1.001e+4, 3.682e+0, -8.596e-1, 3.781e+0, -13.1
8.252e+3, 3.724e+0, -1.061e+0, 3.872e+0, -15.9
6.812e+3, 3.770e+0, -1.289e+0, 3.984e+0, -18.9
5.625e+3, 3.820e+0, -1.549e+0, 4.122e+0, -22.1
4.643e+3, 3.875e+0, -1.852e+0, 4.295e+0, -25.5
3.833e+3, 3.936e+0, -2.207e+0, 4.513e+0, -29.3
3.164e+3, 4.003e+0, -2.627e+0, 4.788e+0, -33.3
2.612e+3, 4.074e+0, -3.125e+0, 5.135e+0, -37.5
2.153e+3, 4.152e+0, -3.718e+0, 5.574e+0, -41.8
1.777e+3, 4.240e+0, -4.425e+0, 6.128e+0, -46.2
1.470e+3, 4.339e+0, -5.271e+0, 6.827e+0, -50.5
1.211e+3, 4.452e+0, -6.288e+0, 7.704e+0, -54.7
1.001e+3, 4.585e+0, -7.506e+0, 8.796e+0, -58.6
8.252e+2, 4.741e+0, -8.957e+0, 1.013e+1, -62.1
6.836e+2, 4.925e+0, -1.071e+1, 1.178e+1, -65.3
5.615e+2, 5.148e+0, -1.281e+1, 1.381e+1, -68.1
4.639e+2, 5.421e+0, -1.535e+1, 1.628e+1, -70.6
3.809e+2, 5.744e+0, -1.835e+1, 1.923e+1, -72.6
3.174e+2, 6.154e+0, -2.197e+1, 2.282e+1, -74.4
2.588e+2, 6.670e+0, -2.636e+1, 2.719e+1, -75.8
2.148e+2, 7.300e+0, -3.163e+1, 3.246e+1, -77.0
1.758e+2, 8.059e+0, -3.788e+1, 3.872e+1, -78.0
1.465e+2, 8.952e+0, -4.507e+1, 4.595e+1, -78.8
1.221e+2, 1.013e+1, -5.407e+1, 5.501e+1, -79.4
9.766e+1, 1.174e+1, -6.466e+1, 6.572e+1, -79.7
8.254e+1, 1.374e+1, -7.685e+1, 7.807e+1, -79.9
