June 30, 2026   20:20:01
A.C. Impedance
File: e:\chi_data\atp-r0.186-n1.029-fulltemp-fe3_t-59.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 3.700e+2, -1.672e+2, 4.060e+2, -24.3
6.816e+5, 4.205e+2, -1.826e+2, 4.584e+2, -23.5
5.625e+5, 4.606e+2, -1.845e+2, 4.962e+2, -21.8
4.639e+5, 5.013e+2, -1.830e+2, 5.336e+2, -20.1
3.828e+5, 5.360e+2, -1.735e+2, 5.634e+2, -17.9
3.164e+5, 5.671e+2, -1.612e+2, 5.896e+2, -15.9
2.607e+5, 5.921e+2, -1.461e+2, 6.098e+2, -13.9
2.158e+5, 6.128e+2, -1.310e+2, 6.266e+2, -12.1
1.777e+5, 6.300e+2, -1.165e+2, 6.406e+2, -10.5
1.465e+5, 6.435e+2, -1.035e+2, 6.518e+2, -9.1
1.211e+5, 6.548e+2, -9.044e+1, 6.611e+2, -7.9
9.961e+4, 6.641e+2, -7.814e+1, 6.686e+2, -6.7
8.252e+4, 6.716e+2, -6.612e+1, 6.748e+2, -5.6
6.812e+4, 6.777e+2, -5.594e+1, 6.800e+2, -4.7
5.625e+4, 6.817e+2, -4.753e+1, 6.833e+2, -4.0
4.644e+4, 6.855e+2, -4.110e+1, 6.867e+2, -3.4
3.833e+4, 6.899e+2, -3.653e+1, 6.908e+2, -3.0
3.164e+4, 6.930e+2, -3.222e+1, 6.937e+2, -2.7
2.612e+4, 6.953e+2, -2.788e+1, 6.959e+2, -2.3
2.153e+4, 6.979e+2, -2.417e+1, 6.983e+2, -2.0
1.777e+4, 6.999e+2, -2.358e+1, 7.003e+2, -1.9
1.470e+4, 7.023e+2, -2.292e+1, 7.027e+2, -1.9
1.211e+4, 7.054e+2, -1.991e+1, 7.057e+2, -1.6
1.001e+4, 7.080e+2, -1.549e+1, 7.082e+2, -1.3
8.252e+3, 7.102e+2, -1.080e+1, 7.103e+2, -0.9
6.812e+3, 7.124e+2, -8.406e+0, 7.125e+2, -0.7
5.625e+3, 7.143e+2, -7.918e+0, 7.144e+2, -0.6
4.643e+3, 7.164e+2, -9.029e+0, 7.165e+2, -0.7
3.833e+3, 7.189e+2, -1.024e+1, 7.190e+2, -0.8
3.164e+3, 7.214e+2, -1.140e+1, 7.215e+2, -0.9
2.612e+3, 7.238e+2, -1.257e+1, 7.239e+2, -1.0
2.153e+3, 7.261e+2, -1.379e+1, 7.263e+2, -1.1
1.777e+3, 7.287e+2, -1.519e+1, 7.288e+2, -1.2
1.470e+3, 7.315e+2, -1.694e+1, 7.316e+2, -1.3
1.211e+3, 7.344e+2, -1.896e+1, 7.346e+2, -1.5
1.001e+3, 7.370e+2, -2.054e+1, 7.373e+2, -1.6
8.252e+2, 7.393e+2, -2.213e+1, 7.397e+2, -1.7
6.836e+2, 7.420e+2, -2.457e+1, 7.424e+2, -1.9
5.615e+2, 7.450e+2, -2.788e+1, 7.455e+2, -2.1
4.639e+2, 7.482e+2, -3.235e+1, 7.489e+2, -2.5
3.809e+2, 7.516e+2, -3.766e+1, 7.525e+2, -2.9
3.174e+2, 7.551e+2, -4.381e+1, 7.564e+2, -3.3
2.588e+2, 7.588e+2, -5.097e+1, 7.605e+2, -3.8
2.148e+2, 7.628e+2, -5.935e+1, 7.652e+2, -4.4
1.758e+2, 7.671e+2, -6.907e+1, 7.702e+2, -5.1
1.465e+2, 7.717e+2, -7.994e+1, 7.758e+2, -5.9
1.221e+2, 7.764e+2, -9.274e+1, 7.819e+2, -6.8
9.766e+1, 7.817e+2, -1.058e+2, 7.888e+2, -7.7
8.254e+1, 7.878e+2, -1.209e+2, 7.970e+2, -8.7
6.813e+1, 7.944e+2, -1.416e+2, 8.069e+2, -10.1
5.623e+1, 8.012e+2, -1.679e+2, 8.186e+2, -11.8
4.642e+1, 8.089e+2, -2.001e+2, 8.332e+2, -13.9
3.831e+1, 8.177e+2, -2.384e+2, 8.517e+2, -16.3
3.162e+1, 8.277e+2, -2.836e+2, 8.750e+2, -18.9
2.610e+1, 8.396e+2, -3.368e+2, 9.046e+2, -21.9
2.154e+1, 8.531e+2, -4.002e+2, 9.423e+2, -25.1
1.778e+1, 8.687e+2, -4.761e+2, 9.906e+2, -28.7
1.468e+1, 8.864e+2, -5.669e+2, 1.052e+3, -32.6
1.212e+1, 9.062e+2, -6.752e+2, 1.130e+3, -36.7
1.000e+1, 9.299e+2, -8.051e+2, 1.230e+3, -40.9
8.254e+0, 9.580e+2, -9.626e+2, 1.358e+3, -45.1
6.813e+0, 9.888e+2, -1.152e+3, 1.518e+3, -49.4
5.623e+0, 1.023e+3, -1.379e+3, 1.717e+3, -53.4
4.642e+0, 1.060e+3, -1.653e+3, 1.963e+3, -57.3
3.831e+0, 1.103e+3, -1.974e+3, 2.262e+3, -60.8
3.162e+0, 1.152e+3, -2.361e+3, 2.628e+3, -64.0
2.610e+0, 1.208e+3, -2.822e+3, 3.069e+3, -66.8
2.154e+0, 1.263e+3, -3.403e+3, 3.629e+3, -69.6
1.778e+0, 1.324e+3, -4.104e+3, 4.313e+3, -72.1
1.468e+0, 1.409e+3, -4.886e+3, 5.085e+3, -73.9
1.212e+0, 1.529e+3, -5.774e+3, 5.973e+3, -75.2
1.000e+0, 1.696e+3, -6.807e+3, 7.015e+3, -76.0
8.254e-1, 1.910e+3, -8.021e+3, 8.245e+3, -76.6
6.813e-1, 2.169e+3, -9.450e+3, 9.695e+3, -77.1
5.623e-1, 2.478e+3, -1.115e+4, 1.142e+4, -77.5
4.642e-1, 2.854e+3, -1.315e+4, 1.346e+4, -77.8
3.831e-1, 3.317e+3, -1.552e+4, 1.587e+4, -77.9
3.162e-1, 3.876e+3, -1.832e+4, 1.873e+4, -78.1
2.610e-1, 4.566e+3, -2.162e+4, 2.209e+4, -78.1
2.154e-1, 5.406e+3, -2.549e+4, 2.605e+4, -78.0
1.778e-1, 6.422e+3, -3.004e+4, 3.072e+4, -77.9
1.468e-1, 7.645e+3, -3.541e+4, 3.623e+4, -77.8
1.212e-1, 9.113e+3, -4.173e+4, 4.272e+4, -77.7
1.000e-1, 1.084e+4, -4.905e+4, 5.023e+4, -77.5
