June 30, 2026   15:05:57
A.C. Impedance
File: e:\chi_data\atp-r0.186-n1.029-fulltemp-fe3_t7.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 4.236e+0, 1.383e+1, 1.446e+1, 73.0
6.816e+5, 3.677e+0, 1.125e+1, 1.184e+1, 71.9
5.625e+5, 3.111e+0, 9.347e+0, 9.851e+0, 71.6
4.639e+5, 2.852e+0, 7.687e+0, 8.199e+0, 69.6
3.828e+5, 2.670e+0, 6.407e+0, 6.941e+0, 67.4
3.164e+5, 2.575e+0, 5.302e+0, 5.894e+0, 64.1
2.607e+5, 2.478e+0, 4.396e+0, 5.046e+0, 60.6
2.158e+5, 2.405e+0, 3.611e+0, 4.339e+0, 56.3
1.777e+5, 2.351e+0, 2.951e+0, 3.773e+0, 51.5
1.465e+5, 2.317e+0, 2.401e+0, 3.337e+0, 46.0
1.211e+5, 2.288e+0, 1.953e+0, 3.008e+0, 40.5
9.961e+4, 2.271e+0, 1.583e+0, 2.768e+0, 34.9
8.252e+4, 2.262e+0, 1.276e+0, 2.597e+0, 29.4
6.812e+4, 2.252e+0, 9.363e-1, 2.438e+0, 22.6
5.625e+4, 2.239e+0, 5.969e-1, 2.317e+0, 14.9
4.644e+4, 2.236e+0, 3.492e-1, 2.263e+0, 8.9
3.833e+4, 2.240e+0, 1.755e-1, 2.247e+0, 4.5
3.164e+4, 2.251e+0, 5.502e-2, 2.251e+0, 1.4
2.612e+4, 2.264e+0, -5.058e-2, 2.264e+0, -1.3
2.153e+4, 2.279e+0, -1.553e-1, 2.284e+0, -3.9
1.777e+4, 2.297e+0, -2.659e-1, 2.312e+0, -6.6
1.470e+4, 2.315e+0, -3.870e-1, 2.347e+0, -9.5
1.211e+4, 2.333e+0, -5.170e-1, 2.390e+0, -12.5
1.001e+4, 2.352e+0, -6.613e-1, 2.443e+0, -15.7
8.252e+3, 2.372e+0, -8.248e-1, 2.511e+0, -19.2
6.812e+3, 2.407e+0, -1.005e+0, 2.608e+0, -22.7
5.625e+3, 2.455e+0, -1.212e+0, 2.738e+0, -26.3
4.643e+3, 2.504e+0, -1.464e+0, 2.900e+0, -30.3
3.833e+3, 2.556e+0, -1.764e+0, 3.105e+0, -34.6
3.164e+3, 2.612e+0, -2.119e+0, 3.363e+0, -39.0
2.612e+3, 2.677e+0, -2.538e+0, 3.688e+0, -43.5
2.153e+3, 2.754e+0, -3.034e+0, 4.098e+0, -47.8
1.777e+3, 2.848e+0, -3.619e+0, 4.605e+0, -51.8
1.470e+3, 2.959e+0, -4.310e+0, 5.228e+0, -55.5
1.211e+3, 3.093e+0, -5.129e+0, 5.990e+0, -58.9
1.001e+3, 3.254e+0, -6.100e+0, 6.913e+0, -61.9
8.252e+2, 3.448e+0, -7.246e+0, 8.025e+0, -64.6
6.836e+2, 3.679e+0, -8.617e+0, 9.370e+0, -66.9
5.615e+2, 3.955e+0, -1.025e+1, 1.099e+1, -68.9
4.639e+2, 4.287e+0, -1.220e+1, 1.294e+1, -70.6
3.809e+2, 4.680e+0, -1.449e+1, 1.522e+1, -72.1
3.174e+2, 5.156e+0, -1.720e+1, 1.796e+1, -73.3
2.588e+2, 5.741e+0, -2.046e+1, 2.125e+1, -74.3
2.148e+2, 6.460e+0, -2.437e+1, 2.521e+1, -75.2
1.758e+2, 7.317e+0, -2.895e+1, 2.986e+1, -75.8
1.465e+2, 8.311e+0, -3.419e+1, 3.519e+1, -76.3
1.221e+2, 9.570e+0, -4.070e+1, 4.181e+1, -76.8
9.766e+1, 1.121e+1, -4.828e+1, 4.957e+1, -76.9
8.254e+1, 1.318e+1, -5.691e+1, 5.841e+1, -77.0
6.813e+1, 1.545e+1, -6.722e+1, 6.897e+1, -77.1
5.623e+1, 1.807e+1, -7.943e+1, 8.146e+1, -77.2
4.642e+1, 2.117e+1, -9.397e+1, 9.632e+1, -77.3
3.831e+1, 2.489e+1, -1.111e+2, 1.139e+2, -77.4
3.162e+1, 2.938e+1, -1.314e+2, 1.347e+2, -77.4
2.610e+1, 3.477e+1, -1.554e+2, 1.592e+2, -77.4
2.154e+1, 4.118e+1, -1.835e+2, 1.881e+2, -77.4
1.778e+1, 4.882e+1, -2.165e+2, 2.219e+2, -77.3
1.468e+1, 5.772e+1, -2.552e+2, 2.616e+2, -77.3
1.212e+1, 6.797e+1, -3.006e+2, 3.082e+2, -77.3
1.000e+1, 8.004e+1, -3.542e+2, 3.631e+2, -77.3
8.254e+0, 9.391e+1, -4.174e+2, 4.279e+2, -77.3
6.813e+0, 1.094e+2, -4.922e+2, 5.042e+2, -77.5
5.623e+0, 1.267e+2, -5.807e+2, 5.944e+2, -77.7
4.642e+0, 1.458e+2, -6.859e+2, 7.012e+2, -78.0
3.831e+0, 1.673e+2, -8.106e+2, 8.277e+2, -78.3
3.162e+0, 1.912e+2, -9.602e+2, 9.790e+2, -78.7
2.610e+0, 2.182e+2, -1.139e+3, 1.160e+3, -79.2
2.154e+0, 2.437e+2, -1.357e+3, 1.379e+3, -79.8
1.778e+0, 2.700e+2, -1.622e+3, 1.644e+3, -80.5
1.468e+0, 3.026e+2, -1.934e+3, 1.958e+3, -81.1
1.212e+0, 3.432e+2, -2.294e+3, 2.320e+3, -81.5
1.000e+0, 3.965e+2, -2.712e+3, 2.740e+3, -81.7
8.254e-1, 4.599e+2, -3.208e+3, 3.241e+3, -81.8
6.813e-1, 5.309e+2, -3.802e+3, 3.839e+3, -82.1
5.623e-1, 6.098e+2, -4.517e+3, 4.558e+3, -82.3
4.642e-1, 7.026e+2, -5.372e+3, 5.418e+3, -82.5
3.831e-1, 8.128e+2, -6.393e+3, 6.444e+3, -82.8
3.162e-1, 9.444e+2, -7.612e+3, 7.670e+3, -82.9
2.610e-1, 1.105e+3, -9.067e+3, 9.134e+3, -83.1
2.154e-1, 1.294e+3, -1.080e+4, 1.088e+4, -83.2
