July 2, 2026   10:29:44
A.C. Impedance
File: e:\chi_data\atp-r0.186-n1.029-fulltemp-fe4_t10.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 4.331e+0, 1.383e+1, 1.450e+1, 72.6
6.816e+5, 3.722e+0, 1.122e+1, 1.182e+1, 71.6
5.625e+5, 3.152e+0, 9.377e+0, 9.892e+0, 71.4
4.639e+5, 2.918e+0, 7.677e+0, 8.213e+0, 69.2
3.828e+5, 2.742e+0, 6.412e+0, 6.974e+0, 66.8
3.164e+5, 2.648e+0, 5.300e+0, 5.924e+0, 63.5
2.607e+5, 2.549e+0, 4.403e+0, 5.087e+0, 59.9
2.158e+5, 2.473e+0, 3.619e+0, 4.383e+0, 55.7
1.777e+5, 2.419e+0, 2.957e+0, 3.820e+0, 50.7
1.465e+5, 2.384e+0, 2.401e+0, 3.383e+0, 45.2
1.211e+5, 2.353e+0, 1.954e+0, 3.058e+0, 39.7
9.961e+4, 2.338e+0, 1.583e+0, 2.824e+0, 34.1
8.252e+4, 2.329e+0, 1.276e+0, 2.655e+0, 28.7
6.812e+4, 2.327e+0, 1.012e+0, 2.538e+0, 23.5
5.625e+4, 2.316e+0, 7.226e-1, 2.427e+0, 17.3
4.644e+4, 2.305e+0, 4.265e-1, 2.344e+0, 10.5
3.833e+4, 2.307e+0, 2.079e-1, 2.316e+0, 5.1
3.164e+4, 2.315e+0, 5.552e-2, 2.315e+0, 1.4
2.612e+4, 2.328e+0, -5.493e-2, 2.329e+0, -1.4
2.153e+4, 2.344e+0, -1.574e-1, 2.349e+0, -3.8
1.777e+4, 2.360e+0, -2.632e-1, 2.374e+0, -6.4
1.470e+4, 2.374e+0, -3.820e-1, 2.405e+0, -9.1
1.211e+4, 2.389e+0, -5.114e-1, 2.443e+0, -12.1
1.001e+4, 2.407e+0, -6.544e-1, 2.495e+0, -15.2
8.252e+3, 2.439e+0, -8.101e-1, 2.570e+0, -18.4
6.812e+3, 2.481e+0, -9.853e-1, 2.670e+0, -21.7
5.625e+3, 2.524e+0, -1.198e+0, 2.794e+0, -25.4
4.643e+3, 2.566e+0, -1.453e+0, 2.949e+0, -29.5
3.833e+3, 2.611e+0, -1.756e+0, 3.147e+0, -33.9
3.164e+3, 2.663e+0, -2.112e+0, 3.399e+0, -38.4
2.612e+3, 2.725e+0, -2.531e+0, 3.720e+0, -42.9
2.153e+3, 2.801e+0, -3.027e+0, 4.124e+0, -47.2
1.777e+3, 2.892e+0, -3.610e+0, 4.626e+0, -51.3
1.470e+3, 3.000e+0, -4.301e+0, 5.244e+0, -55.1
1.211e+3, 3.128e+0, -5.123e+0, 6.002e+0, -58.6
1.001e+3, 3.283e+0, -6.099e+0, 6.926e+0, -61.7
8.252e+2, 3.470e+0, -7.255e+0, 8.042e+0, -64.4
6.836e+2, 3.697e+0, -8.638e+0, 9.396e+0, -66.8
5.615e+2, 3.973e+0, -1.029e+1, 1.103e+1, -68.9
4.639e+2, 4.308e+0, -1.226e+1, 1.300e+1, -70.6
3.809e+2, 4.709e+0, -1.457e+1, 1.531e+1, -72.1
3.174e+2, 5.196e+0, -1.731e+1, 1.808e+1, -73.3
2.588e+2, 5.807e+0, -2.060e+1, 2.141e+1, -74.3
2.148e+2, 6.573e+0, -2.455e+1, 2.541e+1, -75.0
1.758e+2, 7.498e+0, -2.917e+1, 3.012e+1, -75.6
1.465e+2, 8.586e+0, -3.445e+1, 3.551e+1, -76.0
1.221e+2, 9.975e+0, -4.099e+1, 4.219e+1, -76.3
9.766e+1, 1.179e+1, -4.858e+1, 4.999e+1, -76.4
8.254e+1, 1.399e+1, -5.716e+1, 5.885e+1, -76.2
6.813e+1, 1.656e+1, -6.738e+1, 6.939e+1, -76.2
5.623e+1, 1.956e+1, -7.943e+1, 8.181e+1, -76.2
4.642e+1, 2.316e+1, -9.370e+1, 9.652e+1, -76.1
3.831e+1, 2.752e+1, -1.105e+2, 1.138e+2, -76.0
3.162e+1, 3.278e+1, -1.302e+2, 1.343e+2, -75.9
2.610e+1, 3.911e+1, -1.535e+2, 1.584e+2, -75.7
2.154e+1, 4.670e+1, -1.805e+2, 1.864e+2, -75.5
1.778e+1, 5.578e+1, -2.120e+2, 2.192e+2, -75.3
1.468e+1, 6.662e+1, -2.487e+2, 2.575e+2, -75.0
1.212e+1, 7.943e+1, -2.914e+2, 3.020e+2, -74.8
1.000e+1, 9.473e+1, -3.411e+2, 3.540e+2, -74.5
8.254e+0, 1.126e+2, -3.991e+2, 4.147e+2, -74.2
6.813e+0, 1.328e+2, -4.669e+2, 4.854e+2, -74.1
5.623e+0, 1.557e+2, -5.461e+2, 5.678e+2, -74.1
4.642e+0, 1.811e+2, -6.393e+2, 6.644e+2, -74.2
3.831e+0, 2.098e+2, -7.484e+2, 7.773e+2, -74.3
3.162e+0, 2.419e+2, -8.782e+2, 9.110e+2, -74.6
2.610e+0, 2.781e+2, -1.032e+3, 1.069e+3, -74.9
2.154e+0, 3.137e+2, -1.220e+3, 1.259e+3, -75.6
1.778e+0, 3.519e+2, -1.446e+3, 1.488e+3, -76.3
1.468e+0, 3.998e+2, -1.711e+3, 1.757e+3, -76.8
1.212e+0, 4.613e+2, -2.014e+3, 2.066e+3, -77.1
1.000e+0, 5.407e+2, -2.360e+3, 2.421e+3, -77.1
8.254e-1, 6.365e+2, -2.764e+3, 2.836e+3, -77.0
6.813e-1, 7.488e+2, -3.239e+3, 3.324e+3, -77.0
5.623e-1, 8.801e+2, -3.803e+3, 3.903e+3, -77.0
4.642e-1, 1.036e+3, -4.469e+3, 4.587e+3, -76.9
3.831e-1, 1.226e+3, -5.249e+3, 5.390e+3, -76.9
3.162e-1, 1.458e+3, -6.160e+3, 6.330e+3, -76.7
2.610e-1, 1.736e+3, -7.225e+3, 7.431e+3, -76.5
2.154e-1, 2.064e+3, -8.466e+3, 8.714e+3, -76.3
1.778e-1, 2.444e+3, -9.903e+3, 1.020e+4, -76.1
1.468e-1, 2.873e+3, -1.154e+4, 1.189e+4, -76.0
1.212e-1, 3.405e+3, -1.350e+4, 1.392e+4, -75.8
1.000e-1, 4.064e+3, -1.583e+4, 1.634e+4, -75.6
