July 2, 2026   18:53:31
A.C. Impedance
File: e:\chi_data\atp-r0.186-n1.029-fulltemp-fe4b_t-31.7_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 1.577e+1, 1.233e+1, 2.002e+1, 38.0
6.816e+5, 1.529e+1, 9.893e+0, 1.821e+1, 32.9
5.625e+5, 1.454e+1, 8.266e+0, 1.673e+1, 29.6
4.639e+5, 1.443e+1, 6.701e+0, 1.591e+1, 24.9
3.828e+5, 1.429e+1, 5.582e+0, 1.534e+1, 21.3
3.164e+5, 1.431e+1, 4.587e+0, 1.502e+1, 17.8
2.607e+5, 1.424e+1, 3.810e+0, 1.474e+1, 15.0
2.158e+5, 1.420e+1, 3.128e+0, 1.454e+1, 12.4
1.777e+5, 1.418e+1, 2.516e+0, 1.440e+1, 10.1
1.465e+5, 1.418e+1, 2.003e+0, 1.432e+1, 8.0
1.211e+5, 1.415e+1, 1.628e+0, 1.424e+1, 6.6
9.961e+4, 1.414e+1, 1.319e+0, 1.420e+1, 5.3
8.252e+4, 1.415e+1, 1.066e+0, 1.419e+1, 4.3
6.812e+4, 1.417e+1, 8.406e-1, 1.420e+1, 3.4
5.625e+4, 1.418e+1, 6.331e-1, 1.420e+1, 2.6
4.644e+4, 1.420e+1, 4.273e-1, 1.420e+1, 1.7
3.833e+4, 1.423e+1, 2.384e-1, 1.423e+1, 1.0
3.164e+4, 1.427e+1, 6.388e-2, 1.427e+1, 0.3
2.612e+4, 1.434e+1, -1.005e-1, 1.434e+1, -0.4
2.153e+4, 1.439e+1, -2.496e-1, 1.439e+1, -1.0
1.777e+4, 1.444e+1, -3.942e-1, 1.445e+1, -1.6
