July 2, 2026   15:57:05
A.C. Impedance
File: e:\chi_data\atp-r0.186-n1.029-fulltemp-fe4b_t7.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 4.274e+0, 1.389e+1, 1.454e+1, 72.9
6.816e+5, 3.686e+0, 1.130e+1, 1.188e+1, 71.9
5.625e+5, 3.098e+0, 9.344e+0, 9.844e+0, 71.7
4.639e+5, 2.804e+0, 7.697e+0, 8.192e+0, 70.0
3.828e+5, 2.610e+0, 6.406e+0, 6.918e+0, 67.8
3.164e+5, 2.506e+0, 5.306e+0, 5.868e+0, 64.7
2.607e+5, 2.414e+0, 4.399e+0, 5.018e+0, 61.2
2.158e+5, 2.343e+0, 3.622e+0, 4.313e+0, 57.1
1.777e+5, 2.293e+0, 2.962e+0, 3.746e+0, 52.3
1.465e+5, 2.262e+0, 2.414e+0, 3.308e+0, 46.9
1.211e+5, 2.231e+0, 1.967e+0, 2.974e+0, 41.4
9.961e+4, 2.215e+0, 1.596e+0, 2.730e+0, 35.8
8.252e+4, 2.207e+0, 1.287e+0, 2.555e+0, 30.2
6.812e+4, 2.198e+0, 9.468e-1, 2.393e+0, 23.3
5.625e+4, 2.184e+0, 6.104e-1, 2.268e+0, 15.6
4.644e+4, 2.179e+0, 3.668e-1, 2.210e+0, 9.6
3.833e+4, 2.184e+0, 1.985e-1, 2.193e+0, 5.2
3.164e+4, 2.197e+0, 8.292e-2, 2.199e+0, 2.2
2.612e+4, 2.212e+0, -1.584e-2, 2.212e+0, -0.4
2.153e+4, 2.224e+0, -1.109e-1, 2.227e+0, -2.9
1.777e+4, 2.240e+0, -2.092e-1, 2.249e+0, -5.3
1.470e+4, 2.256e+0, -3.170e-1, 2.279e+0, -8.0
1.211e+4, 2.277e+0, -4.351e-1, 2.318e+0, -10.8
1.001e+4, 2.298e+0, -5.637e-1, 2.366e+0, -13.8
8.252e+3, 2.320e+0, -7.037e-1, 2.425e+0, -16.9
6.812e+3, 2.346e+0, -8.621e-1, 2.499e+0, -20.2
5.625e+3, 2.386e+0, -1.042e+0, 2.604e+0, -23.6
4.643e+3, 2.439e+0, -1.251e+0, 2.741e+0, -27.2
3.833e+3, 2.492e+0, -1.502e+0, 2.910e+0, -31.1
3.164e+3, 2.548e+0, -1.798e+0, 3.119e+0, -35.2
2.612e+3, 2.609e+0, -2.149e+0, 3.380e+0, -39.5
2.153e+3, 2.681e+0, -2.563e+0, 3.709e+0, -43.7
1.777e+3, 2.766e+0, -3.051e+0, 4.119e+0, -47.8
1.470e+3, 2.868e+0, -3.630e+0, 4.626e+0, -51.7
1.211e+3, 2.988e+0, -4.312e+0, 5.246e+0, -55.3
1.001e+3, 3.131e+0, -5.118e+0, 6.000e+0, -58.5
8.252e+2, 3.302e+0, -6.068e+0, 6.908e+0, -61.4
6.836e+2, 3.508e+0, -7.204e+0, 8.013e+0, -64.0
5.615e+2, 3.756e+0, -8.561e+0, 9.348e+0, -66.3
4.639e+2, 4.055e+0, -1.018e+1, 1.096e+1, -68.3
3.809e+2, 4.410e+0, -1.208e+1, 1.286e+1, -69.9
3.174e+2, 4.838e+0, -1.433e+1, 1.512e+1, -71.3
2.588e+2, 5.358e+0, -1.700e+1, 1.782e+1, -72.5
2.148e+2, 6.002e+0, -2.019e+1, 2.107e+1, -73.4
1.758e+2, 6.783e+0, -2.397e+1, 2.491e+1, -74.2
1.465e+2, 7.699e+0, -2.828e+1, 2.931e+1, -74.8
1.221e+2, 8.876e+0, -3.359e+1, 3.474e+1, -75.2
9.766e+1, 1.039e+1, -3.976e+1, 4.109e+1, -75.4
8.254e+1, 1.221e+1, -4.677e+1, 4.834e+1, -75.4
6.813e+1, 1.432e+1, -5.511e+1, 5.694e+1, -75.4
5.623e+1, 1.679e+1, -6.491e+1, 6.704e+1, -75.5
4.642e+1, 1.972e+1, -7.650e+1, 7.901e+1, -75.5
3.831e+1, 2.326e+1, -9.016e+1, 9.311e+1, -75.5
3.162e+1, 2.750e+1, -1.061e+2, 1.096e+2, -75.5
2.610e+1, 3.260e+1, -1.249e+2, 1.291e+2, -75.4
2.154e+1, 3.865e+1, -1.470e+2, 1.520e+2, -75.3
1.778e+1, 4.584e+1, -1.727e+2, 1.787e+2, -75.1
1.468e+1, 5.443e+1, -2.028e+2, 2.100e+2, -75.0
1.212e+1, 6.450e+1, -2.378e+2, 2.464e+2, -74.8
1.000e+1, 7.650e+1, -2.787e+2, 2.890e+2, -74.7
8.254e+0, 9.054e+1, -3.266e+2, 3.389e+2, -74.5
6.813e+0, 1.065e+2, -3.827e+2, 3.973e+2, -74.4
5.623e+0, 1.248e+2, -4.487e+2, 4.657e+2, -74.5
4.642e+0, 1.455e+2, -5.264e+2, 5.461e+2, -74.5
3.831e+0, 1.695e+2, -6.173e+2, 6.402e+2, -74.6
3.162e+0, 1.968e+2, -7.253e+2, 7.515e+2, -74.8
2.610e+0, 2.286e+2, -8.529e+2, 8.830e+2, -75.0
2.154e+0, 2.620e+2, -1.009e+3, 1.042e+3, -75.4
1.778e+0, 2.988e+2, -1.196e+3, 1.232e+3, -76.0
1.468e+0, 3.458e+2, -1.413e+3, 1.455e+3, -76.3
1.212e+0, 4.052e+2, -1.669e+3, 1.718e+3, -76.4
1.000e+0, 4.788e+2, -1.958e+3, 2.016e+3, -76.3
8.254e-1, 5.688e+2, -2.283e+3, 2.353e+3, -76.0
6.813e-1, 6.762e+2, -2.663e+3, 2.748e+3, -75.8
5.623e-1, 8.045e+2, -3.115e+3, 3.217e+3, -75.5
4.642e-1, 9.624e+2, -3.649e+3, 3.774e+3, -75.2
3.831e-1, 1.157e+3, -4.279e+3, 4.432e+3, -74.9
3.162e-1, 1.400e+3, -5.015e+3, 5.206e+3, -74.4
2.610e-1, 1.706e+3, -5.867e+3, 6.111e+3, -73.8
2.154e-1, 2.089e+3, -6.856e+3, 7.167e+3, -73.1
1.778e-1, 2.562e+3, -7.988e+3, 8.389e+3, -72.2
1.468e-1, 3.142e+3, -9.262e+3, 9.781e+3, -71.3
1.212e-1, 3.886e+3, -1.073e+4, 1.141e+4, -70.1
1.000e-1, 4.818e+3, -1.242e+4, 1.332e+4, -68.8
