Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
307200.000000, 11.430000, 9.561790, 14.902105, 39.914238
276480.000000, 11.713100, 8.223070, 14.311380, 35.070408
230400.000000, 11.934100, 6.824760, 13.747730, 29.763968
172800.000000, 12.128100, 5.102180, 13.157623, 22.816042
153600.000000, 12.167000, 4.487790, 12.968275, 20.246464
115200.000000, 12.284500, 3.258260, 12.709257, 14.854721
98742.898438, 12.333800, 2.738830, 12.634233, 12.519889
81317.601563, 12.371700, 2.163100, 12.559378, 9.917494
65828.601563, 12.418700, 1.656240, 12.528657, 7.596517
53169.199219, 12.427900, 1.169250, 12.482782, 5.374719
46080.000000, 12.444100, 0.918210, 12.477930, 4.220023
36378.898438, 12.476000, 0.531286, 12.487307, 2.438447
30052.199219, 12.508200, 0.273957, 12.511199, 1.254703
24685.699219, 12.532400, -0.017505, 12.532413, -0.080028
20329.400391, 12.585800, -0.282261, 12.588965, -1.284754
16457.099609, 12.633200, -0.551789, 12.645245, -2.500958
13552.900391, 12.686300, -0.828405, 12.713319, -3.736063
11148.400391, 12.760400, -1.099160, 12.807652, -4.923213
9600.000000, 12.840500, -1.335970, 12.909812, -5.939880
7854.549805, 12.942600, -1.673760, 13.050379, -7.368695
6400.000000, 13.070700, -2.050210, 13.230516, -8.914516
5236.359863, 13.226500, -2.455710, 13.452538, -10.518105
4320.000000, 13.386200, -2.931260, 13.703381, -12.351460
3526.530029, 13.609600, -3.467960, 14.044499, -14.295716
2880.000000, 13.836400, -4.081670, 14.425879, -16.435801
2367.120117, 14.094200, -4.746610, 14.872014, -18.612370
1963.640015, 14.385300, -5.471790, 15.390820, -20.825500
1614.949951, 14.788100, -6.364480, 16.099520, -23.286001
1329.229980, 15.160900, -7.399470, 16.870241, -26.015278
1093.670044, 15.644200, -8.574200, 17.839785, -28.726059
900.000000, 16.219500, -9.951720, 19.029160, -31.531832
744.828003, 16.778099, -11.481900, 20.330732, -34.385342
617.143005, 17.395399, -13.242300, 21.862261, -37.280315
514.286011, 18.061800, -15.227800, 23.624447, -40.134052
415.385010, 18.939800, -17.970501, 26.108522, -43.495705
342.856995, 19.820499, -20.882799, 28.791378, -46.495003
284.210999, 20.784700, -24.223499, 31.918360, -49.369129
232.257996, 21.972900, -28.492300, 35.980820, -52.361053
191.149994, 23.282000, -33.362598, 40.683098, -55.090847
157.664001, 24.745701, -39.073502, 46.250278, -57.653442
130.119995, 26.440599, -45.820801, 52.902279, -60.013184
106.931000, 28.429100, -54.000099, 61.026424, -62.234821
88.524597, 30.653400, -63.390800, 70.413239, -64.193344
72.973000, 33.359100, -74.928902, 82.019325, -66.000900
60.000000, 36.760799, -87.374199, 94.792442, -67.182129
49.541302, 40.577400, -102.805000, 110.523270, -68.460732
40.601501, 45.365200, -121.779999, 129.955261, -69.568748
33.540401, 49.969898, -143.119003, 151.591690, -70.753387
27.551001, 57.124500, -169.703995, 179.060471, -71.396118
22.689100, 65.507797, -200.278000, 210.719116, -71.887894
18.750000, 75.536201, -235.563004, 247.377533, -72.220909
15.517200, 87.461700, -276.480011, 289.984039, -72.445763
12.857100, 102.077003, -323.734985, 339.446686, -72.499397
10.465100, 121.430000, -384.329010, 403.055878, -72.465889
8.653850, 143.589005, -450.296997, 472.636414, -72.313759
7.142860, 170.619995, -526.619019, 553.569153, -72.048119
5.844160, 204.636993, -618.802979, 651.761780, -71.701050
4.838710, 243.432007, -718.966003, 759.059448, -71.294609
3.982300, 290.868011, -837.036987, 886.134949, -70.837799
3.284670, 346.178009, -970.466980, 1030.361816, -70.368027
2.694610, 412.167999, -1126.859985, 1199.873291, -69.909149
2.227720, 484.472992, -1298.560059, 1385.991455, -69.540222
1.829270, 568.599976, -1501.920044, 1605.948242, -69.264236
1.510070, 659.012024, -1729.229980, 1850.549438, -69.138084
1.243090, 760.625977, -1995.400024, 2135.456055, -69.133675
1.022730, 873.729980, -2310.310059, 2470.007324, -69.284019
0.845865, 989.820007, -2662.719971, 2840.743164, -69.608246
0.694444, 1125.319946, -3097.570068, 3295.646484, -70.034355
0.573980, 1228.939941, -3611.560059, 3814.925781, -71.207619
0.472689, 1392.050049, -4217.509766, 4441.305176, -71.733780
0.390625, 1573.099976, -4990.439941, 5232.507324, -72.503975
0.321429, 1787.369995, -5847.870117, 6114.922363, -73.004517
0.264085, 2028.319946, -6879.799805, 7172.567871, -73.573296
0.218023, 2295.060059, -8085.620117, 8405.031250, -74.153702
0.179426, 2621.830078, -9514.900391, 9869.514648, -74.594467
0.147638, 2994.560059, -11218.799805, 11611.583008, -75.054855
0.121753, 3429.100098, -13221.000000, 13658.460938, -75.459732
0.100446, 3935.040039, -15584.599609, 16073.713867, -75.829277
