Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
307200.000000, 3.421290, 5.440180, 6.426569, 57.834503
276480.000000, 3.909680, 4.584020, 6.024851, 49.539368
230400.000000, 4.300090, 3.798170, 5.737322, 41.453419
172800.000000, 4.645630, 2.832980, 5.441291, 31.375513
153600.000000, 4.734930, 2.480160, 5.345162, 27.645582
115200.000000, 4.925450, 1.767750, 5.233068, 19.743124
98742.898438, 4.990590, 1.483610, 5.206447, 16.556238
81317.601563, 5.048020, 1.160950, 5.179798, 12.951745
65828.601563, 5.094440, 0.859554, 5.166445, 9.576971
53169.199219, 5.123540, 0.562843, 5.154363, 6.269051
46080.000000, 5.145560, 0.407727, 5.161688, 4.530572
36378.898438, 5.172070, 0.171794, 5.174922, 1.902421
30052.199219, 5.198070, -0.003356, 5.198071, -0.036993
24685.699219, 5.229430, -0.181130, 5.232566, -1.983742
20329.400391, 5.266550, -0.350047, 5.278171, -3.802633
16457.099609, 5.313200, -0.541764, 5.340749, -5.822082
13552.900391, 5.359250, -0.730504, 5.408807, -7.761988
11148.400391, 5.427040, -0.928507, 5.505896, -9.708678
9600.000000, 5.479430, -1.089820, 5.586758, -11.248931
7854.549805, 5.560360, -1.320690, 5.715052, -13.361239
6400.000000, 5.667040, -1.593270, 5.886752, -15.703156
5236.359863, 5.780920, -1.889860, 6.081991, -18.103262
4320.000000, 5.908420, -2.206800, 6.307091, -20.480703
3526.530029, 6.062080, -2.590050, 6.592206, -23.134806
2880.000000, 6.235050, -3.037270, 6.935478, -25.972029
2367.120117, 6.411240, -3.535430, 7.321425, -28.874208
1963.640015, 6.627300, -4.064560, 7.774429, -31.521023
1614.949951, 6.857930, -4.720840, 8.325715, -34.542625
1329.229980, 7.114240, -5.490770, 8.986711, -37.660957
1093.670044, 7.407850, -6.379010, 9.775889, -40.732231
900.000000, 7.756110, -7.458050, 10.760100, -43.877663
744.828003, 8.106300, -8.657660, 11.860319, -46.883755
617.143005, 8.501850, -10.064500, 13.174809, -49.811005
514.286011, 8.935020, -11.660500, 14.690195, -52.538361
415.385010, 9.518450, -13.884700, 16.834066, -55.567993
342.856995, 10.118600, -16.258400, 19.149977, -58.103462
284.210999, 10.829400, -19.053499, 21.916016, -60.387486
232.257996, 11.685300, -22.569500, 25.415125, -62.627262
191.149994, 12.655300, -26.590099, 29.448090, -64.548340
157.664001, 13.787800, -31.309700, 34.211121, -66.232826
130.119995, 15.131600, -36.881100, 39.864529, -67.692619
106.931000, 16.757900, -43.624401, 46.732384, -68.986198
88.524597, 18.634001, -51.350399, 54.626820, -70.055206
72.973000, 20.956200, -60.810398, 64.320038, -70.985252
60.000000, 24.034700, -71.027199, 74.983528, -71.304848
49.541302, 27.532000, -83.552597, 87.971855, -71.762077
40.601501, 31.958000, -98.884499, 103.920441, -72.089935
33.540401, 36.465401, -115.934998, 121.534561, -72.539902
27.551001, 43.235500, -137.044006, 143.702362, -72.490234
22.689100, 51.300201, -161.009995, 168.985001, -72.327332
18.750000, 60.934601, -188.309998, 197.923416, -72.069115
15.517200, 72.395302, -219.498001, 231.128647, -71.746300
12.857100, 86.106400, -254.942001, 269.090576, -71.337654
10.465100, 103.932999, -299.520996, 317.040833, -70.863373
8.653850, 123.692001, -347.326996, 368.694672, -70.397896
7.142860, 146.580994, -401.550995, 427.468353, -69.946045
5.844160, 173.990005, -466.322998, 497.724487, -69.538925
4.838710, 203.033005, -536.265015, 573.413086, -69.263054
3.982300, 236.188004, -618.997009, 662.527039, -69.114861
3.284670, 272.362000, -713.815002, 764.011108, -69.115227
2.694610, 313.183014, -827.005005, 884.319458, -69.258553
2.227720, 355.803986, -954.841980, 1018.979736, -69.563034
1.829270, 404.244995, -1110.599976, 1181.882568, -69.999100
1.510070, 456.061005, -1289.250000, 1367.536987, -70.519203
1.243090, 515.218018, -1503.910034, 1589.715332, -71.089279
1.022730, 582.692017, -1761.699951, 1855.563721, -71.698082
0.845865, 655.887024, -2055.310059, 2157.426025, -72.301170
0.694444, 744.659973, -2419.350098, 2531.358154, -72.891968
0.573980, 820.465027, -2844.469971, 2960.434326, -73.910225
0.472689, 937.393982, -3352.310059, 3480.903564, -74.377617
0.390625, 1069.660034, -3984.070068, 4125.165039, -74.971405
0.321429, 1235.239990, -4702.439941, 4861.970703, -75.282021
0.264085, 1430.219971, -5564.520020, 5745.381836, -75.585564
0.218023, 1653.939941, -6568.560059, 6773.588379, -75.866920
0.179426, 1936.469971, -7762.620117, 8000.511719, -75.992828
0.147638, 2274.040039, -9186.889648, 9464.153320, -76.096970
0.121753, 2686.810059, -10855.799805, 11183.350586, -76.098663
0.100446, 3197.199951, -12822.599609, 13215.186523, -75.999298
