Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
307200.000000, 105.446999, 42.416500, 113.658386, 21.912666
276480.000000, 103.445999, 37.915901, 110.175728, 20.129320
197486.000000, 99.683899, 27.347300, 103.367088, 15.341099
153600.000000, 98.307503, 21.265699, 100.581284, 12.206050
125673.000000, 97.340302, 17.341200, 98.872910, 10.101284
98742.898438, 96.869904, 13.303300, 97.779121, 7.819607
76800.000000, 96.680603, 10.062600, 97.202850, 5.942000
60104.300781, 96.727402, 7.442360, 97.013290, 4.399760
49371.398438, 96.782600, 5.974180, 96.966812, 3.532263
38400.000000, 95.637398, 3.553840, 95.703407, 2.128104
30052.199219, 96.410500, 2.921530, 96.454750, 1.735704
23834.500000, 97.011200, 2.236140, 97.036964, 1.320453
18681.099609, 97.266502, 0.631603, 97.268555, 0.372047
14706.400391, 97.282997, 0.597994, 97.284836, 0.352190
11520.000000, 97.283997, -0.534399, 97.285469, -0.314733
9600.000000, 97.639000, -1.220700, 97.646629, -0.716285
7513.040039, 97.751701, -1.777750, 97.767868, -1.041888
5760.000000, 98.227600, -2.918490, 98.270943, -1.701843
4547.370117, 98.325699, -3.751190, 98.397232, -2.184812
3600.000000, 98.454300, -4.791230, 98.570816, -2.786073
2880.000000, 98.751602, -6.149600, 98.942894, -3.563403
2273.679932, 99.358002, -7.268160, 99.623482, -4.183805
1781.439941, 99.139702, -9.629310, 99.606247, -5.547662
1416.390015, 100.348000, -11.382300, 100.991470, -6.471303
1122.079956, 101.291000, -13.797600, 102.226418, -7.756942
900.000000, 102.696999, -16.810400, 104.063744, -9.296264
720.000000, 103.883003, -20.223400, 105.833191, -11.016256
568.421021, 105.417999, -24.533600, 108.235176, -13.101063
440.816010, 107.790001, -30.172100, 111.933197, -15.637761
354.097992, 109.981003, -35.981998, 115.717438, -18.116314
276.923004, 112.960999, -43.645100, 121.099472, -21.125195
220.408005, 116.344002, -52.179501, 127.509323, -24.155912
174.194000, 120.430000, -62.609299, 135.732483, -27.469078
137.580002, 125.205002, -75.142197, 146.022751, -30.970217
109.091003, 130.688995, -89.924301, 158.637939, -34.531029
87.096802, 136.927994, -107.337997, 173.984833, -38.092934
68.354401, 145.067993, -130.582001, 195.182953, -41.991749
54.545502, 152.210999, -152.811996, 215.684250, -45.112896
42.857101, 161.845993, -184.917007, 245.740570, -48.806423
33.962299, 170.945007, -223.048004, 281.020660, -52.533276
26.865700, 184.378006, -270.696991, 327.524200, -55.740318
21.343901, 199.488007, -327.464996, 383.443329, -58.650700
17.307699, 215.511993, -390.223999, 445.780426, -61.089111
13.636400, 237.462006, -477.014008, 532.851379, -63.535446
10.714300, 264.619995, -585.276978, 642.318359, -65.670952
8.490570, 297.244995, -714.466003, 773.832214, -67.410835
6.716420, 338.994995, -872.487000, 936.029480, -68.766930
5.294120, 393.026001, -1068.910034, 1138.875854, -69.812096
4.166670, 462.846985, -1309.739990, 1389.117065, -70.537178
3.308820, 548.752991, -1590.430054, 1682.437988, -70.963806
2.616280, 662.208984, -1935.359985, 2045.516846, -71.110947
2.073730, 805.642029, -2346.080078, 2480.554688, -71.047562
1.642340, 989.875000, -2837.429932, 3005.139160, -70.767998
1.300580, 1225.130005, -3416.840088, 3629.840332, -70.274368
1.032110, 1521.020020, -4099.259766, 4372.348633, -69.642754
0.815217, 1884.150024, -4897.299805, 5247.243652, -68.956650
0.646552, 2329.270020, -5819.930176, 6268.738770, -68.187576
0.511364, 2774.389893, -6945.370117, 7478.997559, -68.225319
0.407609, 3373.899902, -8183.560059, 8851.771484, -67.594734
0.321429, 4131.709961, -9840.450195, 10672.651367, -67.223930
0.254525, 4976.919922, -11587.799805, 12611.376953, -66.756653
0.201613, 5924.870117, -13693.500000, 14920.323242, -66.602943
0.159574, 7010.720215, -16214.700195, 17665.410156, -66.617882
0.126689, 8241.349609, -18881.800781, 20601.996094, -66.420158
0.100446, 9657.190430, -23307.099609, 25228.599609, -67.493546
