Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
307200.000000, 0.214388, 3.734590, 3.740739, 86.714493
276480.000000, 0.774623, 3.019980, 3.117743, 75.613808
197486.000000, 1.442160, 2.181590, 2.615179, 56.532932
153600.000000, 1.715450, 1.642280, 2.374837, 43.751633
125673.000000, 1.869120, 1.311610, 2.283403, 35.058334
98742.898438, 2.001990, 0.985253, 2.231297, 26.203497
76800.000000, 2.073700, 0.720941, 2.195447, 19.170481
60104.300781, 2.144610, 0.442372, 2.189759, 11.655025
49371.398438, 2.167760, 0.299734, 2.188384, 7.872315
38400.000000, 2.191080, 0.137002, 2.195359, 3.577884
30052.199219, 2.217340, -0.010244, 2.217364, -0.264694
23834.500000, 2.242050, -0.138635, 2.246332, -3.538325
18681.099609, 2.274690, -0.275877, 2.291358, -6.915124
14706.400391, 2.308150, -0.417092, 2.345532, -10.243041
11520.000000, 2.352300, -0.569680, 2.420300, -13.613777
9600.000000, 2.389450, -0.693177, 2.487964, -16.177391
7513.040039, 2.446030, -0.882007, 2.600192, -19.828653
5760.000000, 2.518760, -1.121670, 2.757226, -24.004667
4547.370117, 2.587210, -1.377220, 2.930937, -28.027205
3600.000000, 2.672250, -1.679610, 3.156265, -32.150913
2880.000000, 2.761340, -2.024940, 3.424234, -36.253262
2273.679932, 2.833480, -2.450350, 3.746041, -40.852749
1781.439941, 2.974430, -3.001040, 4.225338, -45.255146
1416.390015, 3.119460, -3.658030, 4.807517, -49.543434
1122.079956, 3.307030, -4.455110, 5.548374, -53.413490
900.000000, 3.534770, -5.407690, 6.460473, -56.829121
720.000000, 3.806970, -6.549500, 7.575551, -59.832233
568.421021, 4.169310, -8.028850, 9.046854, -62.557552
440.816010, 4.670450, -9.991930, 11.029586, -64.947571
354.097992, 5.221990, -12.057900, 13.140097, -66.583717
276.923004, 6.019460, -14.872500, 16.044476, -67.964966
220.408005, 6.977740, -18.048000, 19.349915, -68.862442
174.194000, 8.245650, -21.980499, 23.476225, -69.437180
137.580002, 9.885370, -26.718800, 28.488853, -69.696632
109.091003, 11.938000, -32.286598, 34.422962, -69.708069
87.096802, 14.487900, -38.812901, 41.428738, -69.530647
68.354401, 17.920000, -47.188202, 50.476261, -69.205421
54.545502, 21.977699, -55.176800, 59.392750, -68.281906
42.857101, 27.096399, -65.933998, 71.284691, -67.659172
33.962299, 32.436798, -77.935097, 84.415787, -67.402786
26.865700, 39.502998, -92.365097, 100.457939, -66.844429
21.343901, 47.365002, -108.763000, 118.628975, -66.467438
17.307699, 55.484299, -126.415001, 138.055283, -66.303047
13.636400, 65.654900, -149.841995, 163.594589, -66.338852
10.714300, 77.287498, -178.348999, 194.375214, -66.570511
8.490570, 90.112701, -211.761002, 230.136963, -66.948326
6.716420, 104.981003, -252.367004, 273.331512, -67.413399
5.294120, 122.587997, -302.368011, 326.273254, -67.931053
4.166670, 143.509995, -363.490997, 390.795135, -68.455383
3.308820, 167.158997, -434.601990, 465.640442, -68.961990
2.616280, 195.404007, -521.473999, 556.882263, -69.458290
2.073730, 227.608002, -625.476013, 665.601746, -70.003761
1.642340, 264.149994, -751.333984, 796.415710, -70.629623
1.300580, 305.522003, -904.526001, 954.730835, -71.336563
1.032110, 351.027008, -1091.349976, 1146.413818, -72.169891
0.815217, 402.212006, -1325.520020, 1385.199585, -73.120247
0.646552, 460.645996, -1612.050049, 1676.573853, -74.052635
0.511364, 521.627014, -1978.239990, 2045.856323, -75.228348
0.407609, 609.138000, -2414.659912, 2490.307617, -75.841591
0.321429, 728.202026, -3009.989990, 3096.823975, -76.399834
0.254525, 888.728027, -3701.820068, 3807.007813, -76.500015
0.201613, 1105.119995, -4556.689941, 4688.786133, -76.367439
0.159574, 1406.030029, -5607.470215, 5781.059082, -75.923737
0.126689, 1819.339966, -6867.279785, 7104.190918, -75.161591
0.100446, 2399.179932, -8399.000000, 8734.945313, -74.057976
