Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
307200.000000, 427.341003, -287.992004, 515.324890, -33.976665
276480.000000, 440.532013, -291.272003, 528.117249, -33.471977
197486.000000, 503.354004, -311.955994, 592.183899, -31.788759
153600.000000, 562.393982, -320.720001, 647.416626, -29.695091
125673.000000, 638.609985, -266.983002, 692.172424, -22.688290
98742.898438, 673.942017, -320.256989, 746.165100, -25.417049
76800.000000, 739.992004, -301.725006, 799.140869, -22.182732
60104.300781, 792.687988, -275.906006, 839.332092, -19.191158
49371.398438, 841.439026, -256.424011, 879.643616, -16.948317
38400.000000, 881.577026, -228.679993, 910.753845, -14.541945
30052.199219, 901.218994, -244.423996, 933.776611, -15.174434
23834.500000, 938.932983, -169.315002, 954.076904, -10.222123
18681.099609, 941.137024, -170.501999, 956.456909, -10.268669
14706.400391, 966.270996, -114.434998, 973.023621, -6.754052
11520.000000, 987.153992, -116.094002, 993.957153, -6.707446
9600.000000, 1000.169983, -93.347198, 1004.516663, -5.332046
7513.040039, 986.700012, -84.893700, 990.345337, -4.917504
5760.000000, 1007.859985, -58.176899, 1009.537659, -3.303630
4547.370117, 1008.020020, -71.954903, 1010.584900, -4.082985
3600.000000, 1020.530029, -62.723701, 1022.455750, -3.517083
2880.000000, 1027.770020, -59.611401, 1029.497314, -3.319478
2273.679932, 1032.520020, -57.534401, 1034.121704, -3.189355
1781.439941, 1014.299988, -59.766701, 1016.059326, -3.372202
1416.390015, 1076.780029, -35.845001, 1077.376465, -1.906619
1122.079956, 1048.290039, -64.279198, 1050.258911, -3.508878
900.000000, 1072.369995, -74.092003, 1074.926514, -3.952389
720.000000, 1081.660034, -77.110001, 1084.405029, -4.077636
568.421021, 1091.770020, -82.990303, 1094.919678, -4.346948
440.816010, 1106.939941, -92.672302, 1110.812378, -4.785606
354.097992, 1118.319946, -102.324997, 1122.991455, -5.227942
276.923004, 1132.260010, -115.276001, 1138.113037, -5.813284
220.408005, 1147.020020, -130.119003, 1154.376831, -6.472018
174.194000, 1163.329956, -148.690994, 1172.793945, -7.283766
137.580002, 1182.739990, -171.003006, 1195.037964, -8.226934
109.091003, 1204.239990, -197.863998, 1220.386841, -9.330678
87.096802, 1232.489990, -229.253006, 1253.630127, -10.537052
68.354401, 1266.949951, -271.923004, 1295.802490, -12.113510
54.545502, 1283.010010, -301.595001, 1317.981079, -13.228261
42.857101, 1314.000000, -354.292999, 1360.926025, -15.089780
33.962299, 1340.959961, -420.957001, 1405.481567, -17.428226
26.865700, 1385.140015, -494.045013, 1470.609863, -19.630054
21.343901, 1429.430054, -580.151978, 1542.675171, -22.090385
17.307699, 1473.099976, -674.288025, 1620.088867, -24.595182
13.636400, 1529.449951, -802.679993, 1727.284668, -27.691214
10.714300, 1589.630005, -960.599976, 1857.330322, -31.144211
8.490570, 1656.390015, -1148.699951, 2015.723022, -34.741158
6.716420, 1729.270020, -1374.949951, 2209.267334, -38.488361
5.294120, 1809.849976, -1659.890015, 2455.767090, -42.525249
4.166670, 1904.060059, -2012.650024, 2770.596436, -46.588108
3.308820, 2009.390015, -2432.530029, 3155.130859, -50.441612
2.616280, 2129.649902, -2958.750000, 3645.491699, -54.254410
2.073730, 2270.669922, -3604.449951, 4260.047363, -57.790588
1.642340, 2436.550049, -4403.729980, 5032.853516, -61.044586
1.300580, 2632.979980, -5390.500000, 5999.172852, -63.966888
1.032110, 2868.889893, -6600.930176, 7197.416992, -66.509308
0.815217, 3159.550049, -8120.850098, 8713.836914, -68.740669
0.646552, 3509.080078, -9968.759766, 10568.339844, -70.607544
0.511364, 3864.439941, -12314.299805, 12906.427734, -72.577240
0.407609, 4386.100098, -15075.799805, 15700.879883, -73.778351
0.321429, 5079.140137, -18833.000000, 19505.884766, -74.906792
0.254525, 5958.040039, -23160.000000, 23914.093750, -75.573166
0.201613, 7064.479980, -28501.699219, 29364.158203, -76.079117
0.159574, 8493.730469, -35104.699219, 36117.632813, -76.398438
0.126689, 10366.099609, -42743.898438, 43982.914063, -76.368019
0.100446, 12466.599609, -53395.500000, 54831.519531, -76.858192
