Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
307200.000000, 3.449180, 6.040140, 6.955583, 60.271774
276480.000000, 3.942290, 4.806720, 6.216607, 50.642693
197486.000000, 4.769370, 3.375170, 5.842830, 35.286137
153600.000000, 5.044080, 2.560010, 5.656535, 26.909054
125673.000000, 5.213210, 2.043790, 5.599521, 21.407196
98742.898438, 5.377340, 1.545920, 5.595145, 16.039303
76800.000000, 5.474460, 1.146030, 5.593130, 11.823621
60104.300781, 5.528730, 0.815478, 5.588547, 8.390529
49371.398438, 5.549320, 0.602254, 5.581905, 6.193927
38400.000000, 5.572180, 0.369521, 5.584419, 3.794034
30052.199219, 5.578850, 0.162316, 5.581211, 1.666544
23834.500000, 5.593470, -0.021256, 5.593511, -0.217727
18681.099609, 5.616880, -0.207706, 5.620719, -2.117769
14706.400391, 5.637040, -0.397548, 5.651041, -4.034062
11520.000000, 5.665860, -0.606192, 5.698196, -6.106861
9600.000000, 5.695570, -0.774033, 5.747925, -7.739136
7513.040039, 5.742650, -1.033090, 5.834836, -10.198300
5760.000000, 5.805220, -1.357300, 5.961782, -13.159748
4547.370117, 5.870980, -1.705800, 6.113768, -16.201105
3600.000000, 5.954940, -2.126060, 6.323088, -19.647814
2880.000000, 6.048300, -2.605780, 6.585744, -23.307755
2273.679932, 6.175160, -3.220210, 6.964363, -27.541052
1781.439941, 6.332290, -4.011940, 7.496236, -32.357067
1416.390015, 6.524000, -4.911590, 8.166167, -36.974247
1122.079956, 6.764220, -6.037540, 9.066784, -41.751144
900.000000, 7.095910, -7.409820, 10.259501, -46.239712
720.000000, 7.463770, -9.047160, 11.728554, -50.477886
568.421021, 7.963910, -11.169900, 13.718255, -54.511913
440.816010, 8.743320, -14.105500, 16.595505, -58.207222
354.097992, 9.600550, -17.191401, 19.690475, -60.818790
276.923004, 10.904000, -21.454100, 24.066067, -63.058144
220.408005, 12.566000, -26.337700, 29.181824, -64.493690
174.194000, 14.854300, -32.481400, 35.716824, -65.424583
137.580002, 17.856899, -40.037102, 43.838776, -65.962708
109.091003, 21.622900, -49.073399, 53.626003, -66.220573
87.096802, 26.498600, -59.851200, 65.454887, -66.119041
68.354401, 32.287998, -73.928101, 80.671425, -66.406769
54.545502, 38.787201, -88.274696, 96.420273, -66.279694
42.857101, 45.715900, -108.276001, 117.531425, -67.109734
33.962299, 52.999901, -131.916000, 142.164764, -68.111214
26.865700, 63.352501, -161.490005, 173.472076, -68.579933
21.343901, 75.335701, -195.850998, 209.840607, -68.960350
17.307699, 89.531502, -233.537003, 250.110825, -69.024574
13.636400, 107.069000, -283.752991, 303.281281, -69.326920
10.714300, 126.736000, -344.716003, 367.275299, -69.813873
8.490570, 149.082001, -416.335999, 442.222931, -70.298515
6.716420, 173.522003, -503.585999, 532.643188, -70.987434
5.294120, 202.031006, -611.885010, 644.375488, -71.727913
4.166670, 234.901993, -746.862000, 782.931580, -72.540657
3.308820, 271.363007, -907.057007, 946.778931, -73.344460
2.616280, 314.548004, -1107.760010, 1151.552246, -74.148132
2.073730, 364.807007, -1354.619995, 1402.882568, -74.927505
1.642340, 422.505005, -1660.910034, 1713.806396, -75.727730
1.300580, 489.229004, -2037.709961, 2095.616211, -76.499512
1.032110, 566.344971, -2501.639893, 2564.946289, -77.243851
0.815217, 660.440979, -3086.979980, 3156.838379, -77.923950
0.646552, 768.810974, -3801.639893, 3878.599854, -78.567184
0.511364, 871.989014, -4698.129883, 4778.366699, -79.485359
0.407609, 1014.559998, -5772.310059, 5860.792969, -80.031326
0.321429, 1181.199951, -7223.939941, 7319.873047, -80.713631
0.254525, 1393.400024, -8942.820313, 9050.723633, -81.143837
0.201613, 1642.020020, -11090.500000, 11211.396484, -81.578186
0.159574, 1943.579956, -13782.799805, 13919.162109, -81.973366
0.126689, 2366.600098, -16996.900391, 17160.869141, -82.073257
0.100446, 2722.709961, -21371.900391, 21544.634766, -82.739799
