Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
307200.000000, -0.219739, 4.035560, 4.041538, 86.883286
276480.000000, 0.393885, 3.046900, 3.072254, 82.633987
197486.000000, 1.286700, 2.142540, 2.499215, 59.013123
153600.000000, 1.622320, 1.614220, 2.288587, 44.856609
125673.000000, 1.829430, 1.253320, 2.217572, 34.414562
98742.898438, 2.019530, 0.956385, 2.234541, 25.340742
76800.000000, 2.115930, 0.716098, 2.233821, 18.697454
60104.300781, 2.195440, 0.477325, 2.246730, 12.266155
49371.398438, 2.210700, 0.346662, 2.237715, 8.912031
38400.000000, 2.221840, 0.195992, 2.230468, 5.041102
30052.199219, 2.234760, 0.065201, 2.235711, 1.671191
23834.500000, 2.246560, -0.049796, 2.247112, -1.269768
18681.099609, 2.257090, -0.174597, 2.263833, -4.423301
14706.400391, 2.274570, -0.302535, 2.294601, -7.576304
11520.000000, 2.297450, -0.442570, 2.339689, -10.903628
9600.000000, 2.316300, -0.560550, 2.383162, -13.604161
7513.040039, 2.351230, -0.740757, 2.465158, -17.487080
5760.000000, 2.391290, -0.972582, 2.581508, -22.132488
4547.370117, 2.439190, -1.223200, 2.728711, -26.632755
3600.000000, 2.501440, -1.521930, 2.928049, -31.317230
2880.000000, 2.563230, -1.864240, 3.169470, -36.028439
2273.679932, 2.619920, -2.295090, 3.483019, -41.218857
1781.439941, 2.737910, -2.854310, 3.955153, -46.192421
1416.390015, 2.879370, -3.506450, 4.537176, -50.608395
1122.079956, 3.070660, -4.306220, 5.288902, -54.508263
900.000000, 3.307290, -5.237790, 6.194563, -57.730522
720.000000, 3.419170, -6.460590, 7.309579, -62.110649
568.421021, 4.016060, -7.786140, 8.760862, -62.715500
440.816010, 4.590260, -9.641990, 10.678879, -64.542297
354.097992, 5.209750, -11.552300, 12.672692, -65.726013
276.923004, 6.073010, -14.092000, 15.344898, -66.686165
220.408005, 7.031680, -16.899500, 18.304033, -67.408386
174.194000, 8.178160, -20.321600, 21.905472, -68.078331
137.580002, 9.487640, -24.440100, 26.217052, -68.783798
109.091003, 10.924200, -29.351900, 31.318880, -69.585716
87.096802, 12.499300, -35.265499, 37.415077, -70.483925
68.354401, 14.385600, -43.149300, 45.484146, -71.562065
54.545502, 16.513000, -51.155602, 53.754765, -72.109947
42.857101, 18.963400, -62.464001, 65.279106, -73.112282
33.962299, 21.193600, -75.844704, 78.750160, -74.387825
26.865700, 24.461300, -92.913002, 96.079033, -75.250381
21.343901, 28.112301, -113.425003, 116.856895, -76.079788
17.307699, 31.954500, -136.440994, 140.132919, -76.818878
13.636400, 36.828400, -168.244995, 172.228653, -77.652855
10.714300, 42.554901, -208.352997, 212.654388, -78.456444
8.490570, 48.908699, -256.513000, 261.134033, -79.205116
6.716420, 56.306301, -316.889008, 321.852509, -79.924583
5.294120, 65.339500, -393.464996, 398.853302, -80.571396
4.166670, 75.772102, -490.065002, 495.888214, -81.210724
3.308820, 87.800598, -606.176025, 612.501709, -81.758385
2.616280, 102.985001, -753.556030, 760.560730, -82.217850
2.073730, 121.022003, -936.046021, 943.837097, -82.633049
1.642340, 143.608994, -1164.430054, 1173.252319, -82.969215
1.300580, 172.746002, -1449.339966, 1459.598389, -83.203033
1.032110, 209.022003, -1801.739990, 1813.823975, -83.382629
0.815217, 257.503998, -2248.350098, 2263.048096, -83.466377
0.646552, 317.390015, -2793.590088, 2811.562256, -83.518204
0.511364, 387.915985, -3480.889893, 3502.438232, -83.641090
0.407609, 487.774994, -4308.549805, 4336.072754, -83.540985
0.321429, 619.590027, -5404.379883, 5439.780762, -83.459831
0.254525, 802.192993, -6721.560059, 6769.260254, -83.194160
0.201613, 1042.380005, -8355.089844, 8419.862305, -82.888535
0.159574, 1366.910034, -10385.299805, 10474.870117, -82.501846
0.126689, 1814.680054, -12794.400391, 12922.451172, -81.927368
0.100446, 2339.350098, -15974.299805, 16144.683594, -81.668571
