Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
307200.000000, -1.194800, 3.426920, 3.629232, 70.778824
276480.000000, -0.589935, 2.473140, 2.542527, 76.583565
197486.000000, 0.292784, 1.726910, 1.751554, 80.377449
153600.000000, 0.642109, 1.285210, 1.436687, 63.452644
125673.000000, 0.851055, 0.977866, 1.296347, 48.966339
98742.898438, 1.036770, 0.691976, 1.246484, 33.720512
76800.000000, 1.150010, 0.485876, 1.248438, 22.903923
60104.300781, 1.253980, 0.253504, 1.279348, 11.428856
49371.398438, 1.285400, 0.122875, 1.291260, 5.460473
38400.000000, 1.318550, -0.037104, 1.319072, -1.611900
30052.199219, 1.351830, -0.181290, 1.363932, -7.638198
23834.500000, 1.386710, -0.321866, 1.423574, -13.067404
18681.099609, 1.428570, -0.473691, 1.505057, -18.344696
14706.400391, 1.477530, -0.635205, 1.608285, -23.263357
11520.000000, 1.534200, -0.819243, 1.739232, -28.101645
9600.000000, 1.582790, -0.974482, 1.858720, -31.619511
7513.040039, 1.653380, -1.212000, 2.050027, -36.243053
5760.000000, 1.740180, -1.525730, 2.314320, -41.243172
4547.370117, 1.824630, -1.861380, 2.606532, -45.571232
3600.000000, 1.922380, -2.268250, 2.973298, -49.718166
2880.000000, 2.026020, -2.740760, 3.408302, -53.527512
2273.679932, 2.138730, -3.327050, 3.955177, -57.265842
1781.439941, 2.288310, -4.111940, 4.705785, -60.903896
1416.390015, 2.463860, -5.023960, 5.595604, -63.875656
1122.079956, 2.665350, -6.162700, 6.714385, -66.611664
900.000000, 2.931530, -7.520280, 8.071461, -68.703339
720.000000, 3.227070, -9.170970, 9.722174, -70.614120
568.421021, 3.630050, -11.329500, 11.896841, -72.234192
440.816010, 4.198280, -14.257800, 14.863055, -73.592674
354.097992, 4.814510, -17.332800, 17.989037, -74.476379
276.923004, 5.713390, -21.571199, 22.315006, -75.165161
220.408005, 6.796450, -26.427200, 27.287151, -75.577431
174.194000, 8.248240, -32.532001, 33.561356, -75.772888
137.580002, 10.145900, -40.018002, 41.284134, -75.773384
109.091003, 12.570500, -49.001900, 50.588573, -75.612122
87.096802, 15.587100, -59.605400, 61.609753, -75.345047
68.354401, 19.842501, -73.698196, 76.322662, -74.931023
54.545502, 25.283501, -87.748199, 91.318138, -73.926346
42.857101, 32.407700, -106.829002, 111.636436, -73.124283
33.962299, 40.298599, -128.518005, 134.687988, -72.590469
26.865700, 51.464699, -154.871002, 163.198166, -71.618004
21.343901, 64.800400, -184.889008, 195.915894, -70.685318
17.307699, 79.361504, -217.005997, 231.062439, -69.911980
13.636400, 98.594398, -258.817993, 276.961395, -69.146103
10.714300, 121.295998, -308.460999, 331.452728, -68.533775
8.490570, 146.639999, -365.428986, 393.753265, -68.135307
6.716420, 175.781006, -433.066986, 467.382050, -67.907867
5.294120, 209.621994, -515.096008, 556.116272, -67.855789
4.166670, 248.858994, -614.810974, 663.267151, -67.963219
3.308820, 292.186005, -730.333984, 786.613220, -68.195053
2.616280, 342.898010, -871.685974, 936.704590, -68.526657
2.073730, 400.101990, -1040.859985, 1115.110352, -68.973465
1.642340, 465.299011, -1246.280029, 1330.307129, -69.526863
1.300580, 539.221985, -1494.500000, 1588.801636, -70.160339
1.032110, 621.879028, -1795.869995, 1900.495361, -70.899902
0.815217, 714.237976, -2168.969971, 2283.542480, -71.773384
0.646552, 807.669006, -2613.340088, 2735.301758, -72.825912
0.511364, 899.414001, -3190.459961, 3314.812256, -74.256462
0.407609, 1018.650024, -3867.379883, 3999.284424, -75.243698
0.321429, 1152.060059, -4808.919922, 4944.992676, -76.527725
0.254525, 1308.819946, -5890.100098, 6033.762207, -77.472046
0.201613, 1479.280029, -7247.899902, 7397.318848, -78.464485
0.159574, 1680.500000, -8950.040039, 9106.442383, -79.365715
0.126689, 1904.369995, -11050.599609, 11213.491211, -80.222153
0.100446, 2171.449951, -13694.799805, 13865.883789, -80.990189
