Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
307200.000000, -1.907600, 3.144820, 3.678156, 58.759640
276480.000000, -1.296020, 2.235370, 2.583901, 59.895760
197486.000000, -0.384833, 1.536760, 1.584212, 75.941185
153600.000000, -0.020317, 1.181470, 1.181645, 89.014839
125673.000000, 0.169578, 0.895359, 0.911276, 79.275398
98742.898438, 0.361791, 0.677932, 0.768430, 61.912563
76800.000000, 0.469596, 0.494649, 0.682054, 46.488319
60104.300781, 0.545980, 0.313256, 0.629463, 29.845049
49371.398438, 0.561716, 0.209345, 0.599458, 20.439837
38400.000000, 0.575405, 0.088323, 0.582144, 8.726645
30052.199219, 0.585804, -0.020583, 0.586165, -2.012316
23834.500000, 0.598626, -0.124412, 0.611418, -11.740606
18681.099609, 0.612611, -0.237304, 0.656967, -21.174618
14706.400391, 0.629862, -0.356915, 0.723958, -29.538311
11520.000000, 0.651650, -0.494589, 0.818087, -37.197754
9600.000000, 0.670685, -0.610979, 0.907256, -42.332821
7513.040039, 0.701668, -0.793217, 1.059024, -48.504501
5760.000000, 0.744822, -1.032510, 1.273121, -54.194443
4547.370117, 0.795629, -1.292260, 1.517551, -58.379890
3600.000000, 0.856566, -1.606960, 1.820996, -61.940823
2880.000000, 0.930585, -1.969920, 2.178663, -64.714073
2273.679932, 1.023810, -2.422190, 2.629675, -67.087212
1781.439941, 1.157990, -3.008020, 3.223217, -68.944923
1416.390015, 1.325490, -3.684430, 3.915603, -70.213577
1122.079956, 1.541730, -4.518480, 4.774263, -71.160080
900.000000, 1.808910, -5.484180, 5.774806, -71.745308
720.000000, 2.153410, -6.636960, 6.977565, -72.023972
568.421021, 2.622240, -8.102620, 8.516372, -72.066948
440.816010, 3.280040, -10.004400, 10.528376, -71.847763
354.097992, 3.998950, -11.956800, 12.607802, -71.507500
276.923004, 5.017560, -14.540600, 15.381968, -70.961861
220.408005, 6.193320, -17.382000, 18.452402, -70.388680
174.194000, 7.669190, -20.806000, 22.174446, -69.765892
137.580002, 9.443530, -24.829100, 26.564344, -69.176132
109.091003, 11.497900, -29.487600, 31.649965, -68.698036
87.096802, 13.849600, -34.943001, 37.587559, -68.379196
68.354401, 16.766100, -41.977200, 45.201630, -68.227760
54.545502, 19.977800, -48.778198, 52.710770, -67.727753
42.857101, 23.841600, -58.200802, 62.894794, -67.723839
33.962299, 27.708200, -69.049301, 74.401276, -68.135330
26.865700, 32.870201, -82.459099, 88.769096, -68.266579
21.343901, 38.614101, -98.051003, 105.380493, -68.504654
17.307699, 44.563499, -115.111000, 123.436012, -68.836830
13.636400, 51.966801, -138.067001, 147.523026, -69.374252
10.714300, 60.281898, -166.283997, 176.873611, -70.073219
8.490570, 69.115402, -199.593994, 211.221924, -70.900055
6.716420, 78.902603, -240.891006, 253.483917, -71.864059
5.294120, 89.796600, -292.433990, 305.910217, -72.930046
4.166670, 101.544998, -357.079987, 371.237793, -74.125519
3.308820, 113.696999, -434.489014, 449.118805, -75.335686
2.616280, 127.367996, -532.645020, 547.661682, -76.551750
2.073730, 142.233002, -654.419006, 669.697327, -77.737885
1.642340, 158.822998, -807.487000, 822.958069, -78.872650
1.300580, 178.889999, -999.333984, 1015.219238, -79.851013
1.032110, 202.533997, -1237.640015, 1254.102417, -80.706184
0.815217, 231.966995, -1540.589966, 1557.955811, -81.437279
0.646552, 263.186005, -1902.760010, 1920.875488, -82.124931
0.511364, 307.644989, -2383.830078, 2403.599609, -82.646355
0.407609, 365.312988, -2951.510010, 2974.031738, -82.944305
0.321429, 437.326996, -3708.500000, 3734.197021, -83.274429
0.254525, 537.185974, -4615.939941, 4647.092773, -83.361977
0.201613, 663.367004, -5747.549805, 5785.705078, -83.416199
0.159574, 828.517029, -7158.479980, 7206.266602, -83.397995
0.126689, 1047.729980, -8880.309570, 8941.903320, -83.271156
0.100446, 1319.859985, -11037.200195, 11115.835938, -83.180801
