June 11, 2026   18:43:32
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 1.486e+2, -3.159e+1, 1.519e+2, -12.0
6.816e+5, 1.526e+2, -3.146e+1, 1.558e+2, -11.6
5.625e+5, 1.567e+2, -2.850e+1, 1.593e+2, -10.3
4.639e+5, 1.603e+2, -2.598e+1, 1.624e+2, -9.2
3.828e+5, 1.638e+2, -2.286e+1, 1.654e+2, -7.9
3.164e+5, 1.664e+2, -2.007e+1, 1.676e+2, -6.9
2.607e+5, 1.684e+2, -1.743e+1, 1.693e+2, -5.9
2.158e+5, 1.701e+2, -1.521e+1, 1.707e+2, -5.1
1.777e+5, 1.716e+2, -1.363e+1, 1.721e+2, -4.5
1.465e+5, 1.728e+2, -1.213e+1, 1.732e+2, -4.0
1.211e+5, 1.735e+2, -9.186e+0, 1.737e+2, -3.0
9.961e+4, 1.740e+2, -5.863e+0, 1.741e+2, -1.9
8.252e+4, 1.746e+2, -3.590e+0, 1.746e+2, -1.2
6.812e+4, 1.752e+2, -2.463e+0, 1.752e+2, -0.8
5.625e+4, 1.756e+2, -2.209e+0, 1.756e+2, -0.7
4.644e+4, 1.761e+2, -2.361e+0, 1.761e+2, -0.8
3.833e+4, 1.766e+2, -2.553e+0, 1.766e+2, -0.8
3.164e+4, 1.771e+2, -2.656e+0, 1.771e+2, -0.9
2.612e+4, 1.776e+2, -2.593e+0, 1.776e+2, -0.8
2.153e+4, 1.779e+2, -2.439e+0, 1.780e+2, -0.8
1.777e+4, 1.783e+2, -2.352e+0, 1.783e+2, -0.8
1.470e+4, 1.786e+2, -2.350e+0, 1.786e+2, -0.8
1.211e+4, 1.788e+2, -2.471e+0, 1.788e+2, -0.8
1.001e+4, 1.791e+2, -2.706e+0, 1.791e+2, -0.9
8.252e+3, 1.794e+2, -2.984e+0, 1.795e+2, -1.0
6.812e+3, 1.798e+2, -3.345e+0, 1.798e+2, -1.1
5.625e+3, 1.801e+2, -3.775e+0, 1.801e+2, -1.2
4.643e+3, 1.805e+2, -4.338e+0, 1.805e+2, -1.4
3.833e+3, 1.809e+2, -5.101e+0, 1.810e+2, -1.6
3.164e+3, 1.814e+2, -5.919e+0, 1.815e+2, -1.9
2.612e+3, 1.817e+2, -6.877e+0, 1.818e+2, -2.2
2.153e+3, 1.821e+2, -8.011e+0, 1.823e+2, -2.5
1.777e+3, 1.827e+2, -9.350e+0, 1.829e+2, -2.9
1.470e+3, 1.833e+2, -1.099e+1, 1.836e+2, -3.4
1.211e+3, 1.840e+2, -1.294e+1, 1.844e+2, -4.0
1.001e+3, 1.846e+2, -1.506e+1, 1.852e+2, -4.7
8.252e+2, 1.852e+2, -1.744e+1, 1.861e+2, -5.4
6.836e+2, 1.861e+2, -2.045e+1, 1.872e+2, -6.3
5.615e+2, 1.872e+2, -2.416e+1, 1.887e+2, -7.4
4.639e+2, 1.885e+2, -2.860e+1, 1.906e+2, -8.6
3.809e+2, 1.901e+2, -3.372e+1, 1.930e+2, -10.1
3.174e+2, 1.919e+2, -3.974e+1, 1.960e+2, -11.7
2.588e+2, 1.943e+2, -4.682e+1, 1.998e+2, -13.6
2.148e+2, 1.971e+2, -5.511e+1, 2.047e+2, -15.6
1.758e+2, 2.003e+2, -6.473e+1, 2.105e+2, -17.9
1.465e+2, 2.038e+2, -7.556e+1, 2.174e+2, -20.3
1.221e+2, 2.081e+2, -8.863e+1, 2.262e+2, -23.1
9.766e+1, 2.134e+2, -1.033e+2, 2.370e+2, -25.8
8.254e+1, 2.194e+2, -1.197e+2, 2.500e+2, -28.6
6.813e+1, 2.262e+2, -1.398e+2, 2.659e+2, -31.7
5.623e+1, 2.337e+2, -1.637e+2, 2.854e+2, -35.0
4.642e+1, 2.423e+2, -1.919e+2, 3.091e+2, -38.4
3.831e+1, 2.522e+2, -2.251e+2, 3.380e+2, -41.7
3.162e+1, 2.635e+2, -2.638e+2, 3.729e+2, -45.0
2.610e+1, 2.766e+2, -3.092e+2, 4.149e+2, -48.2
2.154e+1, 2.916e+2, -3.624e+2, 4.652e+2, -51.2
1.778e+1, 3.087e+2, -4.249e+2, 5.252e+2, -54.0
1.468e+1, 3.282e+2, -4.983e+2, 5.966e+2, -56.6
1.212e+1, 3.509e+2, -5.846e+2, 6.819e+2, -59.0
1.000e+1, 3.779e+2, -6.867e+2, 7.839e+2, -61.2
8.254e+0, 4.094e+2, -8.079e+2, 9.057e+2, -63.1
6.813e+0, 4.455e+2, -9.514e+2, 1.051e+3, -64.9
5.623e+0, 4.875e+2, -1.121e+3, 1.222e+3, -66.5
4.642e+0, 5.362e+2, -1.322e+3, 1.426e+3, -67.9
3.831e+0, 5.937e+2, -1.557e+3, 1.666e+3, -69.1
3.162e+0, 6.613e+2, -1.836e+3, 1.951e+3, -70.2
2.610e+0, 7.424e+2, -2.164e+3, 2.288e+3, -71.1
2.154e+0, 8.329e+2, -2.568e+3, 2.699e+3, -72.0
1.778e+0, 9.358e+2, -3.049e+3, 3.190e+3, -72.9
1.468e+0, 1.063e+3, -3.590e+3, 3.744e+3, -73.5
1.212e+0, 1.221e+3, -4.202e+3, 4.376e+3, -73.8
1.000e+0, 1.419e+3, -4.905e+3, 5.106e+3, -73.9
8.254e-1, 1.658e+3, -5.711e+3, 5.947e+3, -73.8
6.813e-1, 1.932e+3, -6.638e+3, 6.914e+3, -73.8
5.623e-1, 2.241e+3, -7.722e+3, 8.041e+3, -73.8
4.642e-1, 2.592e+3, -8.981e+3, 9.348e+3, -73.9
3.831e-1, 2.992e+3, -1.045e+4, 1.087e+4, -74.0
3.162e-1, 3.445e+3, -1.218e+4, 1.265e+4, -74.2
2.610e-1, 3.959e+3, -1.419e+4, 1.473e+4, -74.4
2.154e-1, 4.536e+3, -1.656e+4, 1.717e+4, -74.7
1.778e-1, 5.176e+3, -1.936e+4, 2.004e+4, -75.0
1.468e-1, 5.897e+3, -2.261e+4, 2.336e+4, -75.4
1.212e-1, 6.709e+3, -2.642e+4, 2.725e+4, -75.7
1.000e-1, 7.609e+3, -3.082e+4, 3.175e+4, -76.1
