June 11, 2026   12:04:28
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 4.139e+0, 1.364e+1, 1.425e+1, 73.1
6.816e+5, 3.542e+0, 1.116e+1, 1.171e+1, 72.4
5.625e+5, 2.964e+0, 9.251e+0, 9.714e+0, 72.2
4.639e+5, 2.716e+0, 7.601e+0, 8.072e+0, 70.3
3.828e+5, 2.530e+0, 6.327e+0, 6.814e+0, 68.2
3.164e+5, 2.426e+0, 5.244e+0, 5.779e+0, 65.2
2.607e+5, 2.328e+0, 4.358e+0, 4.941e+0, 61.9
2.158e+5, 2.251e+0, 3.596e+0, 4.243e+0, 58.0
1.777e+5, 2.193e+0, 2.952e+0, 3.678e+0, 53.4
1.465e+5, 2.154e+0, 2.415e+0, 3.236e+0, 48.3
1.211e+5, 2.113e+0, 1.979e+0, 2.895e+0, 43.1
9.961e+4, 2.088e+0, 1.615e+0, 2.640e+0, 37.7
8.252e+4, 2.064e+0, 1.218e+0, 2.396e+0, 30.5
6.812e+4, 2.044e+0, 8.214e-1, 2.203e+0, 21.9
5.625e+4, 2.034e+0, 5.421e-1, 2.105e+0, 14.9
4.644e+4, 2.033e+0, 3.551e-1, 2.064e+0, 9.9
3.833e+4, 2.038e+0, 2.327e-1, 2.051e+0, 6.5
3.164e+4, 2.047e+0, 1.320e-1, 2.051e+0, 3.7
2.612e+4, 2.058e+0, 3.636e-2, 2.058e+0, 1.0
2.153e+4, 2.072e+0, -6.383e-2, 2.073e+0, -1.8
1.777e+4, 2.087e+0, -1.655e-1, 2.093e+0, -4.5
1.470e+4, 2.103e+0, -2.691e-1, 2.120e+0, -7.3
1.211e+4, 2.123e+0, -3.763e-1, 2.156e+0, -10.0
1.001e+4, 2.146e+0, -4.921e-1, 2.202e+0, -12.9
8.252e+3, 2.171e+0, -6.195e-1, 2.258e+0, -15.9
6.812e+3, 2.202e+0, -7.604e-1, 2.330e+0, -19.1
5.625e+3, 2.239e+0, -9.195e-1, 2.420e+0, -22.3
4.643e+3, 2.291e+0, -1.098e+0, 2.540e+0, -25.6
3.833e+3, 2.355e+0, -1.303e+0, 2.692e+0, -29.0
3.164e+3, 2.424e+0, -1.547e+0, 2.875e+0, -32.6
2.612e+3, 2.498e+0, -1.835e+0, 3.099e+0, -36.3
2.153e+3, 2.579e+0, -2.173e+0, 3.373e+0, -40.1
1.777e+3, 2.672e+0, -2.567e+0, 3.706e+0, -43.9
1.470e+3, 2.780e+0, -3.030e+0, 4.112e+0, -47.5
1.211e+3, 2.908e+0, -3.576e+0, 4.609e+0, -50.9
1.001e+3, 3.058e+0, -4.217e+0, 5.209e+0, -54.0
8.252e+2, 3.235e+0, -4.965e+0, 5.926e+0, -56.9
6.836e+2, 3.447e+0, -5.851e+0, 6.791e+0, -59.5
5.615e+2, 3.701e+0, -6.905e+0, 7.835e+0, -61.8
4.639e+2, 4.007e+0, -8.157e+0, 9.089e+0, -63.8
3.809e+2, 4.368e+0, -9.610e+0, 1.056e+1, -65.6
3.174e+2, 4.797e+0, -1.132e+1, 1.230e+1, -67.0
2.588e+2, 5.310e+0, -1.334e+1, 1.436e+1, -68.3
2.148e+2, 5.925e+0, -1.571e+1, 1.679e+1, -69.3
1.758e+2, 6.651e+0, -1.846e+1, 1.962e+1, -70.2
1.465e+2, 7.494e+0, -2.160e+1, 2.287e+1, -70.9
1.221e+2, 8.550e+0, -2.547e+1, 2.687e+1, -71.4
9.766e+1, 9.850e+0, -2.993e+1, 3.151e+1, -71.8
8.254e+1, 1.134e+1, -3.496e+1, 3.675e+1, -72.0
6.813e+1, 1.300e+1, -4.091e+1, 4.293e+1, -72.4
5.623e+1, 1.485e+1, -4.790e+1, 5.015e+1, -72.8
4.642e+1, 1.697e+1, -5.614e+1, 5.865e+1, -73.2
3.831e+1, 1.941e+1, -6.586e+1, 6.866e+1, -73.6
3.162e+1, 2.218e+1, -7.730e+1, 8.042e+1, -74.0
2.610e+1, 2.530e+1, -9.072e+1, 9.418e+1, -74.4
2.154e+1, 2.877e+1, -1.065e+2, 1.104e+2, -74.9
1.778e+1, 3.268e+1, -1.253e+2, 1.295e+2, -75.4
1.468e+1, 3.711e+1, -1.477e+2, 1.523e+2, -75.9
1.212e+1, 4.211e+1, -1.741e+2, 1.791e+2, -76.4
1.000e+1, 4.785e+1, -2.054e+2, 2.109e+2, -76.9
8.254e+0, 5.430e+1, -2.428e+2, 2.488e+2, -77.4
6.813e+0, 6.132e+1, -2.877e+2, 2.941e+2, -78.0
5.623e+0, 6.906e+1, -3.413e+2, 3.483e+2, -78.6
4.642e+0, 7.770e+1, -4.057e+2, 4.130e+2, -79.2
3.831e+0, 8.773e+1, -4.825e+2, 4.904e+2, -79.7
3.162e+0, 9.921e+1, -5.750e+2, 5.835e+2, -80.2
2.610e+0, 1.130e+2, -6.860e+2, 6.952e+2, -80.6
2.154e+0, 1.278e+2, -8.210e+2, 8.309e+2, -81.2
1.778e+0, 1.446e+2, -9.838e+2, 9.943e+2, -81.6
1.468e+0, 1.677e+2, -1.177e+3, 1.189e+3, -81.9
1.212e+0, 1.993e+2, -1.410e+3, 1.424e+3, -82.0
1.000e+0, 2.407e+2, -1.679e+3, 1.696e+3, -81.8
8.254e-1, 2.957e+2, -1.989e+3, 2.011e+3, -81.5
6.813e-1, 3.657e+2, -2.358e+3, 2.386e+3, -81.2
5.623e-1, 4.509e+2, -2.799e+3, 2.835e+3, -80.8
4.642e-1, 5.585e+2, -3.324e+3, 3.371e+3, -80.5
3.831e-1, 6.956e+2, -3.947e+3, 4.007e+3, -80.0
3.162e-1, 8.728e+2, -4.681e+3, 4.762e+3, -79.4
2.610e-1, 1.101e+3, -5.545e+3, 5.653e+3, -78.8
2.154e-1, 1.392e+3, -6.556e+3, 6.703e+3, -78.0
1.778e-1, 1.764e+3, -7.727e+3, 7.926e+3, -77.1
1.468e-1, 2.235e+3, -9.052e+3, 9.324e+3, -76.1
1.212e-1, 2.818e+3, -1.060e+4, 1.097e+4, -75.1
1.000e-1, 3.517e+3, -1.240e+4, 1.289e+4, -74.2
