June 12, 2026   13:05:40
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 5.527e+0, 1.392e+1, 1.498e+1, 68.3
6.816e+5, 4.857e+0, 1.137e+1, 1.237e+1, 66.9
5.625e+5, 4.341e+0, 9.387e+0, 1.034e+1, 65.2
4.639e+5, 4.067e+0, 7.703e+0, 8.711e+0, 62.2
3.828e+5, 3.910e+0, 6.392e+0, 7.493e+0, 58.5
3.164e+5, 3.808e+0, 5.283e+0, 6.512e+0, 54.2
2.607e+5, 3.723e+0, 4.371e+0, 5.741e+0, 49.6
2.158e+5, 3.655e+0, 3.585e+0, 5.120e+0, 44.4
1.777e+5, 3.613e+0, 2.913e+0, 4.641e+0, 38.9
1.465e+5, 3.586e+0, 2.344e+0, 4.284e+0, 33.2
1.211e+5, 3.561e+0, 1.877e+0, 4.025e+0, 27.8
9.961e+4, 3.549e+0, 1.487e+0, 3.848e+0, 22.7
8.252e+4, 3.548e+0, 1.160e+0, 3.733e+0, 18.1
6.812e+4, 3.562e+0, 8.766e-1, 3.669e+0, 13.8
5.625e+4, 3.580e+0, 6.275e-1, 3.635e+0, 9.9
4.644e+4, 3.604e+0, 4.043e-1, 3.627e+0, 6.4
3.833e+4, 3.632e+0, 2.035e-1, 3.638e+0, 3.2
3.164e+4, 3.666e+0, 1.683e-2, 3.666e+0, 0.3
2.612e+4, 3.705e+0, -1.590e-1, 3.708e+0, -2.5
2.153e+4, 3.744e+0, -3.286e-1, 3.758e+0, -5.0
1.777e+4, 3.787e+0, -5.017e-1, 3.820e+0, -7.5
1.470e+4, 3.836e+0, -6.797e-1, 3.896e+0, -10.0
1.211e+4, 3.892e+0, -8.663e-1, 3.987e+0, -12.5
1.001e+4, 3.955e+0, -1.071e+0, 4.097e+0, -15.2
8.252e+3, 4.023e+0, -1.301e+0, 4.229e+0, -17.9
6.812e+3, 4.099e+0, -1.560e+0, 4.386e+0, -20.8
5.625e+3, 4.182e+0, -1.855e+0, 4.575e+0, -23.9
4.643e+3, 4.274e+0, -2.196e+0, 4.805e+0, -27.2
3.833e+3, 4.377e+0, -2.591e+0, 5.086e+0, -30.6
3.164e+3, 4.492e+0, -3.052e+0, 5.431e+0, -34.2
2.612e+3, 4.625e+0, -3.593e+0, 5.857e+0, -37.8
2.153e+3, 4.779e+0, -4.231e+0, 6.383e+0, -41.5
1.777e+3, 4.956e+0, -4.980e+0, 7.026e+0, -45.1
1.470e+3, 5.158e+0, -5.866e+0, 7.811e+0, -48.7
1.211e+3, 5.391e+0, -6.912e+0, 8.766e+0, -52.0
1.001e+3, 5.660e+0, -8.145e+0, 9.919e+0, -55.2
8.252e+2, 5.971e+0, -9.593e+0, 1.130e+1, -58.1
6.836e+2, 6.330e+0, -1.132e+1, 1.297e+1, -60.8
5.615e+2, 6.747e+0, -1.336e+1, 1.497e+1, -63.2
4.639e+2, 7.231e+0, -1.580e+1, 1.738e+1, -65.4
3.809e+2, 7.802e+0, -1.867e+1, 2.023e+1, -67.3
3.174e+2, 8.488e+0, -2.211e+1, 2.368e+1, -69.0
2.588e+2, 9.288e+0, -2.620e+1, 2.780e+1, -70.5
2.148e+2, 1.023e+1, -3.108e+1, 3.272e+1, -71.8
1.758e+2, 1.131e+1, -3.681e+1, 3.851e+1, -72.9
1.465e+2, 1.255e+1, -4.339e+1, 4.517e+1, -73.9
1.221e+2, 1.411e+1, -5.158e+1, 5.348e+1, -74.7
9.766e+1, 1.611e+1, -6.115e+1, 6.324e+1, -75.2
8.254e+1, 1.849e+1, -7.208e+1, 7.442e+1, -75.6
6.813e+1, 2.122e+1, -8.522e+1, 8.782e+1, -76.0
5.623e+1, 2.435e+1, -1.008e+2, 1.037e+2, -76.4
4.642e+1, 2.808e+1, -1.193e+2, 1.226e+2, -76.8
3.831e+1, 3.262e+1, -1.415e+2, 1.452e+2, -77.0
3.162e+1, 3.808e+1, -1.677e+2, 1.720e+2, -77.2
2.610e+1, 4.467e+1, -1.987e+2, 2.037e+2, -77.3
2.154e+1, 5.269e+1, -2.352e+2, 2.411e+2, -77.4
1.778e+1, 6.228e+1, -2.783e+2, 2.852e+2, -77.4
1.468e+1, 7.384e+1, -3.290e+2, 3.371e+2, -77.3
1.212e+1, 8.791e+1, -3.886e+2, 3.985e+2, -77.3
1.000e+1, 1.051e+2, -4.589e+2, 4.708e+2, -77.1
8.254e+0, 1.258e+2, -5.416e+2, 5.560e+2, -76.9
6.813e+0, 1.502e+2, -6.389e+2, 6.564e+2, -76.8
5.623e+0, 1.789e+2, -7.532e+2, 7.741e+2, -76.6
4.642e+0, 2.123e+2, -8.875e+2, 9.126e+2, -76.5
3.831e+0, 2.524e+2, -1.045e+3, 1.075e+3, -76.4
3.162e+0, 2.998e+2, -1.231e+3, 1.267e+3, -76.3
2.610e+0, 3.552e+2, -1.451e+3, 1.494e+3, -76.2
2.154e+0, 4.122e+2, -1.716e+3, 1.764e+3, -76.5
1.778e+0, 4.737e+2, -2.028e+3, 2.082e+3, -76.9
1.468e+0, 5.505e+2, -2.386e+3, 2.449e+3, -77.0
1.212e+0, 6.446e+2, -2.801e+3, 2.874e+3, -77.0
1.000e+0, 7.562e+2, -3.282e+3, 3.367e+3, -77.0
8.254e-1, 8.841e+2, -3.839e+3, 3.939e+3, -77.0
6.813e-1, 1.026e+3, -4.489e+3, 4.605e+3, -77.1
5.623e-1, 1.185e+3, -5.255e+3, 5.387e+3, -77.3
4.642e-1, 1.367e+3, -6.162e+3, 6.312e+3, -77.5
3.831e-1, 1.574e+3, -7.236e+3, 7.405e+3, -77.7
3.162e-1, 1.811e+3, -8.511e+3, 8.701e+3, -78.0
2.610e-1, 2.085e+3, -1.002e+4, 1.024e+4, -78.3
2.154e-1, 2.408e+3, -1.181e+4, 1.205e+4, -78.5
1.778e-1, 2.776e+3, -1.390e+4, 1.418e+4, -78.7
1.468e-1, 3.183e+3, -1.633e+4, 1.663e+4, -79.0
1.212e-1, 3.697e+3, -1.930e+4, 1.965e+4, -79.2
1.000e-1, 4.349e+3, -2.291e+4, 2.332e+4, -79.3
