June 12, 2026   08:32:50
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 3.358e+0, 1.429e+1, 1.468e+1, 76.8
6.816e+5, 2.667e+0, 1.168e+1, 1.198e+1, 77.1
5.625e+5, 2.127e+0, 9.636e+0, 9.869e+0, 77.6
4.639e+5, 1.841e+0, 7.933e+0, 8.143e+0, 76.9
3.828e+5, 1.663e+0, 6.607e+0, 6.813e+0, 75.9
3.164e+5, 1.548e+0, 5.493e+0, 5.707e+0, 74.3
2.607e+5, 1.449e+0, 4.567e+0, 4.791e+0, 72.4
2.158e+5, 1.370e+0, 3.773e+0, 4.014e+0, 70.0
1.777e+5, 1.309e+0, 3.101e+0, 3.366e+0, 67.1
1.465e+5, 1.266e+0, 2.539e+0, 2.837e+0, 63.5
1.211e+5, 1.225e+0, 1.941e+0, 2.295e+0, 57.7
9.961e+4, 1.195e+0, 1.361e+0, 1.811e+0, 48.7
8.252e+4, 1.175e+0, 9.606e-1, 1.518e+0, 39.3
6.812e+4, 1.165e+0, 7.003e-1, 1.360e+0, 31.0
5.625e+4, 1.162e+0, 5.385e-1, 1.281e+0, 24.9
4.644e+4, 1.162e+0, 4.098e-1, 1.232e+0, 19.4
3.833e+4, 1.166e+0, 2.936e-1, 1.202e+0, 14.1
3.164e+4, 1.172e+0, 1.769e-1, 1.185e+0, 8.6
2.612e+4, 1.181e+0, 6.401e-2, 1.183e+0, 3.1
2.153e+4, 1.192e+0, -4.477e-2, 1.193e+0, -2.2
1.777e+4, 1.204e+0, -1.513e-1, 1.213e+0, -7.2
1.470e+4, 1.218e+0, -2.590e-1, 1.245e+0, -12.0
1.211e+4, 1.234e+0, -3.706e-1, 1.289e+0, -16.7
1.001e+4, 1.254e+0, -4.926e-1, 1.348e+0, -21.4
8.252e+3, 1.277e+0, -6.280e-1, 1.423e+0, -26.2
6.812e+3, 1.304e+0, -7.789e-1, 1.519e+0, -30.8
5.625e+3, 1.336e+0, -9.501e-1, 1.639e+0, -35.4
4.643e+3, 1.373e+0, -1.147e+0, 1.789e+0, -39.9
3.833e+3, 1.416e+0, -1.375e+0, 1.974e+0, -44.2
3.164e+3, 1.469e+0, -1.641e+0, 2.202e+0, -48.2
2.612e+3, 1.532e+0, -1.953e+0, 2.482e+0, -51.9
2.153e+3, 1.616e+0, -2.328e+0, 2.834e+0, -55.2
1.777e+3, 1.720e+0, -2.771e+0, 3.261e+0, -58.2
