June 13, 2026   02:32:43
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 1.107e+1, 1.348e+1, 1.744e+1, 50.6
6.816e+5, 1.063e+1, 1.084e+1, 1.518e+1, 45.6
5.625e+5, 9.960e+0, 8.998e+0, 1.342e+1, 42.1
4.639e+5, 9.751e+0, 7.313e+0, 1.219e+1, 36.9
3.828e+5, 9.572e+0, 6.091e+0, 1.135e+1, 32.5
3.164e+5, 9.514e+0, 5.037e+0, 1.076e+1, 27.9
2.607e+5, 9.420e+0, 4.203e+0, 1.032e+1, 24.0
2.158e+5, 9.354e+0, 3.471e+0, 9.977e+0, 20.4
1.777e+5, 9.317e+0, 2.823e+0, 9.735e+0, 16.9
1.465e+5, 9.293e+0, 2.279e+0, 9.568e+0, 13.8
1.211e+5, 9.252e+0, 1.859e+0, 9.437e+0, 11.4
9.961e+4, 9.229e+0, 1.513e+0, 9.352e+0, 9.3
8.252e+4, 9.219e+0, 1.227e+0, 9.300e+0, 7.6
6.812e+4, 9.222e+0, 9.704e-1, 9.273e+0, 6.0
5.625e+4, 9.226e+0, 7.353e-1, 9.255e+0, 4.6
4.644e+4, 9.233e+0, 5.138e-1, 9.248e+0, 3.2
3.833e+4, 9.246e+0, 3.170e-1, 9.251e+0, 2.0
3.164e+4, 9.259e+0, 1.400e-1, 9.260e+0, 0.9
2.612e+4, 9.278e+0, -1.596e-2, 9.278e+0, -0.1
2.153e+4, 9.303e+0, -1.679e-1, 9.305e+0, -1.0
1.777e+4, 9.331e+0, -3.282e-1, 9.337e+0, -2.0
1.470e+4, 9.358e+0, -4.935e-1, 9.371e+0, -3.0
1.211e+4, 9.390e+0, -6.739e-1, 9.414e+0, -4.1
1.001e+4, 9.433e+0, -8.694e-1, 9.473e+0, -5.3
8.252e+3, 9.482e+0, -1.084e+0, 9.543e+0, -6.5
6.812e+3, 9.537e+0, -1.325e+0, 9.628e+0, -7.9
5.625e+3, 9.599e+0, -1.601e+0, 9.732e+0, -9.5
4.643e+3, 9.672e+0, -1.921e+0, 9.861e+0, -11.2
3.833e+3, 9.757e+0, -2.292e+0, 1.002e+1, -13.2
3.164e+3, 9.858e+0, -2.722e+0, 1.023e+1, -15.4
2.612e+3, 9.977e+0, -3.227e+0, 1.049e+1, -17.9
2.153e+3, 1.011e+1, -3.821e+0, 1.081e+1, -20.7
1.777e+3, 1.027e+1, -4.516e+0, 1.122e+1, -23.7
1.470e+3, 1.046e+1, -5.335e+0, 1.174e+1, -27.0
1.211e+3, 1.067e+1, -6.297e+0, 1.239e+1, -30.5
1.001e+3, 1.092e+1, -7.425e+0, 1.321e+1, -34.2
8.252e+2, 1.121e+1, -8.747e+0, 1.422e+1, -38.0
6.836e+2, 1.155e+1, -1.032e+1, 1.549e+1, -41.8
5.615e+2, 1.195e+1, -1.219e+1, 1.707e+1, -45.6
4.639e+2, 1.242e+1, -1.441e+1, 1.902e+1, -49.2
3.809e+2, 1.300e+1, -1.703e+1, 2.142e+1, -52.6
3.174e+2, 1.371e+1, -2.016e+1, 2.438e+1, -55.8
2.588e+2, 1.455e+1, -2.387e+1, 2.795e+1, -58.6
2.148e+2, 1.556e+1, -2.826e+1, 3.226e+1, -61.2
1.758e+2, 1.674e+1, -3.339e+1, 3.735e+1, -63.4
1.465e+2, 1.812e+1, -3.923e+1, 4.321e+1, -65.2
1.221e+2, 1.986e+1, -4.640e+1, 5.047e+1, -66.8
9.766e+1, 2.205e+1, -5.469e+1, 5.896e+1, -68.0
8.254e+1, 2.461e+1, -6.405e+1, 6.861e+1, -69.0
6.813e+1, 2.751e+1, -7.521e+1, 8.009e+1, -69.9
5.623e+1, 3.077e+1, -8.840e+1, 9.360e+1, -70.8
4.642e+1, 3.448e+1, -1.040e+2, 1.096e+2, -71.7
3.831e+1, 3.881e+1, -1.225e+2, 1.285e+2, -72.4
3.162e+1, 4.382e+1, -1.443e+2, 1.508e+2, -73.1
2.610e+1, 4.963e+1, -1.700e+2, 1.771e+2, -73.7
2.154e+1, 5.636e+1, -2.002e+2, 2.079e+2, -74.3
1.778e+1, 6.421e+1, -2.359e+2, 2.445e+2, -74.8
1.468e+1, 7.328e+1, -2.782e+2, 2.877e+2, -75.2
1.212e+1, 8.366e+1, -3.280e+2, 3.385e+2, -75.7
1.000e+1, 9.599e+1, -3.869e+2, 3.986e+2, -76.1
8.254e+0, 1.103e+2, -4.567e+2, 4.698e+2, -76.4
6.813e+0, 1.263e+2, -5.394e+2, 5.539e+2, -76.8
5.623e+0, 1.443e+2, -6.374e+2, 6.535e+2, -77.2
4.642e+0, 1.642e+2, -7.544e+2, 7.720e+2, -77.7
3.831e+0, 1.869e+2, -8.930e+2, 9.123e+2, -78.2
3.162e+0, 2.127e+2, -1.059e+3, 1.080e+3, -78.6
2.610e+0, 2.415e+2, -1.258e+3, 1.281e+3, -79.1
2.154e+0, 2.693e+2, -1.499e+3, 1.523e+3, -79.8
1.778e+0, 2.987e+2, -1.791e+3, 1.816e+3, -80.5
1.468e+0, 3.372e+2, -2.130e+3, 2.157e+3, -81.0
1.212e+0, 3.869e+2, -2.527e+3, 2.556e+3, -81.3
1.000e+0, 4.514e+2, -2.995e+3, 3.029e+3, -81.4
8.254e-1, 5.271e+2, -3.547e+3, 3.586e+3, -81.5
6.813e-1, 6.098e+2, -4.205e+3, 4.249e+3, -81.7
5.623e-1, 7.043e+2, -4.990e+3, 5.040e+3, -82.0
4.642e-1, 8.153e+2, -5.927e+3, 5.983e+3, -82.2
