June 12, 2026   23:55:26
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 5.968e+0, 1.404e+1, 1.525e+1, 67.0
6.816e+5, 5.448e+0, 1.139e+1, 1.263e+1, 64.4
5.625e+5, 4.819e+0, 9.424e+0, 1.058e+1, 62.9
4.639e+5, 4.566e+0, 7.727e+0, 8.975e+0, 59.4
3.828e+5, 4.358e+0, 6.438e+0, 7.775e+0, 55.9
3.164e+5, 4.265e+0, 5.337e+0, 6.832e+0, 51.4
2.607e+5, 4.168e+0, 4.442e+0, 6.091e+0, 46.8
2.158e+5, 4.098e+0, 3.675e+0, 5.505e+0, 41.9
1.777e+5, 4.038e+0, 3.014e+0, 5.039e+0, 36.7
1.465e+5, 3.997e+0, 2.456e+0, 4.691e+0, 31.6
1.211e+5, 3.957e+0, 2.007e+0, 4.436e+0, 26.9
9.961e+4, 3.932e+0, 1.632e+0, 4.257e+0, 22.5
8.252e+4, 3.915e+0, 1.322e+0, 4.132e+0, 18.7
6.812e+4, 3.910e+0, 1.055e+0, 4.050e+0, 15.1
5.625e+4, 3.906e+0, 8.267e-1, 3.993e+0, 11.9
4.644e+4, 3.907e+0, 6.258e-1, 3.957e+0, 9.1
3.833e+4, 3.914e+0, 4.415e-1, 3.938e+0, 6.4
3.164e+4, 3.921e+0, 2.735e-1, 3.931e+0, 4.0
2.612e+4, 3.933e+0, 1.213e-1, 3.935e+0, 1.8
2.153e+4, 3.946e+0, -1.644e-2, 3.946e+0, -0.2
1.777e+4, 3.960e+0, -1.481e-1, 3.963e+0, -2.1
1.470e+4, 3.981e+0, -2.852e-1, 3.992e+0, -4.1
1.211e+4, 4.005e+0, -4.272e-1, 4.028e+0, -6.1
1.001e+4, 4.031e+0, -5.781e-1, 4.072e+0, -8.2
8.252e+3, 4.061e+0, -7.423e-1, 4.129e+0, -10.4
6.812e+3, 4.096e+0, -9.259e-1, 4.200e+0, -12.7
5.625e+3, 4.139e+0, -1.134e+0, 4.291e+0, -15.3
4.643e+3, 4.188e+0, -1.373e+0, 4.407e+0, -18.2
3.833e+3, 4.244e+0, -1.649e+0, 4.554e+0, -21.2
3.164e+3, 4.310e+0, -1.970e+0, 4.738e+0, -24.6
2.612e+3, 4.386e+0, -2.344e+0, 4.973e+0, -28.1
2.153e+3, 4.476e+0, -2.784e+0, 5.271e+0, -31.9
1.777e+3, 4.583e+0, -3.301e+0, 5.648e+0, -35.8
1.470e+3, 4.711e+0, -3.911e+0, 6.123e+0, -39.7
1.211e+3, 4.865e+0, -4.632e+0, 6.717e+0, -43.6
1.001e+3, 5.050e+0, -5.479e+0, 7.451e+0, -47.3
8.252e+2, 5.272e+0, -6.473e+0, 8.348e+0, -50.8
6.836e+2, 5.539e+0, -7.652e+0, 9.447e+0, -54.1
5.615e+2, 5.863e+0, -9.048e+0, 1.078e+1, -57.1
4.639e+2, 6.252e+0, -1.070e+1, 1.239e+1, -59.7
3.809e+2, 6.709e+0, -1.261e+1, 1.428e+1, -62.0
