June 14, 2026   04:30:08
A.C. Impedance
File: e:\chi_data\6.13Data Source:  Experiment
Instrument Model:  CHI660E
Ref. Electrode: 
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz	Z'/ohm	Z"/ohm	Z/ohm	Phase/deg

8.252e+5	3.330e+0	1.414e+1	1.453e+1	76.7
6.816e+5	2.781e+0	1.147e+1	1.181e+1	76.4
5.625e+5	2.206e+0	9.567e+0	9.818e+0	77.0
4.639e+5	1.935e+0	7.836e+0	8.071e+0	76.1
3.828e+5	1.737e+0	6.523e+0	6.750e+0	75.1
3.164e+5	1.628e+0	5.382e+0	5.622e+0	73.2
2.607e+5	1.524e+0	4.453e+0	4.706e+0	71.1
2.158e+5	1.452e+0	3.650e+0	3.929e+0	68.3
1.777e+5	1.407e+0	2.984e+0	3.299e+0	64.8
1.465e+5	1.378e+0	2.419e+0	2.784e+0	60.3
1.211e+5	1.348e+0	1.818e+0	2.264e+0	53.4
9.961e+4	1.328e+0	1.228e+0	1.809e+0	42.7
8.252e+4	1.320e+0	8.156e-1	1.552e+0	31.7
6.812e+4	1.325e+0	5.434e-1	1.432e+0	22.3
5.625e+4	1.338e+0	3.681e-1	1.388e+0	15.4
4.644e+4	1.357e+0	2.244e-1	1.375e+0	9.4
3.833e+4	1.380e+0	9.395e-2	1.383e+0	3.9
3.164e+4	1.407e+0	-3.565e-2	1.407e+0	-1.5
2.612e+4	1.437e+0	-1.650e-1	1.447e+0	-6.6
2.153e+4	1.472e+0	-2.939e-1	1.501e+0	-11.3
1.777e+4	1.509e+0	-4.237e-1	1.568e+0	-15.7
1.470e+4	1.550e+0	-5.571e-1	1.647e+0	-19.8
1.211e+4	1.594e+0	-6.951e-1	1.739e+0	-23.6
1.001e+4	1.641e+0	-8.456e-1	1.846e+0	-27.3
8.252e+3	1.692e+0	-1.013e+0	1.972e+0	-30.9
6.812e+3	1.748e+0	-1.202e+0	2.121e+0	-34.5
5.625e+3	1.809e+0	-1.418e+0	2.298e+0	-38.1
4.643e+3	1.877e+0	-1.668e+0	2.511e+0	-41.6
3.833e+3	1.962e+0	-1.961e+0	2.774e+0	-45.0
3.164e+3	2.062e+0	-2.309e+0	3.096e+0	-48.2
2.612e+3	2.169e+0	-2.721e+0	3.480e+0	-51.4
2.153e+3	2.286e+0	-3.208e+0	3.939e+0	-54.5
1.777e+3	2.414e+0	-3.781e+0	4.486e+0	-57.4
1.470e+3	2.562e+0	-4.457e+0	5.140e+0	-60.1
1.211e+3	2.733e+0	-5.254e+0	5.922e+0	-62.5
1.001e+3	2.936e+0	-6.198e+0	6.858e+0	-64.6
8.252e+2	3.177e+0	-7.312e+0	7.972e+0	-66.5
6.836e+2	3.462e+0	-8.640e+0	9.308e+0	-68.2
5.615e+2	3.801e+0	-1.022e+1	1.090e+1	-69.6
4.639e+2	4.209e+0	-1.210e+1	1.281e+1	-70.8
3.809e+2	4.697e+0	-1.429e+1	1.504e+1	-71.8
3.174e+2	5.289e+0	-1.689e+1	1.770e+1	-72.6
2.588e+2	6.025e+0	-1.998e+1	2.086e+1	-73.2
2.148e+2	6.939e+0	-2.366e+1	2.465e+1	-73.7
1.758e+2	8.032e+0	-2.794e+1	2.907e+1	-74.0
1.465e+2	9.310e+0	-3.279e+1	3.408e+1	-74.1
1.221e+2	1.095e+1	-3.870e+1	4.021e+1	-74.2
9.766e+1	1.301e+1	-4.550e+1	4.732e+1	-74.0
8.254e+1	1.543e+1	-5.313e+1	5.533e+1	-73.8
6.813e+1	1.818e+1	-6.211e+1	6.472e+1	-73.7
5.623e+1	2.127e+1	-7.259e+1	7.564e+1	-73.7
4.642e+1	2.481e+1	-8.490e+1	8.845e+1	-73.7
3.831e+1	2.883e+1	-9.928e+1	1.034e+2	-73.8
3.162e+1	3.331e+1	-1.160e+2	1.207e+2	-74.0
2.610e+1	3.836e+1	-1.358e+2	1.411e+2	-74.2
2.154e+1	4.407e+1	-1.592e+2	1.652e+2	-74.5
1.778e+1	5.042e+1	-1.869e+2	1.936e+2	-74.9
1.468e+1	5.751e+1	-2.196e+2	2.270e+2	-75.3
1.212e+1	6.542e+1	-2.583e+2	2.664e+2	-75.8
1.000e+1	7.463e+1	-3.042e+2	3.133e+2	-76.2
8.254e+0	8.523e+1	-3.591e+2	3.691e+2	-76.6
6.813e+0	9.711e+1	-4.247e+2	4.356e+2	-77.1
5.623e+0	1.105e+2	-5.028e+2	5.148e+2	-77.6
4.642e+0	1.257e+2	-5.958e+2	6.089e+2	-78.1
3.831e+0	1.436e+2	-7.064e+2	7.208e+2	-78.5
3.162e+0	1.642e+2	-8.392e+2	8.551e+2	-78.9
2.610e+0	1.890e+2	-9.980e+2	1.016e+3	-79.3
2.154e+0	2.146e+2	-1.191e+3	1.210e+3	-79.8
1.778e+0	2.424e+2	-1.424e+3	1.444e+3	-80.3
1.468e+0	2.788e+2	-1.699e+3	1.722e+3	-80.7
1.212e+0	3.279e+2	-2.017e+3	2.044e+3	-80.8
1.000e+0	3.927e+2	-2.384e+3	2.416e+3	-80.6
8.254e-1	4.716e+2	-2.815e+3	2.855e+3	-80.5
6.813e-1	5.619e+2	-3.325e+3	3.372e+3	-80.4
5.623e-1	6.677e+2	-3.933e+3	3.989e+3	-80.4
4.642e-1	7.925e+2	-4.653e+3	4.720e+3	-80.3
3.831e-1	9.413e+2	-5.505e+3	5.585e+3	-80.3
3.162e-1	1.119e+3	-6.514e+3	6.609e+3	-80.2
2.610e-1	1.332e+3	-7.703e+3	7.817e+3	-80.2
2.154e-1	1.583e+3	-9.105e+3	9.242e+3	-80.1
1.778e-1	1.872e+3	-1.075e+4	1.091e+4	-80.1
1.468e-1	2.199e+3	-1.265e+4	1.284e+4	-80.1
1.212e-1	2.616e+3	-1.496e+4	1.518e+4	-80.1
1.000e-1	3.144e+3	-1.773e+4	1.801e+4	-79.9
