June 14, 2026   05:06:19
A.C. Impedance
File: e:\chi_data\6.13Data Source:  Experiment
Instrument Model:  CHI660E
Ref. Electrode: 
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz	Z'/ohm	Z"/ohm	Z/ohm	Phase/deg

8.252e+5	3.429e+0	1.415e+1	1.456e+1	76.4
6.816e+5	2.798e+0	1.151e+1	1.185e+1	76.3
5.625e+5	2.302e+0	9.555e+0	9.829e+0	76.5
4.639e+5	2.006e+0	7.824e+0	8.077e+0	75.6
3.828e+5	1.822e+0	6.506e+0	6.756e+0	74.4
3.164e+5	1.701e+0	5.369e+0	5.633e+0	72.4
2.607e+5	1.602e+0	4.450e+0	4.729e+0	70.2
2.158e+5	1.529e+0	3.653e+0	3.960e+0	67.3
1.777e+5	1.487e+0	2.975e+0	3.326e+0	63.4
1.465e+5	1.461e+0	2.403e+0	2.813e+0	58.7
1.211e+5	1.434e+0	1.795e+0	2.298e+0	51.4
9.961e+4	1.414e+0	1.204e+0	1.857e+0	40.4
8.252e+4	1.406e+0	7.933e-1	1.614e+0	29.4
6.812e+4	1.412e+0	5.206e-1	1.505e+0	20.2
5.625e+4	1.427e+0	3.442e-1	1.468e+0	13.6
4.644e+4	1.448e+0	1.996e-1	1.461e+0	7.8
3.833e+4	1.475e+0	6.470e-2	1.476e+0	2.5
3.164e+4	1.507e+0	-7.094e-2	1.508e+0	-2.7
2.612e+4	1.542e+0	-2.045e-1	1.555e+0	-7.6
2.153e+4	1.581e+0	-3.354e-1	1.616e+0	-12.0
1.777e+4	1.622e+0	-4.646e-1	1.688e+0	-16.0
1.470e+4	1.667e+0	-5.990e-1	1.771e+0	-19.8
1.211e+4	1.715e+0	-7.427e-1	1.869e+0	-23.4
1.001e+4	1.767e+0	-8.997e-1	1.983e+0	-27.0
8.252e+3	1.824e+0	-1.073e+0	2.116e+0	-30.5
6.812e+3	1.886e+0	-1.266e+0	2.272e+0	-33.9
5.625e+3	1.955e+0	-1.488e+0	2.457e+0	-37.3
