June 13, 2026   23:51:28
A.C. Impedance
File: e:\chi_data\6.13Data Source:  Experiment
Instrument Model:  CHI660E
Ref. Electrode: 
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz	Z'/ohm	Z"/ohm	Z/ohm	Phase/deg

8.252e+5	3.205e+0	1.413e+1	1.449e+1	77.2
6.816e+5	2.503e+0	1.156e+1	1.183e+1	77.8
5.625e+5	1.927e+0	9.658e+0	9.849e+0	78.7
4.639e+5	1.629e+0	7.923e+0	8.089e+0	78.4
3.828e+5	1.439e+0	6.595e+0	6.750e+0	77.7
3.164e+5	1.325e+0	5.448e+0	5.607e+0	76.3
2.607e+5	1.228e+0	4.524e+0	4.687e+0	74.8
2.158e+5	1.154e+0	3.731e+0	3.905e+0	72.8
1.777e+5	1.099e+0	3.070e+0	3.261e+0	70.3
1.465e+5	1.060e+0	2.511e+0	2.725e+0	67.1
1.211e+5	1.021e+0	1.919e+0	2.174e+0	62.0
9.961e+4	9.939e-1	1.344e+0	1.672e+0	53.5
8.252e+4	9.763e-1	9.478e-1	1.361e+0	44.2
6.812e+4	9.686e-1	6.897e-1	1.189e+0	35.5
5.625e+4	9.661e-1	5.282e-1	1.101e+0	28.7
4.644e+4	9.677e-1	4.009e-1	1.047e+0	22.5
3.833e+4	9.732e-1	2.871e-1	1.015e+0	16.4
3.164e+4	9.819e-1	1.738e-1	9.971e-1	10.0
2.612e+4	9.925e-1	6.255e-2	9.945e-1	3.6
2.153e+4	1.005e+0	-4.457e-2	1.006e+0	-2.5
1.777e+4	1.020e+0	-1.470e-1	1.030e+0	-8.2
1.470e+4	1.036e+0	-2.504e-1	1.065e+0	-13.6
1.211e+4	1.053e+0	-3.572e-1	1.112e+0	-18.7
1.001e+4	1.073e+0	-4.732e-1	1.172e+0	-23.8
8.252e+3	1.097e+0	-6.026e-1	1.251e+0	-28.8
6.812e+3	1.124e+0	-7.472e-1	1.350e+0	-33.6
5.625e+3	1.156e+0	-9.111e-1	1.472e+0	-38.2
4.643e+3	1.194e+0	-1.099e+0	1.623e+0	-42.6
3.833e+3	1.238e+0	-1.316e+0	1.806e+0	-46.7
3.164e+3	1.290e+0	-1.568e+0	2.031e+0	-50.5
2.612e+3	1.354e+0	-1.864e+0	2.304e+0	-54.0
