June 14, 2026   23:02:09
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Ref. Electrode: 
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz	Z'/ohm	Z"/ohm	Z/ohm	Phase/deg

8.252e+5	8.943e+1	-9.206e+0	8.990e+1	-5.9
6.816e+5	9.124e+1	-1.069e+1	9.187e+1	-6.7
5.625e+5	9.214e+1	-9.203e+0	9.260e+1	-5.7
4.639e+5	9.430e+1	-9.319e+0	9.476e+1	-5.6
3.828e+5	9.596e+1	-8.256e+0	9.632e+1	-4.9
3.164e+5	9.753e+1	-7.653e+0	9.783e+1	-4.5
2.607e+5	9.858e+1	-6.748e+0	9.881e+1	-3.9
2.158e+5	9.944e+1	-6.126e+0	9.962e+1	-3.5
1.777e+5	1.001e+2	-5.840e+0	1.003e+2	-3.3
1.465e+5	1.008e+2	-5.642e+0	1.009e+2	-3.2
1.211e+5	1.011e+2	-3.936e+0	1.012e+2	-2.2
9.961e+4	1.014e+2	-1.729e+0	1.014e+2	-1.0
8.252e+4	1.018e+2	-6.100e-1	1.018e+2	-0.3
6.812e+4	1.022e+2	-5.335e-1	1.022e+2	-0.3
5.625e+4	1.025e+2	-1.121e+0	1.025e+2	-0.6
4.644e+4	1.030e+2	-1.958e+0	1.030e+2	-1.1
3.833e+4	1.035e+2	-2.821e+0	1.036e+2	-1.6
3.164e+4	1.040e+2	-3.599e+0	1.041e+2	-2.0
2.612e+4	1.045e+2	-4.318e+0	1.046e+2	-2.4
2.153e+4	1.051e+2	-5.088e+0	1.052e+2	-2.8
1.777e+4	1.057e+2	-5.940e+0	1.059e+2	-3.2
1.470e+4	1.064e+2	-6.803e+0	1.066e+2	-3.7
1.211e+4	1.072e+2	-7.769e+0	1.075e+2	-4.1
1.001e+4	1.082e+2	-8.911e+0	1.085e+2	-4.7
8.252e+3	1.092e+2	-1.018e+1	1.097e+2	-5.3
6.812e+3	1.104e+2	-1.152e+1	1.110e+2	-6.0
5.625e+3	1.118e+2	-1.296e+1	1.125e+2	-6.6
4.643e+3	1.132e+2	-1.455e+1	1.141e+2	-7.3
3.833e+3	1.148e+2	-1.628e+1	1.160e+2	-8.1
3.164e+3	1.166e+2	-1.815e+1	1.180e+2	-8.8
2.612e+3	1.186e+2	-2.023e+1	1.203e+2	-9.7
2.153e+3	1.207e+2	-2.250e+1	1.228e+2	-10.6
1.777e+3	1.231e+2	-2.497e+1	1.256e+2	-11.5
1.470e+3	1.257e+2	-2.772e+1	1.287e+2	-12.4
1.211e+3	1.285e+2	-3.079e+1	1.322e+2	-13.5
1.001e+3	1.315e+2	-3.406e+1	1.359e+2	-14.5
8.252e+2	1.347e+2	-3.760e+1	1.399e+2	-15.6
6.836e+2	1.382e+2	-4.171e+1	1.444e+2	-16.8
5.615e+2	1.421e+2	-4.646e+1	1.495e+2	-18.1
4.639e+2	1.463e+2	-5.195e+1	1.552e+2	-19.6
3.809e+2	1.508e+2	-5.814e+1	1.617e+2	-21.1
3.174e+2	1.558e+2	-6.521e+1	1.689e+2	-22.7
2.588e+2	1.611e+2	-7.327e+1	1.770e+2	-24.5
2.148e+2	1.670e+2	-8.247e+1	1.862e+2	-26.3
1.758e+2	1.734e+2	-9.292e+1	1.967e+2	-28.2
1.465e+2	1.804e+2	-1.047e+2	2.086e+2	-30.1
1.221e+2	1.888e+2	-1.188e+2	2.231e+2	-32.2
9.766e+1	1.982e+2	-1.345e+2	2.396e+2	-34.2
8.254e+1	2.083e+2	-1.520e+2	2.578e+2	-36.1
6.813e+1	2.190e+2	-1.729e+2	2.790e+2	-38.3
5.623e+1	2.302e+2	-1.976e+2	3.034e+2	-40.6
4.642e+1	2.424e+2	-2.267e+2	3.319e+2	-43.1
3.831e+1	2.559e+2	-2.609e+2	3.655e+2	-45.5
3.162e+1	2.710e+2	-3.008e+2	4.049e+2	-48.0
2.610e+1	2.875e+2	-3.475e+2	4.511e+2	-50.4
2.154e+1	3.057e+2	-4.023e+2	5.053e+2	-52.8
1.778e+1	3.259e+2	-4.666e+2	5.692e+2	-55.1
1.468e+1	3.482e+2	-5.427e+2	6.448e+2	-57.3
1.212e+1	3.728e+2	-6.328e+2	7.345e+2	-59.5
1.000e+1	4.012e+2	-7.397e+2	8.415e+2	-61.5
8.254e+0	4.331e+2	-8.674e+2	9.695e+2	-63.5
6.813e+0	4.685e+2	-1.019e+3	1.122e+3	-65.3
5.623e+0	5.080e+2	-1.200e+3	1.303e+3	-67.1
4.642e+0	5.524e+2	-1.416e+3	1.520e+3	-68.7
3.831e+0	6.036e+2	-1.670e+3	1.775e+3	-70.1
3.162e+0	6.624e+2	-1.972e+3	2.081e+3	-71.4
2.610e+0	7.313e+2	-2.331e+3	2.443e+3	-72.6
2.154e+0	8.034e+2	-2.777e+3	2.891e+3	-73.9
1.778e+0	8.825e+2	-3.313e+3	3.428e+3	-75.1
1.468e+0	9.838e+2	-3.923e+3	4.044e+3	-75.9
1.212e+0	1.115e+3	-4.622e+3	4.755e+3	-76.4
1.000e+0	1.288e+3	-5.437e+3	5.587e+3	-76.7
8.254e-1	1.499e+3	-6.390e+3	6.564e+3	-76.8
6.813e-1	1.748e+3	-7.500e+3	7.701e+3	-76.9
5.623e-1	2.042e+3	-8.812e+3	9.045e+3	-77.0
4.642e-1	2.391e+3	-1.036e+4	1.064e+4	-77.0
3.831e-1	2.814e+3	-1.220e+4	1.252e+4	-77.0
3.162e-1	3.338e+3	-1.435e+4	1.474e+4	-76.9
2.610e-1	3.983e+3	-1.688e+4	1.734e+4	-76.7
2.154e-1	4.774e+3	-1.983e+4	2.040e+4	-76.5
1.778e-1	5.732e+3	-2.328e+4	2.397e+4	-76.2
1.468e-1	6.890e+3	-2.729e+4	2.814e+4	-75.8
1.212e-1	8.292e+3	-3.196e+4	3.302e+4	-75.5
1.000e-1	9.946e+3	-3.732e+4	3.862e+4	-75.1
