June 16, 2026   04:10:58
A.C. Impedance
File: e:\chi_data\6.13Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 5.020e+0, 1.410e+1, 1.497e+1, 70.4
6.816e+5, 4.490e+0, 1.156e+1, 1.240e+1, 68.8
5.625e+5, 3.869e+0, 9.540e+0, 1.029e+1, 67.9
4.639e+5, 3.632e+0, 7.824e+0, 8.626e+0, 65.1
3.828e+5, 3.432e+0, 6.494e+0, 7.345e+0, 62.1
3.164e+5, 3.333e+0, 5.378e+0, 6.327e+0, 58.2
2.607e+5, 3.223e+0, 4.459e+0, 5.502e+0, 54.1
2.158e+5, 3.152e+0, 3.672e+0, 4.839e+0, 49.4
1.777e+5, 3.101e+0, 2.998e+0, 4.313e+0, 44.0
1.465e+5, 3.068e+0, 2.431e+0, 3.915e+0, 38.4
1.211e+5, 3.034e+0, 1.975e+0, 3.620e+0, 33.1
9.961e+4, 3.017e+0, 1.595e+0, 3.413e+0, 27.9
8.252e+4, 3.008e+0, 1.275e+0, 3.267e+0, 23.0
6.812e+4, 3.006e+0, 9.984e-1, 3.167e+0, 18.4
5.625e+4, 3.009e+0, 7.597e-1, 3.103e+0, 14.2
4.644e+4, 3.016e+0, 5.479e-1, 3.066e+0, 10.3
3.833e+4, 3.029e+0, 3.550e-1, 3.050e+0, 6.7
3.164e+4, 3.046e+0, 1.822e-1, 3.051e+0, 3.4
2.612e+4, 3.066e+0, 2.196e-2, 3.066e+0, 0.4
2.153e+4, 3.087e+0, -1.332e-1, 3.090e+0, -2.5
1.777e+4, 3.111e+0, -2.847e-1, 3.124e+0, -5.2
1.470e+4, 3.140e+0, -4.393e-1, 3.171e+0, -8.0
1.211e+4, 3.171e+0, -5.997e-1, 3.227e+0, -10.7
1.001e+4, 3.207e+0, -7.743e-1, 3.299e+0, -13.6
8.252e+3, 3.248e+0, -9.689e-1, 3.390e+0, -16.6
6.812e+3, 3.295e+0, -1.188e+0, 3.503e+0, -19.8
5.625e+3, 3.350e+0, -1.438e+0, 3.646e+0, -23.2
4.643e+3, 3.413e+0, -1.725e+0, 3.824e+0, -26.8
3.833e+3, 3.485e+0, -2.057e+0, 4.047e+0, -30.5
3.164e+3, 3.570e+0, -2.443e+0, 4.326e+0, -34.4
2.612e+3, 3.668e+0, -2.897e+0, 4.674e+0, -38.3
2.153e+3, 3.781e+0, -3.432e+0, 5.106e+0, -42.2
1.777e+3, 3.911e+0, -4.060e+0, 5.638e+0, -46.1
1.470e+3, 4.064e+0, -4.803e+0, 6.292e+0, -49.8
1.211e+3, 4.244e+0, -5.681e+0, 7.091e+0, -53.2
1.001e+3, 4.459e+0, -6.722e+0, 8.067e+0, -56.4
8.252e+2, 4.714e+0, -7.952e+0, 9.244e+0, -59.3
6.836e+2, 5.018e+0, -9.417e+0, 1.067e+1, -61.9
5.615e+2, 5.386e+0, -1.116e+1, 1.239e+1, -64.2
4.639e+2, 5.831e+0, -1.322e+1, 1.445e+1, -66.2
3.809e+2, 6.365e+0, -1.563e+1, 1.687e+1, -67.8
3.174e+2, 7.027e+0, -1.847e+1, 1.977e+1, -69.2
2.588e+2, 7.859e+0, -2.187e+1, 2.324e+1, -70.2
2.148e+2, 8.891e+0, -2.591e+1, 2.739e+1, -71.1
1.758e+2, 1.013e+1, -3.059e+1, 3.223e+1, -71.7
1.465e+2, 1.158e+1, -3.586e+1, 3.769e+1, -72.1
1.221e+2, 1.340e+1, -4.228e+1, 4.436e+1, -72.4
9.766e+1, 1.566e+1, -4.965e+1, 5.206e+1, -72.5
8.254e+1, 1.827e+1, -5.788e+1, 6.069e+1, -72.5
6.813e+1, 2.120e+1, -6.759e+1, 7.084e+1, -72.6
5.623e+1, 2.445e+1, -7.895e+1, 8.265e+1, -72.8
4.642e+1, 2.812e+1, -9.230e+1, 9.649e+1, -73.1
3.831e+1, 3.224e+1, -1.080e+2, 1.127e+2, -73.4
3.162e+1, 3.682e+1, -1.265e+2, 1.317e+2, -73.8
2.610e+1, 4.189e+1, -1.483e+2, 1.541e+2, -74.2
2.154e+1, 4.747e+1, -1.741e+2, 1.805e+2, -74.8
1.778e+1, 5.363e+1, -2.048e+2, 2.117e+2, -75.3
1.468e+1, 6.050e+1, -2.411e+2, 2.486e+2, -75.9
1.212e+1, 6.817e+1, -2.844e+2, 2.924e+2, -76.5
1.000e+1, 7.699e+1, -3.361e+2, 3.448e+2, -77.1
8.254e+0, 8.711e+1, -3.979e+2, 4.073e+2, -77.7
6.813e+0, 9.840e+1, -4.719e+2, 4.820e+2, -78.2
5.623e+0, 1.111e+2, -5.603e+2, 5.712e+2, -78.8
4.642e+0, 1.255e+2, -6.663e+2, 6.780e+2, -79.3
3.831e+0, 1.425e+2, -7.926e+2, 8.053e+2, -79.8
3.162e+0, 1.618e+2, -9.444e+2, 9.581e+2, -80.3
2.610e+0, 1.851e+2, -1.127e+3, 1.142e+3, -80.7
2.154e+0, 2.090e+2, -1.348e+3, 1.364e+3, -81.2
1.778e+0, 2.353e+2, -1.614e+3, 1.631e+3, -81.7
1.468e+0, 2.703e+2, -1.932e+3, 1.951e+3, -82.0
1.212e+0, 3.166e+2, -2.301e+3, 2.323e+3, -82.2
1.000e+0, 3.778e+2, -2.729e+3, 2.755e+3, -82.1
8.254e-1, 4.527e+2, -3.235e+3, 3.267e+3, -82.0
6.813e-1, 5.395e+2, -3.837e+3, 3.875e+3, -82.0
5.623e-1, 6.384e+2, -4.559e+3, 4.603e+3, -82.0
4.642e-1, 7.557e+2, -5.420e+3, 5.472e+3, -82.1
3.831e-1, 8.983e+2, -6.442e+3, 6.504e+3, -82.1
3.162e-1, 1.072e+3, -7.657e+3, 7.732e+3, -82.0
2.610e-1, 1.283e+3, -9.103e+3, 9.193e+3, -82.0
2.154e-1, 1.534e+3, -1.082e+4, 1.092e+4, -81.9
