June 16, 2026   03:17:57
A.C. Impedance
File: e:\chi_data\6.13Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 5.339e+0, 1.412e+1, 1.510e+1, 69.3
6.816e+5, 4.807e+0, 1.138e+1, 1.236e+1, 67.1
5.625e+5, 4.290e+0, 9.424e+0, 1.035e+1, 65.5
4.639e+5, 4.037e+0, 7.719e+0, 8.711e+0, 62.4
3.828e+5, 3.854e+0, 6.440e+0, 7.506e+0, 59.1
3.164e+5, 3.746e+0, 5.327e+0, 6.512e+0, 54.9
2.607e+5, 3.649e+0, 4.413e+0, 5.726e+0, 50.4
2.158e+5, 3.578e+0, 3.620e+0, 5.090e+0, 45.3
1.777e+5, 3.531e+0, 2.948e+0, 4.600e+0, 39.9
1.465e+5, 3.502e+0, 2.381e+0, 4.235e+0, 34.2
1.211e+5, 3.478e+0, 1.922e+0, 3.973e+0, 28.9
9.961e+4, 3.470e+0, 1.537e+0, 3.795e+0, 23.9
8.252e+4, 3.467e+0, 1.213e+0, 3.673e+0, 19.3
6.812e+4, 3.472e+0, 9.322e-1, 3.595e+0, 15.0
5.625e+4, 3.483e+0, 6.871e-1, 3.550e+0, 11.2
4.644e+4, 3.501e+0, 4.669e-1, 3.532e+0, 7.6
3.833e+4, 3.523e+0, 2.683e-1, 3.534e+0, 4.4
3.164e+4, 3.547e+0, 8.992e-2, 3.549e+0, 1.5
2.612e+4, 3.575e+0, -7.535e-2, 3.576e+0, -1.2
2.153e+4, 3.607e+0, -2.370e-1, 3.614e+0, -3.8
1.777e+4, 3.643e+0, -3.974e-1, 3.664e+0, -6.2
1.470e+4, 3.680e+0, -5.628e-1, 3.723e+0, -8.7
1.211e+4, 3.722e+0, -7.364e-1, 3.794e+0, -11.2
1.001e+4, 3.770e+0, -9.253e-1, 3.882e+0, -13.8
8.252e+3, 3.825e+0, -1.138e+0, 3.991e+0, -16.6
6.812e+3, 3.886e+0, -1.378e+0, 4.124e+0, -19.5
5.625e+3, 3.956e+0, -1.652e+0, 4.287e+0, -22.7
4.643e+3, 4.035e+0, -1.967e+0, 4.489e+0, -26.0
3.833e+3, 4.124e+0, -2.333e+0, 4.739e+0, -29.5
3.164e+3, 4.227e+0, -2.760e+0, 5.048e+0, -33.1
2.612e+3, 4.346e+0, -3.261e+0, 5.433e+0, -36.9
2.153e+3, 4.486e+0, -3.848e+0, 5.910e+0, -40.6
1.777e+3, 4.649e+0, -4.535e+0, 6.494e+0, -44.3
1.470e+3, 4.834e+0, -5.346e+0, 7.207e+0, -47.9
1.211e+3, 5.052e+0, -6.305e+0, 8.079e+0, -51.3
1.001e+3, 5.305e+0, -7.435e+0, 9.134e+0, -54.5
8.252e+2, 5.595e+0, -8.759e+0, 1.039e+1, -57.4
6.836e+2, 5.931e+0, -1.033e+1, 1.191e+1, -60.1
5.615e+2, 6.324e+0, -1.221e+1, 1.375e+1, -62.6
4.639e+2, 6.789e+0, -1.444e+1, 1.596e+1, -64.8
3.809e+2, 7.329e+0, -1.705e+1, 1.856e+1, -66.7
3.174e+2, 7.994e+0, -2.018e+1, 2.171e+1, -68.4
2.588e+2, 8.809e+0, -2.393e+1, 2.550e+1, -69.8
2.148e+2, 9.798e+0, -2.840e+1, 3.004e+1, -71.0
1.758e+2, 1.099e+1, -3.363e+1, 3.538e+1, -71.9
1.465e+2, 1.238e+1, -3.958e+1, 4.147e+1, -72.6
1.221e+2, 1.418e+1, -4.691e+1, 4.901e+1, -73.2
9.766e+1, 1.651e+1, -5.539e+1, 5.780e+1, -73.4
8.254e+1, 1.930e+1, -6.495e+1, 6.775e+1, -73.5
6.813e+1, 2.258e+1, -7.626e+1, 7.953e+1, -73.5
5.623e+1, 2.636e+1, -8.949e+1, 9.329e+1, -73.6
4.642e+1, 3.079e+1, -1.050e+2, 1.094e+2, -73.7
3.831e+1, 3.600e+1, -1.231e+2, 1.283e+2, -73.7
3.162e+1, 4.201e+1, -1.443e+2, 1.503e+2, -73.8
2.610e+1, 4.884e+1, -1.689e+2, 1.758e+2, -73.9
2.154e+1, 5.652e+1, -1.976e+2, 2.055e+2, -74.0
1.778e+1, 6.507e+1, -2.312e+2, 2.402e+2, -74.3
1.468e+1, 7.453e+1, -2.707e+2, 2.807e+2, -74.6
1.212e+1, 8.488e+1, -3.172e+2, 3.283e+2, -75.0
1.000e+1, 9.664e+1, -3.725e+2, 3.849e+2, -75.5
8.254e+0, 1.098e+2, -4.386e+2, 4.522e+2, -75.9
6.813e+0, 1.239e+2, -5.175e+2, 5.322e+2, -76.5
5.623e+0, 1.394e+2, -6.116e+2, 6.273e+2, -77.2
4.642e+0, 1.567e+2, -7.243e+2, 7.411e+2, -77.8
3.831e+0, 1.761e+2, -8.588e+2, 8.767e+2, -78.4
3.162e+0, 1.977e+2, -1.021e+3, 1.040e+3, -79.0
2.610e+0, 2.232e+2, -1.216e+3, 1.236e+3, -79.6
2.154e+0, 2.490e+2, -1.453e+3, 1.474e+3, -80.3
1.778e+0, 2.763e+2, -1.739e+3, 1.761e+3, -81.0
1.468e+0, 3.135e+2, -2.073e+3, 2.097e+3, -81.4
1.212e+0, 3.640e+2, -2.463e+3, 2.490e+3, -81.6
1.000e+0, 4.296e+2, -2.924e+3, 2.956e+3, -81.6
8.254e-1, 5.100e+2, -3.468e+3, 3.506e+3, -81.6
6.813e-1, 6.036e+2, -4.114e+3, 4.158e+3, -81.7
5.623e-1, 7.128e+2, -4.885e+3, 4.936e+3, -81.7
4.642e-1, 8.414e+2, -5.798e+3, 5.859e+3, -81.7
3.831e-1, 9.941e+2, -6.883e+3, 6.954e+3, -81.8
3.162e-1, 1.178e+3, -8.175e+3, 8.259e+3, -81.8
2.610e-1, 1.398e+3, -9.714e+3, 9.814e+3, -81.8
2.154e-1, 1.666e+3, -1.154e+4, 1.166e+4, -81.8
1.778e-1, 1.978e+3, -1.369e+4, 1.383e+4, -81.8
1.468e-1, 2.343e+3, -1.619e+4, 1.636e+4, -81.8
1.212e-1, 2.814e+3, -1.925e+4, 1.945e+4, -81.7
1.000e-1, 3.411e+3, -2.296e+4, 2.321e+4, -81.5
