June 16, 2026   00:10:34
A.C. Impedance
File: e:\chi_data\6.13Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 4.640e+0, 1.412e+1, 1.486e+1, 71.8
6.816e+5, 3.976e+0, 1.143e+1, 1.211e+1, 70.8
5.625e+5, 3.386e+0, 9.617e+0, 1.020e+1, 70.6
4.639e+5, 3.136e+0, 7.855e+0, 8.458e+0, 68.2
3.828e+5, 2.968e+0, 6.555e+0, 7.195e+0, 65.6
3.164e+5, 2.874e+0, 5.402e+0, 6.119e+0, 62.0
2.607e+5, 2.771e+0, 4.495e+0, 5.280e+0, 58.3
2.158e+5, 2.686e+0, 3.703e+0, 4.574e+0, 54.0
1.777e+5, 2.632e+0, 3.039e+0, 4.020e+0, 49.1
1.465e+5, 2.596e+0, 2.476e+0, 3.588e+0, 43.6
1.211e+5, 2.562e+0, 2.023e+0, 3.264e+0, 38.3
9.961e+4, 2.540e+0, 1.646e+0, 3.027e+0, 32.9
8.252e+4, 2.525e+0, 1.336e+0, 2.856e+0, 27.9
6.812e+4, 2.518e+0, 1.070e+0, 2.736e+0, 23.0
5.625e+4, 2.519e+0, 8.395e-1, 2.655e+0, 18.4
4.644e+4, 2.523e+0, 6.375e-1, 2.603e+0, 14.2
3.833e+4, 2.529e+0, 4.617e-1, 2.571e+0, 10.3
3.164e+4, 2.536e+0, 3.060e-1, 2.555e+0, 6.9
2.612e+4, 2.546e+0, 1.642e-1, 2.552e+0, 3.7
2.153e+4, 2.558e+0, 3.191e-2, 2.558e+0, 0.7
1.777e+4, 2.570e+0, -9.599e-2, 2.571e+0, -2.1
1.470e+4, 2.584e+0, -2.246e-1, 2.594e+0, -5.0
1.211e+4, 2.602e+0, -3.585e-1, 2.627e+0, -7.8
1.001e+4, 2.623e+0, -5.003e-1, 2.670e+0, -10.8
8.252e+3, 2.647e+0, -6.543e-1, 2.727e+0, -13.9
6.812e+3, 2.677e+0, -8.250e-1, 2.801e+0, -17.1
5.625e+3, 2.712e+0, -1.018e+0, 2.897e+0, -20.6
4.643e+3, 2.754e+0, -1.240e+0, 3.020e+0, -24.2
3.833e+3, 2.805e+0, -1.497e+0, 3.179e+0, -28.1
3.164e+3, 2.866e+0, -1.795e+0, 3.381e+0, -32.1
2.612e+3, 2.939e+0, -2.142e+0, 3.637e+0, -36.1
2.153e+3, 3.029e+0, -2.549e+0, 3.959e+0, -40.1
1.777e+3, 3.140e+0, -3.026e+0, 4.361e+0, -43.9
1.470e+3, 3.276e+0, -3.585e+0, 4.857e+0, -47.6
1.211e+3, 3.439e+0, -4.239e+0, 5.459e+0, -50.9
1.001e+3, 3.638e+0, -5.000e+0, 6.184e+0, -54.0
8.252e+2, 3.877e+0, -5.884e+0, 7.046e+0, -56.6
6.836e+2, 4.164e+0, -6.921e+0, 8.077e+0, -59.0
5.615e+2, 4.504e+0, -8.135e+0, 9.299e+0, -61.0
4.639e+2, 4.903e+0, -9.556e+0, 1.074e+1, -62.8
3.809e+2, 5.357e+0, -1.119e+1, 1.240e+1, -64.4
3.174e+2, 5.876e+0, -1.310e+1, 1.436e+1, -65.8
2.588e+2, 6.459e+0, -1.534e+1, 1.664e+1, -67.2
2.148e+2, 7.114e+0, -1.796e+1, 1.932e+1, -68.4
1.758e+2, 7.853e+0, -2.106e+1, 2.248e+1, -69.6
1.465e+2, 8.654e+0, -2.463e+1, 2.611e+1, -70.6
1.221e+2, 9.583e+0, -2.905e+1, 3.059e+1, -71.7
9.766e+1, 1.069e+1, -3.421e+1, 3.585e+1, -72.7
8.254e+1, 1.191e+1, -4.015e+1, 4.188e+1, -73.5
6.813e+1, 1.322e+1, -4.730e+1, 4.912e+1, -74.4
5.623e+1, 1.462e+1, -5.585e+1, 5.774e+1, -75.3
4.642e+1, 1.622e+1, -6.614e+1, 6.810e+1, -76.2
3.831e+1, 1.808e+1, -7.849e+1, 8.055e+1, -77.0
3.162e+1, 2.024e+1, -9.323e+1, 9.540e+1, -77.7
2.610e+1, 2.275e+1, -1.108e+2, 1.131e+2, -78.4
2.154e+1, 2.570e+1, -1.318e+2, 1.343e+2, -79.0
1.778e+1, 2.915e+1, -1.570e+2, 1.596e+2, -79.5
1.468e+1, 3.318e+1, -1.870e+2, 1.899e+2, -79.9
1.212e+1, 3.800e+1, -2.228e+2, 2.260e+2, -80.3
1.000e+1, 4.396e+1, -2.654e+2, 2.690e+2, -80.6
8.254e+0, 5.110e+1, -3.163e+2, 3.204e+2, -80.8
6.813e+0, 5.932e+1, -3.770e+2, 3.816e+2, -81.1
5.623e+0, 6.873e+1, -4.494e+2, 4.546e+2, -81.3
4.642e+0, 7.952e+1, -5.360e+2, 5.418e+2, -81.6
3.831e+0, 9.238e+1, -6.393e+2, 6.459e+2, -81.8
3.162e+0, 1.074e+2, -7.635e+2, 7.710e+2, -82.0
2.610e+0, 1.253e+2, -9.128e+2, 9.213e+2, -82.2
2.154e+0, 1.441e+2, -1.093e+3, 1.102e+3, -82.5
1.778e+0, 1.647e+2, -1.309e+3, 1.320e+3, -82.8
1.468e+0, 1.931e+2, -1.569e+3, 1.581e+3, -83.0
1.212e+0, 2.314e+2, -1.882e+3, 1.897e+3, -83.0
1.000e+0, 2.842e+2, -2.243e+3, 2.261e+3, -82.8
8.254e-1, 3.523e+2, -2.658e+3, 2.681e+3, -82.5
6.813e-1, 4.325e+2, -3.152e+3, 3.182e+3, -82.2
5.623e-1, 5.291e+2, -3.744e+3, 3.781e+3, -82.0
