sample_id,R,N,n_points,best_model,arrhenius_aic,piecewise_arrhenius_aic,vtf_aic,delta_aic_arrhenius_vs_piecewise,delta_aic_arrhenius_vs_vtf,ea_single_eV,ea_high_eV,ea_low_eV,t_break_K,fit_quality_flag
S8-2-1-1,1.0408163265306123,4.656000000000001,13,VTF,1.0668100675283234,-20.151450110090195,-54.6129749880348,21.218260177618518,55.67978505556312,0.40976177158028615,0.2373800901381144,0.8484239002057701,233.15,ok
S8-2-1-2,1.0408163265306123,4.656000000000001,13,VTF,-1.5165311995899045,-24.746672214667328,-55.19986625766056,23.23014101507742,53.683335058070654,0.3899799168277823,0.22520137136724375,0.779537413965461,233.15,ok
S8-2-2-1,1.040816326530612,4.1386666666666665,12,VTF,-2.097063379975599,-6.3064886243998695,-6.655852633801576,4.209425244424271,4.558789253825977,0.3139829100831941,0.5173237294456066,0.47398374188908565,266.15,low_r2_single
S8-2-2-2,1.040816326530612,4.1386666666666665,11,VTF,-7.677531134861223,-21.887075494033706,-53.044599598493654,14.209544359172483,45.367068463632435,0.4239524414304248,0.2584257157465508,0.7232734743643132,250.15,ok
S8-3-1-1,0.3865699438677833,3.892,11,VTF,-0.28913590952981405,-7.328522598337714,-22.1489274739006,7.0393866888079,21.859791564370784,0.3768685650050093,0.2472710951176114,0.7380019358229122,224.15,ok
S8-3-1-2,0.3865699438677833,3.892,30,VTF,-54.4141275710501,-111.78008535258435,-169.49932902338483,57.36595778153425,115.08520145233473,0.3502876055158288,0.2392419630295509,0.5860143854862323,245.15,ok
S8-3-10-1,0.458644786705142,4.926666666666667,38,VTF,-23.84711718818904,-113.12230802819835,-181.01944136024488,89.27519084000932,157.17232417205585,0.3452484141905504,0.1999488742265126,0.679578816227188,227.15,ok
S8-3-11-1,0.3079344114331621,4.492933333333334,94,VTF,-138.83435067585268,-361.7114562608176,-523.3383294324192,222.87710558496494,384.50397875656654,0.5324106993208181,0.39973366538905053,0.847276830900301,243.15,ok
S8-3-11-2,0.3079344114331621,4.492933333333334,40,VTF,-24.91274931605139,-121.62130652815955,-171.40027782277727,96.70855721210816,146.48752850672588,0.31604308873927867,0.1763904584682818,0.6125575020642409,224.15,ok
S8-3-2-1,0.2941272648899327,4.2860000000000005,31,VTF,-45.52779077780595,-117.13781053492126,-160.9162667466879,71.61001975711531,115.38847596888196,0.44402311983441234,0.32034891733808524,0.7339070965608697,242.15,ok
S8-3-2-2,0.2941272648899327,4.2860000000000005,13,VTF,-52.19863623101785,-71.38138691865137,-81.64046682732618,19.182750687633522,29.44183059630833,0.2964520629332252,0.21319341724007573,0.39014800614864503,257.15,ok
S8-3-2-3,0.2941272648899327,4.2860000000000005,13,VTF,-2.7262686097006332,-22.90504421775531,-61.80817393943213,20.17877560805468,59.0819053297315,0.30606349834551816,0.16292813038309054,0.67775269874213,231.15,ok
S8-3-2-4,0.2941272648899327,4.2860000000000005,12,VTF,-5.022064372811168,-23.16497668954686,-57.20032827344305,18.142912316735693,52.17826390063188,0.3834888501336912,0.2298311977784332,0.7424802796589337,242.15,ok
S8-3-2-5,0.2941272648899327,4.2860000000000005,13,VTF,0.8852197457527049,-24.33514133126362,-65.76657280957501,25.220361077016324,66.65179255532772,0.4004113566248658,0.22301626973001673,0.8214204532142793,233.15,ok
S8-3-20-1-1,0.4079387858179356,4.591600000000001,38,VTF,-26.307836254603238,-122.18952114403771,-156.35639362075003,95.88168488943447,130.04855736614678,0.36050491973727555,0.20811663917919,0.6633885872105584,230.15,ok
S8-3-21-1-1,0.5511248511687172,4.690266666666666,35,VTF,-27.95758447803778,-115.14796515651079,-176.64316513881397,87.19038067847302,148.6855806607762,0.42186690457847703,0.2761234991541386,0.7673288632678004,233.15,ok
S8-3-22-1-1,0.2040451455952585,4.344933333333333,35,VTF,-33.18660882609405,-116.86161950024751,-198.671212728526,83.67501067415347,165.48460390243196,0.41417678414701714,0.2680976981091863,0.7056872464408444,236.15,ok
S8-3-23-2-1,0.1521902146952619,3.881733333333334,28,VTF,-38.49562925044699,-113.83909345684958,-147.73665370090166,75.34346420640259,109.24102445045466,0.5299488107954338,0.3656632964705978,0.7822294628354729,251.15,ok
S8-3-25-1-1,1.0408163265306123,5.173333333333333,32,VTF,-36.790571733422105,-115.47166909696594,-166.23470974423444,78.68109736354384,129.44413801081234,0.45522536493031734,0.30665501631210784,0.7566739143636527,241.15,ok
S8-3-27-1-1,0.0,2.7580000000000005,11,VTF,-66.66937664481756,-74.95335962603515,-91.1110858207083,8.28398298121759,24.441709175890736,0.15776408003357362,0.10623251965657698,0.2158436169483244,286.15,ok
S8-3-28-1-1,0.0641214250069669,3.3986666666666667,31,Piecewise,-11.570950541684937,-129.57312103695807,-58.90714508987752,118.00217049527313,47.33619454819258,0.5334704971751095,0.10777746634031878,0.7949887317212093,260.15,ok
S8-3-29-1-1,0.0,1.182,11,VTF,-69.82512734699,-75.97417459690848,-83.73136716302643,6.149047249918482,13.906239816036432,0.19421082920734853,0.16523964601933477,0.2594332891120393,281.15,ok
S8-3-3-1,0.1712623980890066,3.645333333333333,13,VTF,-5.878549687380139,-23.875582066918888,-56.08877524977827,17.997032379538748,50.210225562398136,0.32666432071306023,0.19106934086608676,0.6476610583872097,233.15,ok
S8-3-31-1-1,0.3340714749983821,4.9068,39,VTF,-21.37299516199944,-113.1842766349809,-180.44034953110048,91.81128147298146,159.06735436910105,0.3472794009544497,0.1961949528078576,0.6621277630828908,227.15,ok
S8-3-32-1-1,0.3584084621201487,5.320666666666667,37,VTF,-19.74622375814866,-104.99865869939471,-157.70535724523404,85.25243494124605,137.95913348708538,0.3696057062952255,0.20724355750080625,0.7196444492015815,230.15,ok
S8-3-33-1-1,0.0641214250069669,4.418266666666667,37,VTF,-25.163981764986318,-101.47585869173393,-104.93813337706261,76.31187692674762,79.7741516120763,0.41511670209027857,0.135029037375524,0.5771047343553057,252.15,ok
S8-3-35-1-1,0.2996777658431794,4.0,29,VTF,-44.888645326153686,-121.43074035729485,-155.19884765423402,76.54209503114117,110.31020232808032,0.49131832355283045,0.35238623737832653,0.756439339450523,248.15,ok
S8-3-37-1-1,0.2996777658431794,4.888888888888889,13,VTF,-60.67893287252848,-76.53774282038215,-91.77835146695085,15.858809947853672,31.099418594422374,0.3641314323294216,0.31755939424231777,0.4965055521981622,245.15,ok
S8-3-38-1-1,0.2996777658431793,5.555555555555555,39,VTF,-14.65793356953373,-114.70563789040924,-142.29840125418028,100.04770432087551,127.64046768464655,0.34591510339466996,0.17952307785688343,0.6874817873004477,227.15,ok
S8-3-4-1,0.0641214250069669,3.3986666666666667,7,VTF,-3.0811232564336173,,-31.37851046409059,,28.29738720765697,0.5903370135632503,,,,ok
S8-3-5-1,0.6367153877711904,4.532666666666667,13,VTF,-1.29088398310891,-22.91869534835076,-54.82198290215279,21.62781136524185,53.53109891904388,0.38472945930537117,0.22133803363094576,0.7790601412620676,233.15,ok
S8-3-6-1,0.3797497505181546,4.566933333333333,19,VTF,-17.464395739972918,-48.65442820267277,-86.25557170743049,31.19003246269985,68.79117596745758,0.33340883102265406,0.2101788699112061,0.5877864652810041,233.15,ok
S8-3-6-2,0.3797497505181546,4.566933333333333,35,VTF,-35.0486946760802,-121.31928541865587,-180.16736980429616,86.27059074257566,145.11867512821595,0.3972619069347558,0.26209929002059873,0.7029813542331926,234.15,ok
S8-3-6-3,0.3797497505181546,4.566933333333333,14,VTF,-1.4313843572122051,-21.8642949501613,-54.258126703723065,20.432910592949096,52.82674234651086,0.3275586526287468,0.1920152385151936,0.6976091868138743,224.15,ok
S8-3-7-1,0.3865699438677832,5.838000000000001,37,VTF,-33.40081712373756,-118.16032918714575,-188.9506056980068,84.75951206340818,155.54978857426923,0.3730835754371505,0.25021531313519474,0.6920808645876507,228.15,ok
S8-3-7-2,0.3865699438677832,5.838000000000001,13,VTF,-10.078437444051756,-31.351281671592687,-55.532730100240904,21.27284422754093,45.454292656189146,0.3123630961872425,0.1877419316251784,0.5671495191787147,233.15,ok
S8-3-8-2,0.3865699438677832,7.005600000000001,38,VTF,7.462901334727936,-81.6053323934009,-124.87152294199616,89.06823372812883,132.3344242767241,0.44021835555662714,0.22446834072633962,0.9121946058799781,227.15,ok
S8-3-9-2,0.2941272648899327,4.2860000000000005,35,VTF,-38.359106262728616,-124.978792182634,-172.378930087888,86.61968591990538,134.0198238251594,0.3820116789794882,0.24478786276707673,0.6596232652725681,236.15,ok
S8-3-9-3,0.2941272648899327,4.2860000000000005,40,VTF,-24.39939711620837,-121.10037459376599,-173.64491970150422,96.70097747755761,149.24552258529584,0.3117647775112827,0.16119091800679505,0.5918163352153791,227.15,ok
S8-3-9-4,0.2941272648899327,4.2860000000000005,8,VTF,-2.4530613579559994,-1.7386667093554617,-30.484412467870612,-0.7143946486005377,28.031351109914613,0.29087705976974687,0.1038805029793275,0.45434239692051276,258.15,ok
