row_id,sample_id,valid_sigma,valid_temperature,valid_geometry,valid_eis,flags
0,S8-2-1-1,True,True,True,True,[]
1,S8-2-1-1,True,True,True,True,[]
2,S8-2-1-1,True,True,True,True,[]
3,S8-2-1-1,True,True,True,True,[]
4,S8-2-1-1,True,True,True,True,[]
5,S8-2-1-1,True,True,True,True,[]
6,S8-2-1-1,True,True,True,True,[]
7,S8-2-1-1,True,True,True,True,[]
8,S8-2-1-1,True,True,True,True,[]
9,S8-2-1-1,True,True,True,True,[]
10,S8-2-1-1,True,True,True,True,[]
11,S8-2-1-1,True,True,True,True,[]
12,S8-2-1-1,True,True,True,True,[]
13,S8-2-1-2,True,True,True,True,[]
14,S8-2-1-2,True,True,True,True,[]
15,S8-2-1-2,True,True,True,True,[]
16,S8-2-1-2,True,True,True,True,[]
17,S8-2-1-2,True,True,True,True,[]
18,S8-2-1-2,True,True,True,True,[]
19,S8-2-1-2,True,True,True,True,[]
20,S8-2-1-2,True,True,True,True,[]
21,S8-2-1-2,True,True,True,True,[]
22,S8-2-1-2,True,True,True,True,[]
23,S8-2-1-2,True,True,True,True,[]
24,S8-2-1-2,True,True,True,True,[]
25,S8-2-1-2,True,True,True,True,[]
26,S8-2-2-1,True,True,True,True,[]
27,S8-2-2-1,True,True,True,True,[]
28,S8-2-2-1,True,True,True,True,[]
29,S8-2-2-1,True,True,True,True,[]
30,S8-2-2-1,True,True,True,True,[]
31,S8-2-2-1,True,True,True,True,[]
32,S8-2-2-1,True,True,True,True,[]
33,S8-2-2-1,True,True,True,True,[]
34,S8-2-2-1,True,True,True,True,[]
35,S8-2-2-1,True,True,True,True,[]
36,S8-2-2-1,True,True,True,True,[]
37,S8-2-2-1,True,True,True,True,[]
38,S8-2-2-2,True,True,True,True,[]
39,S8-2-2-2,True,True,True,True,[]
40,S8-2-2-2,True,True,True,True,[]
41,S8-2-2-2,True,True,True,True,[]
42,S8-2-2-2,True,True,True,True,[]
43,S8-2-2-2,True,True,True,True,[]
44,S8-2-2-2,True,True,True,True,[]
45,S8-2-2-2,True,True,True,True,[]
46,S8-2-2-2,True,True,True,True,[]
47,S8-2-2-2,True,True,True,True,[]
48,S8-2-2-2,True,True,True,True,[]
49,S8-3-1-1,True,True,True,True,[]
50,S8-3-1-1,True,True,True,True,[]
51,S8-3-1-1,True,True,True,True,[]
52,S8-3-1-1,True,True,True,True,[]
53,S8-3-1-1,True,True,True,True,[]
54,S8-3-1-1,True,True,True,True,[]
55,S8-3-1-1,True,True,True,True,[]
56,S8-3-1-1,True,True,True,True,[]
57,S8-3-1-1,True,True,True,True,[]
58,S8-3-1-1,True,True,True,True,[]
59,S8-3-1-1,True,True,True,True,[]
60,S8-3-1-1,True,True,True,True,[]
61,S8-3-1-1,True,True,True,True,[]
62,S8-3-1-1,True,True,True,True,[]
63,S8-3-1-2,True,True,True,True,[]
64,S8-3-1-2,True,True,True,True,[]
65,S8-3-1-2,True,True,True,True,[]
66,S8-3-1-2,True,True,True,True,[]
67,S8-3-1-2,True,True,True,True,[]
68,S8-3-1-2,True,True,True,True,[]
69,S8-3-1-2,True,True,True,True,[]
70,S8-3-1-2,True,True,True,True,[]
71,S8-3-1-2,True,True,True,True,[]
72,S8-3-1-2,True,True,True,True,[]
73,S8-3-1-2,True,True,True,True,[]
74,S8-3-1-2,True,True,True,True,[]
75,S8-3-1-2,True,True,True,True,[]
76,S8-3-1-2,True,True,True,True,[]
77,S8-3-1-2,True,True,True,True,[]
