sample_id,R,N,n_temperature_points,temperature_min_K,temperature_max_K,sigma_299K_interp_S_cm,sigma_273K_interp_S_cm,sigma_253K_interp_S_cm,sigma_233K_interp_S_cm,sigma_213K_interp_S_cm,sigma_193K_interp_S_cm,max_sigma_S_cm,min_sigma_S_cm,best_arrhenius_ea_eV,best_arrhenius_ln_sigma0,best_arrhenius_r2,has_arc_visible,has_semicircle_visible,quality_flags
S8-2-1-1,1.0408163265306123,4.656000000000001,13,198.15,299.15,0.01310291757091559,0.009478091202943703,0.003943436622212001,0.0009762554172927482,9.347579329484784e-05,,0.0131120435714751,1.4339844005231452e-06,0.40976177158028615,12.696687454189286,0.8938993833322311,False,False,[]
S8-2-1-2,1.0408163265306123,4.656000000000001,13,199.15,299.15,0.010601321604801732,0.007761261096523371,0.0034198358431613363,0.0009068857275941868,7.88478568606109e-05,,0.0106107520067716,2.3567298010199856e-06,0.3899799168277823,11.639606507750623,0.9007837117852501,False,False,[]
S8-2-2-1,1.040816326530612,4.1386666666666665,12,208.15,299.15,0.01309620714856223,0.0017532314001709722,0.002481733709259967,0.0007681711190643621,4.167050930717047e-05,,0.0131447120902164,1.4610227043203676e-05,0.3139829100831941,7.71139367403499,0.8354183348262552,False,False,[]
S8-2-2-2,1.040816326530612,4.1386666666666665,11,216.15,299.15,0.009039259997273843,0.004861330990178366,0.0015753216493146311,0.0002767014631093188,,,0.0090559594988099,1.0276085009409766e-05,0.4239524414304248,12.49115402750795,0.9280977848732868,False,False,[]
S8-3-1-1,0.3865699438677833,3.892,11,190.15,273.15,,0.011241102978257308,0.0037276969665713928,0.001858512247285201,0.00045727184222079395,7.359517322503823e-06,0.0112862167435539,2.560851642823061e-06,0.3768685650050093,12.030279826832517,0.8913463206337368,False,False,[]
S8-3-1-2,0.3865699438677833,3.892,30,215.15,299.15,0.0092520599062246,0.0054901798843217196,0.0021024440127603095,0.00043615188567792604,,,0.0093684019482841,2.704138576205876e-05,0.3502876055158288,9.545963333720605,0.9416599001734315,False,False,[]
S8-3-10-1,0.458644786705142,4.926666666666667,38,193.15,299.15,0.016125815933819048,0.01122366149880254,0.006147115572189295,0.002056784947265568,0.0002536631575666333,,0.0161458652544399,2.793012425831964e-06,0.3452484141905504,10.265136391901505,0.9015115538638362,False,False,[]
S8-3-11-1,0.3079344114331621,4.492933333333334,94,208.15,299.15,0.005626882565241742,0.0018347861696688715,0.0004252421102702026,4.0975423017607874e-05,5.730190262177049e-07,,0.0056421041540423,1.3963941153635453e-07,0.5324106993208181,16.225463428318896,0.9576408903961128,True,True,[]
S8-3-11-2,0.3079344114331621,4.492933333333334,40,187.15,299.15,0.015383619735905293,0.011365965576523883,0.006887503195252594,0.002731265197022145,0.00047244859579435503,1.2617694598479662e-05,0.0153946151653633,2.7830982862242016e-06,0.31604308873927867,9.091728319234571,0.898560601110431,False,False,[]
S8-3-2-1,0.2941272648899327,4.2860000000000005,31,212.15,299.15,0.007151795148818701,0.0031696956006851663,0.0009552063140288892,0.00015197736558817998,4.065514398796784e-06,,0.007163016325867,3.504495311098133e-06,0.44402311983441234,12.995802741779203,0.9525620627980301,False,False,[]
S8-3-2-2,0.2941272648899327,4.2860000000000005,13,235.15,278.15,,8.492568524952259e-05,3.619730043283331e-05,,,,8.861780774706561e-05,9.246830412051611e-06,0.2964520629332252,3.250535553380683,0.9755954858023341,False,False,['missing_low_temperature_coverage']
S8-3-2-3,0.2941272648899327,4.2860000000000005,13,197.15,299.15,0.006352894747957854,0.004831288742419084,0.002896667342363543,0.0011235304823013974,0.00019558701672017128,,0.0063545496143895,5.0676186561782135e-06,0.30606349834551816,7.730931567876153,0.8669387016182297,True,True,[]
S8-3-2-4,0.2941272648899327,4.2860000000000005,12,207.15,299.15,0.009280036850232794,0.005678772407911781,0.0023468370220413137,0.0005774916842113747,2.687370201053704e-05,,0.0092912024491829,5.983113211726259e-06,0.3834888501336912,11.027020642324317,0.907942097692499,False,False,[]
S8-3-2-5,0.2941272648899327,4.2860000000000005,13,198.15,299.15,0.009474714246834517,0.0064464996993596774,0.00294243982481848,0.0008246542295538482,6.865573313857602e-05,,0.0094814333136811,1.2652252384988006e-06,0.4004113566248658,11.96329792591867,0.8906790877989387,False,False,[]
