sample_id,R,N,n_temperature_points,T_min_K,T_max_K,quality_flags
S8-2-1-1,1.0408163265306123,4.656000000000001,13,198.15,299.15,
S8-2-1-2,1.0408163265306123,4.656000000000001,13,199.15,299.15,
S8-2-2-1,1.040816326530612,4.1386666666666665,12,208.15,299.15,
S8-2-2-2,1.040816326530612,4.1386666666666665,11,216.15,299.15,
S8-3-1-1,0.3865699438677833,3.892,11,190.15,273.15,
S8-3-1-2,0.3865699438677833,3.892,30,215.15,299.15,
S8-3-10-1,0.458644786705142,4.926666666666667,38,193.15,299.15,
S8-3-11-1,0.3079344114331621,4.492933333333334,94,208.15,299.15,
S8-3-11-2,0.3079344114331621,4.492933333333334,40,187.15,299.15,
S8-3-2-1,0.2941272648899327,4.2860000000000005,31,212.15,299.15,
S8-3-2-2,0.2941272648899327,4.2860000000000005,13,235.15,278.15,missing_low_temperature_coverage
S8-3-2-3,0.2941272648899327,4.2860000000000005,13,197.15,299.15,
S8-3-2-4,0.2941272648899327,4.2860000000000005,12,207.15,299.15,
S8-3-2-5,0.2941272648899327,4.2860000000000005,13,198.15,299.15,
S8-3-20-1-1,0.4079387858179356,4.591600000000001,38,193.15,299.15,
S8-3-21-1-1,0.5511248511687172,4.690266666666666,35,200.15,299.15,
S8-3-22-1-1,0.2040451455952585,4.344933333333333,35,201.15,299.15,
S8-3-23-2-1,0.1521902146952619,3.881733333333334,28,215.15,299.15,
S8-3-25-1-1,1.0408163265306123,5.173333333333333,32,209.15,299.15,
S8-3-27-1-1,0.0,2.7580000000000005,11,272.15,299.15,missing_low_temperature_coverage
S8-3-28-1-1,0.0641214250069669,3.3986666666666667,31,212.15,299.15,
S8-3-29-1-1,0.0,1.182,11,268.15,299.15,missing_low_temperature_coverage
S8-3-3-1,0.1712623980890066,3.645333333333333,13,199.15,299.15,
S8-3-31-1-1,0.3340714749983821,4.9068,39,190.15,299.15,
S8-3-32-1-1,0.3584084621201487,5.320666666666667,37,196.15,299.15,
S8-3-33-1-1,0.0641214250069669,4.418266666666667,37,193.15,299.15,
S8-3-35-1-1,0.2996777658431794,4.0,29,216.15,299.15,
S8-3-37-1-1,0.2996777658431794,4.888888888888889,13,233.15,267.15,missing_low_temperature_coverage
S8-3-38-1-1,0.2996777658431793,5.555555555555555,39,189.15,299.15,
S8-3-4-1,0.0641214250069669,3.3986666666666667,7,199.15,249.15,
S8-3-5-1,0.6367153877711904,4.532666666666667,13,199.15,299.15,
S8-3-6-1,0.3797497505181546,4.566933333333333,19,198.15,299.15,
S8-3-6-2,0.3797497505181546,4.566933333333333,35,201.15,299.15,
S8-3-6-3,0.3797497505181546,4.566933333333333,14,190.15,299.15,
S8-3-7-1,0.3865699438677832,5.838000000000001,37,195.15,299.15,
S8-3-7-2,0.3865699438677832,5.838000000000001,13,199.15,299.15,
S8-3-8-2,0.3865699438677832,7.005600000000001,38,191.15,299.15,
S8-3-9-2,0.2941272648899327,4.2860000000000005,35,201.15,299.15,
S8-3-9-3,0.2941272648899327,4.2860000000000005,40,188.15,299.15,
S8-3-9-4,0.2941272648899327,4.2860000000000005,8,203.15,299.15,
