line,label,material,batch,R,N,thickness,n_pts,T_hi_C,T_lo_C,sigma_max,T_at_max_C,sigma_273,sigma_253,sigma_233,n_seg,confidence,T_break_C,ea_high,ea_low,seg0_npts,seg1_npts,has_transition,seg_tail_artifact
A,lineA_LRS_0429CS,LRS,Apr-thin,None,None,0.02,34,25.0,-74.0,0.02016325223774137,22.0,0.018411553134446014,0.015286476736444359,0.0038012522056505536,3,0.9612,-32.99421693517675,0.042540680145506334,0.7430369829867032,20,5,True,False
A,lineA_LRS_0509CS,LRS,Apr-thin,None,None,0.022,35,20.0,-81.0,0.019820872201284683,18.0,0.018541416755771367,0.015593312612391877,0.004141114408866773,3,1.0,-30.493827571953005,0.03659255731231515,0.7799003655272065,18,14,True,False
A,lineA_LRS_6.12,LRS,Jun-std,None,None,0.0737,37,19.0,-89.0,0.03180123560795264,7.0,0.030711575231811786,0.03028506846420622,0.010246533198431482,3,1.0,-33.87206060924541,0.008388933756031232,0.5854695480096254,18,18,True,True
A,lineA_LRS_6.15_merged,LRS,Jun-std,None,None,0.0701,59,22.0,-88.0,0.03577249435005246,10.0,0.034988241319485046,0.03206908798395339,0.010404743143970076,3,1.0,-32.99849800000479,0.05447332492836975,0.6176189214005074,28,30,True,True
A,lineA_LRS_0615_s2,LRS,Jun-std,None,None,0.0778,37,19.0,-89.0,0.04104123964848354,16.0,0.03997627743707435,0.03638646300618795,0.008088163335251105,3,1.0,-30.985123348971484,0.035756088231572475,0.6902239372448242,17,17,True,False
A,lineA_LRS_0616_s3,LRS,Jun-std,None,None,0.0734,46,19.0,-71.0,0.016722339897260585,19.0,0.01321553356559174,0.013096080795612811,0.0055750781566655475,3,0.999,-39.361726147214625,0.061457428255649205,0.717146529712362,29,11,True,False
A,lineA_LRS_0617_s3b,LRS,Jun-std,None,None,0.0734,40,18.0,-90.0,0.07373262149396324,18.0,0.07177614418860448,0.06590346430962582,0.011527853027590273,3,1.0,-26.599725954174204,0.019158765694312095,0.7121431150482126,15,16,True,False
A,lineA_starch_0427CS,starch,Apr,None,None,0.06,55,24.0,-69.0,0.012456714287273848,24.0,0.005913193295469648,0.0015006014618097903,0.00029197834656064095,3,1.0,-4.896266455025454,0.21601457028482005,0.46162384264593853,11,13,True,False
A,lineA_starch_0428CS,starch,Apr,None,None,0.06,37,18.0,-81.0,0.01402359467506348,15.0,0.009432216979001005,0.0043036913084753044,0.0014530589502641845,3,1.0,-30.900584479906968,0.21181854008293285,0.44757789655871155,17,14,True,False
A,lineA_starch_6.11,starch,Jun,None,None,0.0628,38,21.0,-90.0,0.01562348018020778,18.0,0.011362237683497678,0.005810046113857406,0.0021040223189504304,3,1.0,-28.10863106822154,0.16722724582997234,0.37682685953804435,17,16,True,False
A,lineA_starch_6.13,starch,Jun,None,None,0.0737,34,19.0,-89.0,0.01107692088458181,19.0,0.009172247213642605,0.005369449974884054,0.0015996109657623596,3,1.0,-24.5790110157198,0.11192256265213643,0.3840413426854297,15,15,True,False
A,lineA_CHITO_0430CS,CHITO,Apr,None,None,0.05,29,18.0,-60.0,0.012851701414934445,6.0,0.01149017689281638,0.008790366676893441,4.3260435512382514e-05,3,1.0,-23.82186757608079,0.05012845156437902,4.635878910762042,14,2,False,False
A,lineA_CHITO_0501CS,CHITO,Apr,None,None,0.06,28,18.0,-60.0,0.01372262397533585,15.0,0.01120841379404757,0.008001061709034953,7.246462228830136e-05,3,1.0,-32.85717627126826,0.0992485187144991,5.29238341588038,17,2,False,False
B,lineB_R0.28_6.10,ATP,prosp,0.28,0.96,0.0783,35,18.0,-84.0,0.009953874815007967,12.0,0.009336170441765927,0.00723496390159477,0.004164576667250977,3,1.0,-28.918062716731384,0.05936764122363079,0.23754118779872768,16,15,True,False
B,lineB_R0.42_6.11,ATP,prosp,0.42,1.02,0.0697,38,21.0,-90.0,0.012169678425917011,21.0,0.008935068763530118,0.005407465904096175,0.002695676138672523,3,1.0,-34.247815669770716,0.1394122487754435,0.29274300612141585,19,14,True,False
