May 10, 2026   20:38:46
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 1.110e+1, 1.065e+1, 1.538e+1, 43.8
6.816e+5, 1.056e+1, 8.595e+0, 1.362e+1, 39.1
5.625e+5, 1.006e+1, 7.014e+0, 1.227e+1, 34.9
4.639e+5, 9.875e+0, 5.589e+0, 1.135e+1, 29.5
3.828e+5, 9.766e+0, 4.469e+0, 1.074e+1, 24.6
3.164e+5, 9.736e+0, 3.483e+0, 1.034e+1, 19.7
2.607e+5, 9.706e+0, 2.648e+0, 1.006e+1, 15.3
2.158e+5, 9.696e+0, 1.883e+0, 9.877e+0, 11.0
1.777e+5, 9.714e+0, 1.159e+0, 9.783e+0, 6.8
1.465e+5, 9.750e+0, 5.084e-1, 9.763e+0, 3.0
1.211e+5, 9.801e+0, -5.869e-2, 9.801e+0, -0.3
9.961e+4, 9.877e+0, -6.002e-1, 9.895e+0, -3.5
8.252e+4, 9.976e+0, -1.131e+0, 1.004e+1, -6.5
6.812e+4, 1.012e+1, -1.688e+0, 1.026e+1, -9.5
5.625e+4, 1.030e+1, -2.278e+0, 1.055e+1, -12.5
4.644e+4, 1.049e+1, -2.913e+0, 1.089e+1, -15.5
3.833e+4, 1.073e+1, -3.601e+0, 1.132e+1, -18.6
3.164e+4, 1.100e+1, -4.341e+0, 1.183e+1, -21.5
2.612e+4, 1.130e+1, -5.152e+0, 1.242e+1, -24.5
2.153e+4, 1.164e+1, -6.069e+0, 1.313e+1, -27.5
1.777e+4, 1.201e+1, -7.113e+0, 1.396e+1, -30.6
1.470e+4, 1.243e+1, -8.309e+0, 1.495e+1, -33.8
1.211e+4, 1.288e+1, -9.703e+0, 1.613e+1, -37.0
1.001e+4, 1.339e+1, -1.133e+1, 1.754e+1, -40.2
8.252e+3, 1.397e+1, -1.321e+1, 1.922e+1, -43.4
6.812e+3, 1.461e+1, -1.540e+1, 2.123e+1, -46.5
5.625e+3, 1.536e+1, -1.798e+1, 2.365e+1, -49.5
4.643e+3, 1.624e+1, -2.096e+1, 2.652e+1, -52.2
3.833e+3, 1.727e+1, -2.447e+1, 2.996e+1, -54.8
3.164e+3, 1.845e+1, -2.864e+1, 3.407e+1, -57.2
2.612e+3, 1.980e+1, -3.359e+1, 3.899e+1, -59.5
2.153e+3, 2.136e+1, -3.943e+1, 4.484e+1, -61.6
1.777e+3, 2.315e+1, -4.627e+1, 5.174e+1, -63.4
1.470e+3, 2.524e+1, -5.431e+1, 5.989e+1, -65.1
1.211e+3, 2.769e+1, -6.380e+1, 6.955e+1, -66.5
1.001e+3, 3.064e+1, -7.494e+1, 8.096e+1, -67.8
8.252e+2, 3.412e+1, -8.797e+1, 9.435e+1, -68.8
6.836e+2, 3.818e+1, -1.034e+2, 1.102e+2, -69.7
5.615e+2, 4.301e+1, -1.217e+2, 1.291e+2, -70.5
4.639e+2, 4.872e+1, -1.433e+2, 1.514e+2, -71.2
3.809e+2, 5.545e+1, -1.684e+2, 1.773e+2, -71.8
3.174e+2, 6.366e+1, -1.981e+2, 2.080e+2, -72.2
2.588e+2, 7.368e+1, -2.331e+2, 2.445e+2, -72.5
2.148e+2, 8.584e+1, -2.745e+2, 2.876e+2, -72.6
1.758e+2, 1.003e+2, -3.224e+2, 3.377e+2, -72.7
1.465e+2, 1.172e+2, -3.765e+2, 3.943e+2, -72.7
1.221e+2, 1.388e+2, -4.422e+2, 4.635e+2, -72.6
9.766e+1, 1.662e+2, -5.174e+2, 5.435e+2, -72.2
8.254e+1, 1.982e+2, -6.017e+2, 6.335e+2, -71.8
6.813e+1, 2.352e+2, -7.008e+2, 7.392e+2, -71.5
5.623e+1, 2.777e+2, -8.160e+2, 8.620e+2, -71.2
4.642e+1, 3.275e+2, -9.480e+2, 1.003e+3, -70.9
3.831e+1, 3.868e+2, -1.101e+3, 1.167e+3, -70.6
3.162e+1, 4.568e+2, -1.282e+3, 1.361e+3, -70.4
2.610e+1, 5.383e+2, -1.490e+3, 1.585e+3, -70.1
2.154e+1, 6.330e+2, -1.729e+3, 1.841e+3, -69.9
1.778e+1, 7.430e+2, -2.004e+3, 2.138e+3, -69.7
1.468e+1, 8.707e+2, -2.321e+3, 2.479e+3, -69.4
1.212e+1, 1.021e+3, -2.685e+3, 2.873e+3, -69.2
1.000e+1, 1.197e+3, -3.107e+3, 3.329e+3, -68.9
8.254e+0, 1.399e+3, -3.597e+3, 3.860e+3, -68.7
6.813e+0, 1.631e+3, -4.168e+3, 4.475e+3, -68.6
5.623e+0, 1.897e+3, -4.828e+3, 5.188e+3, -68.6
4.642e+0, 2.205e+3, -5.598e+3, 6.016e+3, -68.5
3.831e+0, 2.562e+3, -6.483e+3, 6.971e+3, -68.4
3.162e+0, 2.971e+3, -7.520e+3, 8.086e+3, -68.4
2.610e+0, 3.447e+3, -8.725e+3, 9.381e+3, -68.4
2.154e+0, 3.970e+3, -1.019e+4, 1.094e+4, -68.7
1.778e+0, 4.555e+3, -1.194e+4, 1.278e+4, -69.1
1.468e+0, 5.265e+3, -1.389e+4, 1.485e+4, -69.2
1.212e+0, 6.095e+3, -1.606e+4, 1.718e+4, -69.2
1.000e+0, 7.046e+3, -1.846e+4, 1.976e+4, -69.1
8.254e-1, 8.145e+3, -2.114e+4, 2.265e+4, -68.9
6.813e-1, 9.392e+3, -2.417e+4, 2.593e+4, -68.8
5.623e-1, 1.079e+4, -2.773e+4, 2.975e+4, -68.7
4.642e-1, 1.239e+4, -3.189e+4, 3.421e+4, -68.8
3.831e-1, 1.422e+4, -3.673e+4, 3.939e+4, -68.8
3.162e-1, 1.633e+4, -4.231e+4, 4.535e+4, -68.9
2.610e-1, 1.878e+4, -4.875e+4, 5.224e+4, -68.9
2.154e-1, 2.161e+4, -5.617e+4, 6.018e+4, -69.0
1.778e-1, 2.482e+4, -6.467e+4, 6.927e+4, -69.0
1.468e-1, 2.837e+4, -7.434e+4, 7.957e+4, -69.1
1.212e-1, 3.250e+4, -8.567e+4, 9.163e+4, -69.2
1.000e-1, 3.733e+4, -9.881e+4, 1.056e+5, -69.3
