May 10, 2026   14:51:36
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 3.437e+0, 1.186e+1, 1.235e+1, 73.8
6.816e+5, 2.975e+0, 9.639e+0, 1.009e+1, 72.8
5.625e+5, 2.469e+0, 7.942e+0, 8.317e+0, 72.7
4.639e+5, 2.252e+0, 6.491e+0, 6.870e+0, 70.9
3.828e+5, 2.071e+0, 5.348e+0, 5.735e+0, 68.8
3.164e+5, 1.974e+0, 4.359e+0, 4.785e+0, 65.6
2.607e+5, 1.881e+0, 3.538e+0, 4.007e+0, 62.0
2.158e+5, 1.833e+0, 2.822e+0, 3.365e+0, 57.0
1.777e+5, 1.803e+0, 2.202e+0, 2.846e+0, 50.7
1.465e+5, 1.779e+0, 1.498e+0, 2.326e+0, 40.1
1.211e+5, 1.753e+0, 7.935e-1, 1.924e+0, 24.4
9.961e+4, 1.750e+0, 2.807e-1, 1.773e+0, 9.1
8.252e+4, 1.764e+0, -8.310e-2, 1.766e+0, -2.7
6.812e+4, 1.793e+0, -3.553e-1, 1.828e+0, -11.2
5.625e+4, 1.831e+0, -6.150e-1, 1.932e+0, -18.6
4.644e+4, 1.880e+0, -8.960e-1, 2.082e+0, -25.5
3.833e+4, 1.937e+0, -1.212e+0, 2.285e+0, -32.0
3.164e+4, 2.014e+0, -1.532e+0, 2.530e+0, -37.3
2.612e+4, 2.113e+0, -1.881e+0, 2.829e+0, -41.7
2.153e+4, 2.218e+0, -2.307e+0, 3.200e+0, -46.1
1.777e+4, 2.333e+0, -2.812e+0, 3.654e+0, -50.3
1.470e+4, 2.463e+0, -3.408e+0, 4.205e+0, -54.1
1.211e+4, 2.615e+0, -4.101e+0, 4.864e+0, -57.5
1.001e+4, 2.796e+0, -4.905e+0, 5.646e+0, -60.3
8.252e+3, 3.014e+0, -5.839e+0, 6.571e+0, -62.7
6.812e+3, 3.276e+0, -6.931e+0, 7.666e+0, -64.7
5.625e+3, 3.592e+0, -8.212e+0, 8.963e+0, -66.4
4.643e+3, 3.972e+0, -9.715e+0, 1.050e+1, -67.8
3.833e+3, 4.432e+0, -1.147e+1, 1.230e+1, -68.9
3.164e+3, 4.996e+0, -1.353e+1, 1.442e+1, -69.7
2.612e+3, 5.683e+0, -1.593e+1, 1.691e+1, -70.4
2.153e+3, 6.513e+0, -1.874e+1, 1.984e+1, -70.8
1.777e+3, 7.517e+0, -2.199e+1, 2.324e+1, -71.1
1.470e+3, 8.758e+0, -2.579e+1, 2.724e+1, -71.2
1.211e+3, 1.027e+1, -3.022e+1, 3.192e+1, -71.2
1.001e+3, 1.210e+1, -3.535e+1, 3.736e+1, -71.1
8.252e+2, 1.428e+1, -4.125e+1, 4.365e+1, -70.9
6.836e+2, 1.686e+1, -4.809e+1, 5.096e+1, -70.7
5.615e+2, 1.989e+1, -5.601e+1, 5.944e+1, -70.4
4.639e+2, 2.348e+1, -6.521e+1, 6.930e+1, -70.2
3.809e+2, 2.763e+1, -7.569e+1, 8.057e+1, -69.9
3.174e+2, 3.251e+1, -8.783e+1, 9.366e+1, -69.7
2.588e+2, 3.820e+1, -1.019e+2, 1.088e+2, -69.4
2.148e+2, 4.480e+1, -1.181e+2, 1.263e+2, -69.2
1.758e+2, 5.237e+1, -1.367e+2, 1.464e+2, -69.0
1.465e+2, 6.084e+1, -1.574e+2, 1.688e+2, -68.9
1.221e+2, 7.116e+1, -1.823e+2, 1.957e+2, -68.7
9.766e+1, 8.379e+1, -2.109e+2, 2.269e+2, -68.3
8.254e+1, 9.829e+1, -2.429e+2, 2.621e+2, -68.0
6.813e+1, 1.146e+2, -2.805e+2, 3.030e+2, -67.8
5.623e+1, 1.327e+2, -3.240e+2, 3.501e+2, -67.7
4.642e+1, 1.537e+2, -3.744e+2, 4.048e+2, -67.7
3.831e+1, 1.779e+2, -4.327e+2, 4.678e+2, -67.6
3.162e+1, 2.053e+2, -4.997e+2, 5.402e+2, -67.7
2.610e+1, 2.368e+2, -5.773e+2, 6.239e+2, -67.7
2.154e+1, 2.726e+2, -6.672e+2, 7.208e+2, -67.8
1.778e+1, 3.139e+2, -7.713e+2, 8.327e+2, -67.9
1.468e+1, 3.613e+2, -8.918e+2, 9.622e+2, -67.9
