May 13, 2026   02:22:52
A.C. Impedance
File: e:\chi_data\r0.35-n0.95-1_t-75.7_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 3.253e+2, -8.148e+1, 3.354e+2, -14.1
6.816e+5, 3.530e+2, -8.957e+1, 3.642e+2, -14.2
5.625e+5, 3.735e+2, -8.937e+1, 3.840e+2, -13.5
4.639e+5, 3.962e+2, -8.768e+1, 4.058e+2, -12.5
3.828e+5, 4.157e+2, -8.319e+1, 4.239e+2, -11.3
3.164e+5, 4.329e+2, -7.809e+1, 4.399e+2, -10.2
2.607e+5, 4.459e+2, -7.159e+1, 4.517e+2, -9.1
2.158e+5, 4.560e+2, -6.513e+1, 4.606e+2, -8.1
1.777e+5, 4.645e+2, -5.959e+1, 4.683e+2, -7.3
1.465e+5, 4.714e+2, -5.432e+1, 4.745e+2, -6.6
1.211e+5, 4.770e+2, -4.823e+1, 4.795e+2, -5.8
9.961e+4, 4.824e+2, -4.199e+1, 4.842e+2, -5.0
8.252e+4, 4.867e+2, -3.587e+1, 4.880e+2, -4.2
6.812e+4, 4.903e+2, -3.063e+1, 4.913e+2, -3.6
5.625e+4, 4.930e+2, -2.657e+1, 4.937e+2, -3.1
4.644e+4, 4.948e+2, -2.361e+1, 4.954e+2, -2.7
3.833e+4, 4.973e+2, -2.134e+1, 4.978e+2, -2.5
3.164e+4, 5.003e+2, -1.931e+1, 5.007e+2, -2.2
2.612e+4, 5.029e+2, -1.689e+1, 5.031e+2, -1.9
2.153e+4, 5.053e+2, -1.494e+1, 5.055e+2, -1.7
1.777e+4, 5.073e+2, -1.386e+1, 5.075e+2, -1.6
1.470e+4, 5.087e+2, -1.291e+1, 5.089e+2, -1.5
1.211e+4, 5.097e+2, -1.202e+1, 5.099e+2, -1.4
1.001e+4, 5.108e+2, -9.937e+0, 5.109e+2, -1.1
8.252e+3, 5.123e+2, -7.679e+0, 5.123e+2, -0.9
6.812e+3, 5.139e+2, -7.001e+0, 5.139e+2, -0.8
5.625e+3, 5.156e+2, -7.278e+0, 5.156e+2, -0.8
4.643e+3, 5.173e+2, -8.416e+0, 5.174e+2, -0.9
3.833e+3, 5.190e+2, -9.967e+0, 5.191e+2, -1.1
3.164e+3, 5.206e+2, -1.164e+1, 5.207e+2, -1.3
2.612e+3, 5.223e+2, -1.342e+1, 5.225e+2, -1.5
2.153e+3, 5.240e+2, -1.538e+1, 5.242e+2, -1.7
1.777e+3, 5.256e+2, -1.748e+1, 5.259e+2, -1.9
1.470e+3, 5.275e+2, -1.990e+1, 5.279e+2, -2.2
1.211e+3, 5.296e+2, -2.284e+1, 5.301e+2, -2.5
1.001e+3, 5.318e+2, -2.574e+1, 5.324e+2, -2.8
8.252e+2, 5.340e+2, -2.896e+1, 5.348e+2, -3.1
6.836e+2, 5.365e+2, -3.337e+1, 5.375e+2, -3.6
5.615e+2, 5.393e+2, -3.884e+1, 5.407e+2, -4.1
4.639e+2, 5.423e+2, -4.547e+1, 5.442e+2, -4.8
3.809e+2, 5.457e+2, -5.310e+1, 5.483e+2, -5.6
3.174e+2, 5.495e+2, -6.199e+1, 5.530e+2, -6.4
2.588e+2, 5.536e+2, -7.233e+1, 5.583e+2, -7.4
2.148e+2, 5.581e+2, -8.440e+1, 5.644e+2, -8.6
